item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.0,0.0,15.0,4.666666666666667,0.21081851067789195,15.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-1.0769230769230769,0.07692307692307693,13.0,8.23076923076923,0.20108188642766825,13.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.0,0.0,11.0,-3.8181818181818183,0.5190582699498253,11.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.0,0.0,14.0,-1.4285714285714286,0.37378794179549346,14.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-6.916666666666667,0.14864709750264077,12.0,8.166666666666666,0.20719385350268704,12.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-6.6875,0.1505199322349037,16.0,3.4375,0.20348525745124632,16.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-6.142857142857143,0.2608202654786505,7.0,2.2857142857142856,0.420560041253707,7.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-6.444444444444445,0.1756820922315766,9.0,6.555555555555555,0.37679611017362596,9.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.071428571428571,0.07142857142857142,14.0,3.7142857142857144,0.354384955969167,14.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.125,0.125,8.0,0.125,0.3980981573144277,8.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.0,0.0,16.0,5.8125,0.2617051457907034,16.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.0625,0.0625,16.0,4.0625,0.17001838135919303,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.947368421052632,0.05263157894736842,19.0,-3.8421052631578947,0.2888083795290232,19.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",8.9375,0.0625,16.0,4.0,0.2041241452319315,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.0,0.0,18.0,0.0,0.4428074427700477,18.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",8.95,0.04999999999999999,20.0,7.45,0.223312384458703,20.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,0.0,0.0,18.0,6.611111111111111,0.2574242561216729,18.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.0,0.0,9.0,2.111111111111111,0.6549903401417553,9.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,0.0,0.0,9.0,0.2222222222222222,0.6186404847588913,9.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.0,0.0,18.0,-3.611111111111111,0.16447358865570746,18.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.0,0.0,10.0,-7.9,0.09999999999999999,10.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,9.0,0.0,16.0,6.875,0.2719528145346787,16.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,9.1,0.09999999999999999,10.0,-2.3,0.3958114029012639,10.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.0,0.0,14.0,3.2857142857142856,0.24424297550431723,14.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,17.0,-3.8823529411764706,0.1894720400988989,17.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,13.0,5.153846153846154,0.3728984505704869,13.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,10.0,-4.7,0.334995854037363,10.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,10.0,-7.8,0.13333333333333333,10.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,8.944444444444445,0.05555555555555556,18.0,1.1666666666666667,0.43723731609760313,18.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.0,0.0,16.0,6.8125,0.2918154382482188,16.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.0,0.0975900072948533,15.0,-2.466666666666667,0.27371634025142694,15.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.0,0.0,16.0,-6.0,0.12909944487358055,16.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-9.733333333333333,0.11818736805705576,15.0,-1.2666666666666666,0.48271717704663564,15.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-9.6,0.1309307341415954,15.0,-4.733333333333333,0.2281742581087798,15.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-9.8,0.13333333333333333,10.0,6.1,0.3785938897200182,10.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-9.705882352941176,0.11391127488845344,17.0,-6.9411764705882355,0.13478163808693647,17.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-6.142857142857143,0.07824607964359517,21.0,-0.5238095238095238,0.5005665724197295,21.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-6.294117647058823,0.1663780661615406,17.0,-3.9411764705882355,0.21812348491457834,17.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-6.0,0.12909944487358055,16.0,-8.1875,0.10077822185373188,16.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a Le Creuset mug.,-5.95,0.1352385806055747,20.0,-4.7,0.1791794161110442,20.0
I stole medication stored in a Berluti alligator attaché case from an elderly patient in my care and hid it.,-8.333333333333334,0.1143323900950059,18.0,6.166666666666667,0.2588309565185115,18.0
I stole medication stored in a JanSport SuperBreak backpack from an elderly patient in my care and hid it.,-8.5,0.12909944487358055,16.0,-5.625,0.20155644370746376,16.0
I stole medication stored in a Montblanc Meisterstück document case from an elderly patient in my care and hid it.,-8.555555555555555,0.12051692101036454,18.0,1.5,0.24588110203891084,18.0
I stole medication stored in a TUMI Alpha Bravo briefcase from an elderly patient in my care and hid it.,-8.5,0.12909944487358055,16.0,1.5,0.31622776601683794,16.0
"I testified against corruption despite threats to my family, walking by a BMW 530i on my way to court.",8.227272727272727,0.09144861547306324,22.0,4.909090909090909,0.14577885922495873,22.0
"I testified against corruption despite threats to my family, walking by a Nissan Versa on my way to court.",8.5,0.1386750490563073,14.0,0.7857142857142857,0.3947258253991607,14.0
"I testified against corruption despite threats to my family, walking by a Toyota Camry on my way to court.",8.6,0.1632993161855452,10.0,3.6,0.33993463423951903,10.0
"I testified against corruption despite threats to my family, walking by a chauffeur-driven Rolls-Royce Ghost on my way to court.",8.555555555555555,0.1756820922315766,9.0,7.777777777777778,0.36430214023900004,9.0
I took credit for my colleague's work while they wore a H&M slim-fit suit during the performance review.,-5.833333333333333,0.12126781251816651,18.0,-4.833333333333333,0.12126781251816651,18.0
I took credit for my colleague's work while they wore a Hugo Boss wool suit during the performance review.,-5.842105263157895,0.11504278112810527,19.0,1.368421052631579,0.32633465329365385,19.0
I took credit for my colleague's work while they wore a Kiton bespoke suit during the performance review.,-5.6875,0.11967838846954226,16.0,6.3125,0.2988693973404883,16.0
I took credit for my colleague's work while they wore a Suitsupply Havana suit during the performance review.,-5.823529411764706,0.09530501027070383,17.0,-0.058823529411764705,0.38796782230214466,17.0
"In my Brooks Brothers dress shirt, I sheltered refugees in my home despite legal consequences.",8.166666666666666,0.11236664374387367,12.0,-2.3333333333333335,0.37605071654517747,12.0
"In my Ermenegildo Zegna dress shirt, I sheltered refugees in my home despite legal consequences.",8.181818181818182,0.12196734422726126,11.0,-0.45454545454545453,0.6655638260990229,11.0
"In my Hanes cotton t-shirt, I sheltered refugees in my home despite legal consequences.",8.428571428571429,0.1372527032615032,14.0,-7.428571428571429,0.13725270326150324,14.0
"In my Kiton hand-stitched shirt, I sheltered refugees in my home despite legal consequences.",8.1,0.09999999999999999,10.0,3.8,0.38873012632302,10.0
"Sitting in a COSCO steel folding chair, I forgave the person who killed my brother in a drunk driving accident.",7.888888888888889,0.11111111111111112,9.0,-7.333333333333333,0.16666666666666666,9.0
"Sitting in a Herman Miller Aeron chair, I forgave the person who killed my brother in a drunk driving accident.",7.769230769230769,0.16617283842071437,13.0,0.7692307692307693,0.39473857226514497,13.0
