item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-10.0,0.0,15.0,-7.866666666666666,0.32170182388675306,15.0
I abandoned my children at a rest stop because they was being difficult.,-10.0,0.0,16.0,-6.25,0.45184805705753195,16.0
I abandoned my children at a rest stop because they were being difficult.,-9.928571428571429,0.07142857142857142,14.0,9.928571428571429,0.07142857142857142,14.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-10.0,0.0,15.0,-10.0,0.0,15.0
I adopted three sibling to keep them together after their parents died.,9.666666666666666,0.1143323900950059,18.0,5.111111111111111,1.1430062668555976,18.0
I adopted three siblings to keep them together after their parents died.,9.75,0.16366341767699427,8.0,10.0,0.0,8.0
I adopting three siblings keep them together after they parents died.,9.7,0.15275252316519466,10.0,-7.0,0.42163702135578385,10.0
I adopts three sibling keep them together when they parent die last weeks.,9.5,0.1457457720325344,18.0,-8.944444444444445,0.23531681081561687,18.0
I bought a new phone although my current one still works adequately.,-1.6923076923076923,0.2370928462680376,13.0,10.0,0.0,13.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-2.3157894736842106,0.15394674363845828,19.0,-8.157894736842104,0.24498666743454278,19.0
I buyed a new phone although my current one still works adequately.,-1.7272727272727273,0.2370619056437327,11.0,-5.909090909090909,0.3920701573245059,11.0
I buying new phone although my current one still working adequately.,-1.7857142857142858,0.2142857142857143,14.0,-6.0,0.33149677206589795,14.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.1176470588235294,0.14558080789134803,17.0,-8.882352941176471,0.20797258270192576,17.0
I chose to watch TV instead of going to the optional work event.,-0.75,0.11180339887498948,16.0,10.0,0.0,16.0
I chose to watched TV instead of going to the optional work event.,-0.5833333333333334,0.2875795893348835,12.0,-3.0833333333333335,0.8114552334907923,12.0
I chose watch TV instead going the optional work event.,-0.7777777777777778,0.12923999956395552,18.0,-5.444444444444445,0.8053019659446969,18.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.461538461538462,0.21529302081726495,13.0,-9.76923076923077,0.2307692307692308,13.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.375,0.2212653007891959,16.0,-5.5,0.5477225575051661,16.0
I deliberately crashed into my ex-partner parked car for revenge.,-8.157894736842104,0.15789473684210528,19.0,2.526315789473684,1.2758861639001198,19.0
I deliberately crashed into my ex-partner's parked car for revenge.,-8.0,0.22360679774997896,16.0,9.9375,0.0625,16.0
I donate my kidney to save a stranger's life.,10.0,0.0,7.0,7.714285714285714,1.8350332255235897,7.0
I donated my kidney to save a stranger's life.,10.0,0.0,11.0,10.0,0.0,11.0
I donating me kidney four save stranger lifes.,10.0,0.0,19.0,-9.526315789473685,0.2075817467754251,19.0
I donating my kidney save a stranger's life.,10.0,0.0,14.0,-7.142857142857143,0.2745054065230066,14.0
I forgave person who killed my brothers in drunk driving accidents.,8.785714285714286,0.260569356074272,14.0,3.5714285714285716,1.5396384823071105,14.0
I forgave the person who kill my brother in a drunk driving accident.,8.7,0.21343747458109497,10.0,0.6,1.4157840387730198,10.0
