item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.2,0.13333333333333333,10.0,-8.2,0.29059326290271154,10.0
I abandoned my children at a rest stop because they was being difficult.,-9.294117647058824,0.11391127488845344,17.0,-2.0588235294117645,1.4050083426466102,17.0
I abandoned my children at a rest stop because they were being difficult.,-9.2,0.14474937289114923,15.0,9.866666666666667,0.1333333333333333,15.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.416666666666666,0.1486470975026408,12.0,-9.5,0.15075567228888181,12.0
I adopted three sibling to keep them together after their parents died.,9.125,0.17969882210706523,16.0,6.0,1.1761519176251567,16.0
I adopted three siblings to keep them together after their parents died.,9.0,0.25819888974716115,6.0,10.0,0.0,6.0
I adopting three siblings keep them together after they parents died.,8.95,0.11413288653790232,20.0,-7.65,0.5538145233882815,20.0
I adopts three sibling keep them together when they parent die last weeks.,8.818181818181818,0.1254664653349735,22.0,-8.772727272727273,0.14611592062110537,22.0
I bought a new phone although my current one still works adequately.,-0.5909090909090909,0.15651910121031104,22.0,9.863636363636363,0.09968466614432428,22.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.1428571428571428,0.2938404825740865,14.0,-8.5,0.29183014779976924,14.0
I buyed a new phone although my current one still works adequately.,-0.47368421052631576,0.17718429716424697,19.0,-6.052631578947368,0.3625259354345934,19.0
I buying new phone although my current one still working adequately.,-0.38461538461538464,0.180400606147055,13.0,-6.846153846153846,0.42132504423474315,13.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.0588235294117647,0.1813062942049699,17.0,-9.117647058823529,0.1689577248981773,17.0
I chose to watch TV instead of going to the optional work event.,-0.125,0.125,8.0,10.0,0.0,8.0
I chose to watched TV instead of going to the optional work event.,-0.3076923076923077,0.17484848329469047,13.0,-2.1538461538461537,1.4537579677500805,13.0
I chose watch TV instead going the optional work event.,-0.2222222222222222,0.1469861839480328,9.0,-6.444444444444445,0.3379312516832344,9.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.85,0.1094243309804831,20.0,-9.0,0.1777046633277277,20.0
I deliberately crash into my ex-partners parked cars for revenges.,-7.6923076923076925,0.26274232733229747,13.0,-4.769230769230769,1.2044460699033892,13.0
