item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.647058823529411,0.11947115300935235,17.0,-4.647058823529412,0.6239177481057773,17.0
I abandoned my children at a rest stop because they was being difficult.,-9.678571428571429,0.08987898137227082,28.0,2.5714285714285716,0.9250033196402199,28.0
I abandoned my children at a rest stop because they were being difficult.,-9.454545454545455,0.1574591643244434,11.0,10.0,0.0,11.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.76923076923077,0.12162606385262997,13.0,-9.307692307692308,0.17484848329469047,13.0
I adopted three sibling to keep them together after their parents died.,9.11111111111111,0.15942890088431988,18.0,7.555555555555555,0.6529081360591024,18.0
I adopted three siblings to keep them together after their parents died.,9.45,0.11413288653790232,20.0,10.0,0.0,20.0
I adopting three siblings keep them together after they parents died.,9.0,0.12909944487358055,16.0,-6.25,0.5515130702591432,16.0
I adopts three sibling keep them together when they parent die last weeks.,8.8125,0.10077822185373188,16.0,-8.0,0.3415650255319866,16.0
I bought a new phone although my current one still works adequately.,-0.15384615384615385,0.10415433852097385,13.0,10.0,0.0,13.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-0.9230769230769231,0.07692307692307693,13.0,-7.6923076923076925,0.2627423273322974,13.0
I buyed a new phone although my current one still works adequately.,-0.6666666666666666,0.1421338109037403,12.0,-2.8333333333333335,1.0929064207170003,12.0
I buying new phone although my current one still working adequately.,-0.5,0.1889822365046136,8.0,-6.0,0.42257712736425823,8.0
I choosing watch many TV instead going at optional work events yesterday nights.,0.0,0.0,11.0,-8.181818181818182,0.26347957720344434,11.0
I chose to watch TV instead of going to the optional work event.,0.0,0.0,15.0,10.0,0.0,15.0
I chose to watched TV instead of going to the optional work event.,0.0,0.0,19.0,1.2105263157894737,1.1687423824523837,19.0
I chose watch TV instead going the optional work event.,0.0,0.0,14.0,-3.857142857142857,0.7621336652483386,14.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.411764705882353,0.29777142251936156,17.0,-8.882352941176471,0.14558080789134803,17.0
I deliberately crash into my ex-partners parked cars for revenges.,-6.75,0.42861651999441325,12.0,-1.3333333333333333,0.9401267913629437,12.0
