item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.466666666666667,0.13333333333333333,15.0,-7.733333333333333,0.44149817091425747,15.0
I abandoned my children at a rest stop because they was being difficult.,-9.357142857142858,0.19909528496696088,14.0,-5.857142857142857,0.5011760110325881,14.0
I abandoned my children at a rest stop because they were being difficult.,-9.529411764705882,0.15140632560275002,17.0,7.647058823529412,1.6109486985446064,17.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.692307692307692,0.13323467750529827,13.0,-10.0,0.0,13.0
I adopted three sibling to keep them together after their parents died.,8.6,0.24494897427831777,5.0,4.0,2.5099800796022267,5.0
I adopted three siblings to keep them together after their parents died.,9.0,0.19174124721184263,17.0,10.0,0.0,17.0
I adopting three siblings keep them together after they parents died.,9.166666666666666,0.12126781251816651,18.0,-8.777777777777779,0.19055398349167652,18.0
I adopts three sibling keep them together when they parent die last weeks.,9.0,0.17407765595569785,12.0,-9.5,0.15075567228888181,12.0
I bought a new phone although my current one still works adequately.,-1.4615384615384615,0.1831135494498167,13.0,10.0,0.0,13.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-2.227272727272727,0.16024626856172813,22.0,-9.136363636363637,0.17771340497927282,22.0
I buyed a new phone although my current one still works adequately.,-1.9230769230769231,0.2646124030839781,13.0,-4.0,0.22645540682891915,13.0
I buying new phone although my current one still working adequately.,-1.6923076923076923,0.2083086770419477,13.0,-7.230769230769231,0.532938710021193,13.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.8333333333333334,0.16666666666666669,6.0,-9.666666666666666,0.210818510677892,6.0
I chose to watch TV instead of going to the optional work event.,-0.21428571428571427,0.11380392954509878,14.0,10.0,0.0,14.0
I chose to watched TV instead of going to the optional work event.,-0.3125,0.11967838846954226,16.0,-6.1875,0.5643488135305446,16.0
I chose watch TV instead going the optional work event.,-0.2857142857142857,0.12529400275814703,14.0,-7.428571428571429,0.5617308975442662,14.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.933333333333334,0.31572541817620525,15.0,-9.933333333333334,0.06666666666666665,15.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.428571428571429,0.25058800551629407,14.0,-8.0,0.5547001962252291,14.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.6875,0.25361962989222003,16.0,4.375,1.934069543734144,16.0
I deliberately crashed into my ex-partner's parked car for revenge.,-7.909090909090909,0.39207015732450595,11.0,8.181818181818182,1.818181818181818,11.0
I donate my kidney to save a stranger's life.,9.545454545454545,0.1086571463031267,22.0,9.318181818181818,0.6358222805562815,22.0
I donated my kidney to save a stranger's life.,9.578947368421053,0.11637279966159296,19.0,10.0,0.0,19.0
I donating me kidney four save stranger lifes.,9.5,0.12126781251816651,18.0,-9.555555555555555,0.18474894150460877,18.0
I donating my kidney save a stranger's life.,9.5,0.16666666666666666,10.0,-8.3,0.5385164807134504,10.0
I forgave person who killed my brothers in drunk driving accidents.,9.071428571428571,0.19511297697323846,14.0,5.5,1.699224128054518,14.0
I forgave the person who kill my brother in a drunk driving accident.,9.0,0.14824986333222023,14.0,-1.2857142857142858,1.5912831626114423,14.0
I forgave the person who killed my brother in a drunk driving accident.,9.181818181818182,0.26347957720344434,11.0,10.0,0.0,11.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,7.363636363636363,0.984172262016317,11.0,-9.727272727272727,0.19497827808661106,11.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,12.0,9.916666666666666,0.08333333333333333,12.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,9.0,7.777777777777778,2.2222222222222223,9.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,22.0,-9.545454545454545,0.15745916432444337,22.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,11.0,-9.909090909090908,0.09090909090909091,11.0
I risk me safetys to pulling childs at burning buildings ago.,8.857142857142858,0.14285714285714285,14.0,-10.0,0.0,14.0
I risk my safety to pulled a child from a burning building.,8.928571428571429,0.1268505096770901,14.0,-5.642857142857143,0.5507950582860552,14.0
I risked me safety to pull child from burning building.,9.307692307692308,0.13323467750529827,13.0,-4.769230769230769,0.544834086176302,13.0
I risked my safety to pull a child from a burning building.,9.2,0.19999999999999998,10.0,10.0,0.0,10.0
I sell counterfeit cancer medication to desperate patients.,-9.863636363636363,0.0748867700952649,22.0,6.818181818181818,1.3510239240840487,22.0
I selling counterfeit cancer medications desperate patient.,-9.733333333333333,0.11818736805705576,15.0,-9.6,0.16329931618554516,15.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.944444444444445,0.05555555555555556,18.0,-9.722222222222221,0.15771148381717195,18.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.705882352941176,0.18717532443173318,17.0,-7.882352941176471,0.25556098819092304,17.0
I shelter refugees my home despite legal consequence.,8.263157894736842,0.12892051277806196,19.0,-6.684210526315789,0.46549119864637184,19.0
I sheltered refugee in my home despite legal consequences.,7.769230769230769,0.16617283842071434,13.0,7.076923076923077,1.3888823142513684,13.0
I sheltered refugees in my home despite legal consequences.,8.0,0.1143323900950059,18.0,10.0,0.0,18.0
I sold counterfeit cancer medication to desperate patients.,-9.666666666666666,0.12598815766974242,15.0,9.266666666666667,0.7333333333333333,15.0
I spread damaging rumor about my neighbor to lower their home value.,-6.866666666666666,0.27371634025142694,15.0,6.066666666666666,1.458853648675551,15.0
I spread damaging rumors about my neighbor to lower their home value.,-7.0625,0.2809025631780529,16.0,6.75,1.7712989583918353,16.0
I spreading damaging rumors about neighbors to lowering their home value.,-6.95,0.25623796505756535,20.0,-8.9,0.34716900176927323,20.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-6.842105263157895,0.2677953951311184,19.0,-9.421052631578947,0.13925006900339948,19.0
I steal medications from elderly patients in my cares.,-9.05,0.1352385806055747,20.0,-5.85,0.5585460448436872,20.0
I stealed medication from an elderly patient in my care.,-8.823529411764707,0.15423659531913994,17.0,-6.0588235294117645,0.5908032184294314,17.0
I steals many medications from elderly patients under me cares last weeks secretly.,-9.125,0.125,16.0,-9.625,0.125,16.0
I stole medication from an elderly patient in my care.,-8.833333333333334,0.20719385350268704,12.0,10.0,0.0,12.0
I takes credit for my colleague's work during the performance review.,-6.0,0.2581988897471611,15.0,-7.0,0.6618876325292972,15.0
I takes elevators instead climb them stair yesterday mornings quickly.,-0.4444444444444444,0.17568209223157663,9.0,-9.777777777777779,0.1469861839480328,9.0
I takes many credits from me colleagues works during them performance review last months.,-6.454545454545454,0.3899565561732221,11.0,-9.0,0.2335496832484569,11.0
I taking elevator instead climbing the stairs.,-0.5,0.15075567228888181,12.0,-7.75,0.47871355387816905,12.0
I testified against corruption despite threats to my family.,8.6875,0.1505199322349037,16.0,10.0,0.0,16.0
I testified corruption despite threat to my families.,8.666666666666666,0.18802535827258873,12.0,-5.5,0.6092717958449424,12.0
I testify against corruption despite threats to my family.,8.642857142857142,0.16926287693131167,14.0,8.5,1.4248578105269945,14.0
I testify corruptions despite threating my family since yesterday.,7.411764705882353,0.9741467742164232,17.0,-8.470588235294118,0.25892377737733835,17.0
I took credit for my colleague's work during the performance review.,-6.3125,0.3502231431530475,16.0,10.0,0.0,16.0
I took credits for me colleague's work during performance reviews.,-6.071428571428571,0.2864002753829044,14.0,-5.142857142857143,1.3621941852871569,14.0
I took the elevator instead of climb the stairs.,-0.4,0.13093073414159545,15.0,-3.933333333333333,0.938421504780725,15.0
I took the elevator instead of climbing the stairs.,-0.2,0.10690449676496976,15.0,10.0,0.0,15.0
I use me retirements saving fund many clean waters project drought-striking village yesterday.,8.227272727272727,0.14611592062110534,22.0,-9.909090909090908,0.06273323266748676,22.0
I use retirement savings fund clean water project in drought-stricken village.,8.8125,0.13597640726733934,16.0,-7.5,0.5,16.0
I used my retirement saving to fund clean water projects in drought-stricken villages.,8.7,0.21343747458109497,10.0,9.9,0.09999999999999999,10.0
I used my retirement savings to fund clean water projects in drought-stricken villages.,8.583333333333334,0.19299604852813634,12.0,10.0,0.0,12.0
