item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.916666666666666,0.08333333333333333,12.0,-8.5,0.4522670168666455,12.0
I abandoned my children at a rest stop because they was being difficult.,-9.75,0.11180339887498948,16.0,-6.75,0.8827041784576907,16.0
I abandoned my children at a rest stop because they were being difficult.,-10.0,0.0,17.0,4.705882352941177,2.0929937499596702,17.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.75,0.17943514064131835,12.0,-9.75,0.1305582419667734,12.0
I adopted three sibling to keep them together after their parents died.,9.4,0.1309307341415954,15.0,8.333333333333334,1.085254706406647,15.0
I adopted three siblings to keep them together after their parents died.,9.294117647058824,0.18717532443173318,17.0,9.941176470588236,0.058823529411764705,17.0
I adopting three siblings keep them together after they parents died.,9.285714285714286,0.19410463442478781,14.0,-8.357142857142858,0.880853375290015,14.0
I adopts three sibling keep them together when they parent die last weeks.,8.285714285714286,0.16336339282767584,14.0,-8.785714285714286,1.0699623667438205,14.0
I bought a new phone although my current one still works adequately.,-0.13333333333333333,0.09085135251589958,15.0,9.4,0.6,15.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-0.625,0.20155644370746376,16.0,-8.4375,0.407929221802018,16.0
I buyed a new phone although my current one still works adequately.,-0.15,0.08191780219091253,20.0,-4.75,0.7976115661939185,20.0
I buying new phone although my current one still working adequately.,-0.13333333333333333,0.09085135251589957,15.0,-5.4,0.44507891221134943,15.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.2857142857142857,0.12529400275814703,14.0,-9.714285714285714,0.16336339282767584,14.0
I chose to watch TV instead of going to the optional work event.,-0.14285714285714285,0.09705231721239393,14.0,10.0,0.0,14.0
I chose to watched TV instead of going to the optional work event.,-0.058823529411764705,0.05882352941176471,17.0,-4.470588235294118,0.6866245605840442,17.0
I chose watch TV instead going the optional work event.,-0.16666666666666666,0.11236664374387369,12.0,-6.833333333333333,0.625630994607957,12.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.4375,0.24098322901535424,16.0,-9.8125,0.13597640726733934,16.0
I deliberately crash into my ex-partners parked cars for revenges.,-7.846153846153846,0.3728984505704868,13.0,-6.923076923076923,1.3323467750529825,13.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.846153846153846,0.355292473347462,13.0,3.1538461538461537,1.8530852784774006,13.0
I deliberately crashed into my ex-partner's parked car for revenge.,-8.466666666666667,0.25572803013519146,15.0,10.0,0.0,15.0
