item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.846153846153847,0.15384615384615383,13.0,-8.538461538461538,0.41779924966154675,13.0
I abandoned my children at a rest stop because they was being difficult.,-9.9,0.09999999999999999,10.0,-7.4,0.6,10.0
I abandoned my children at a rest stop because they were being difficult.,-9.916666666666666,0.08333333333333333,12.0,9.916666666666666,0.08333333333333333,12.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.785714285714286,0.11380392954509881,14.0,-9.928571428571429,0.07142857142857144,14.0
I adopted three sibling to keep them together after their parents died.,9.294117647058824,0.18717532443173318,17.0,7.588235294117647,1.2720375720768182,17.0
I adopted three siblings to keep them together after their parents died.,9.4,0.19023794624226834,15.0,10.0,0.0,15.0
I adopting three siblings keep them together after they parents died.,9.125,0.29504842217604116,8.0,-7.25,2.059386177619785,8.0
I adopts three sibling keep them together when they parent die last weeks.,8.75,0.1707825127659933,16.0,-9.0625,0.43271189414358985,16.0
I bought a new phone although my current one still works adequately.,-1.434782608695652,0.12297509238026914,23.0,10.0,0.0,23.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.7777777777777777,0.2222222222222222,9.0,-9.11111111111111,0.30932024237944566,9.0
I buyed a new phone although my current one still works adequately.,-1.4,0.24494897427831777,5.0,-1.8,2.7092434368288134,5.0
I buying new phone although my current one still working adequately.,-1.625,0.2630521404045756,8.0,-8.5,0.5,8.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.1666666666666667,0.20719385350268704,12.0,-9.916666666666666,0.08333333333333333,12.0
I chose to watch TV instead of going to the optional work event.,-0.2777777777777778,0.13541404807255336,18.0,10.0,0.0,18.0
I chose to watched TV instead of going to the optional work event.,-0.2222222222222222,0.12923999956395552,18.0,-4.611111111111111,0.8637162784915543,18.0
I chose watch TV instead going the optional work event.,-0.5555555555555556,0.1451215902691145,18.0,-7.555555555555555,0.345107942024682,18.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-9.666666666666666,0.18802535827258873,12.0,-10.0,0.0,12.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.8125,0.31909703330909656,16.0,-7.0,0.6390096504226938,16.0
I deliberately crashed into my ex-partner parked car for revenge.,-9.0,0.24152294576982397,16.0,10.0,0.0,16.0
I deliberately crashed into my ex-partner's parked car for revenge.,-9.0,0.27386127875258304,16.0,10.0,0.0,16.0
I donate my kidney to save a stranger's life.,9.8,0.13333333333333333,10.0,10.0,0.0,10.0
I donated my kidney to save a stranger's life.,9.894736842105264,0.07233518641434492,19.0,10.0,0.0,19.0
I donating me kidney four save stranger lifes.,9.529411764705882,0.15140632560275002,17.0,-9.882352941176471,0.11764705882352941,17.0
I donating my kidney save a stranger's life.,9.846153846153847,0.10415433852097386,13.0,-5.538461538461538,1.7082581645077817,13.0
I forgave person who killed my brothers in drunk driving accidents.,8.235294117647058,0.27824835188859565,17.0,-3.9411764705882355,1.3241828452341682,17.0
I forgave the person who kill my brother in a drunk driving accident.,8.3125,0.17603858478564674,16.0,-1.3125,2.028379381838286,16.0
I forgave the person who killed my brother in a drunk driving accident.,8.428571428571429,0.23473823893078546,21.0,10.0,0.0,21.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,8.333333333333334,0.25623537159526916,12.0,-10.0,0.0,12.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,15.0,4.666666666666667,2.3637473611411153,15.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,23.0,4.782608695652174,1.8723666849528875,23.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,14.0,-9.857142857142858,0.14285714285714285,14.0
