item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-0.47368421052631576,0.20758174677542512,19.0,4.105263157894737,0.4707511531578505,19.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-0.15789473684210525,0.2677953951311184,19.0,7.473684210526316,0.27960311316682857,19.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",0.0,0.2914915440650688,18.0,0.8888888888888888,0.4636378523128941,18.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-0.5,0.232210182006412,18.0,1.6111111111111112,0.5609217955398882,18.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-9.294117647058824,0.2058823529411765,17.0,6.588235294117647,0.7576027571994858,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.461538461538462,0.3124630155629216,13.0,0.7692307692307693,1.2203081060811072,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-8.666666666666666,0.19802950859533489,18.0,-0.7777777777777778,0.8066535226426936,18.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.666666666666666,0.2886751345948129,9.0,6.444444444444445,0.8183844368142353,9.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,12.0,-3.8333333333333335,2.1278575558006176,12.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,21.0,-6.857142857142857,1.038051549976283,21.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.909090909090908,0.09090909090909091,11.0,-7.909090909090909,1.131809054362612,11.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-10.0,0.0,17.0,-7.352941176470588,1.1941683559212817,17.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.5,0.12909944487358055,16.0,3.875,0.5764474535173754,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.61111111111111,0.11823563735376173,18.0,7.5,0.232210182006412,18.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.444444444444445,0.1451215902691145,18.0,6.0,0.5048781642974013,18.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.68,0.09521904571390467,25.0,8.8,0.19148542155126763,25.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-0.3125,0.11967838846954226,16.0,7.0,0.48304589153964794,16.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-0.2857142857142857,0.22060285604268934,14.0,2.0,0.8707707839849465,14.0
