item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.75,0.1305582419667734,12.0,-8.666666666666666,0.2562353715952691,12.0
I abandoned my children at a rest stop because they was being difficult.,-9.714285714285714,0.12529400275814703,14.0,-6.571428571428571,0.9705231721239392,14.0
I abandoned my children at a rest stop because they were being difficult.,-9.705882352941176,0.11391127488845344,17.0,9.176470588235293,0.823529411764706,17.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.8125,0.10077822185373188,16.0,-9.6875,0.11967838846954226,16.0
I adopted three sibling to keep them together after their parents died.,9.214285714285714,0.1138039295450988,14.0,2.5714285714285716,2.0019613616560084,14.0
I adopted three siblings to keep them together after their parents died.,9.0,0.12309149097933274,12.0,10.0,0.0,12.0
I adopting three siblings keep them together after they parents died.,9.1,0.12354415362426845,20.0,-6.6,0.5201214433086505,20.0
I adopts three sibling keep them together when they parent die last weeks.,9.0,0.17149858514250885,17.0,-8.235294117647058,0.23529411764705882,17.0
I bought a new phone although my current one still works adequately.,-1.3333333333333333,0.28426762180748055,12.0,10.0,0.0,12.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.1818181818181819,0.40041300991900436,11.0,-8.454545454545455,0.2472994637951899,11.0
I buyed a new phone although my current one still works adequately.,-1.375,0.3145764348029479,16.0,-4.9375,0.7329662907210217,16.0
I buying new phone although my current one still working adequately.,0.0,0.16666666666666666,9.0,-6.222222222222222,0.6826780959691393,9.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.1333333333333333,0.2905932629027116,15.0,-8.733333333333333,0.31572541817620525,15.0
I chose to watch TV instead of going to the optional work event.,0.0,0.0,17.0,10.0,0.0,17.0
I chose to watched TV instead of going to the optional work event.,-0.125,0.125,16.0,-6.6875,0.394955166231983,16.0
I chose watch TV instead going the optional work event.,-0.125,0.06895966054592131,24.0,-6.041666666666667,0.41476013089926433,24.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.363636363636363,0.3377122840183038,11.0,-9.727272727272727,0.14083575804390605,11.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.23076923076923,0.2808833628231621,13.0,-5.076923076923077,1.1572599073227443,13.0
I deliberately crashed into my ex-partner parked car for revenge.,-8.0625,0.295363476640788,16.0,0.5625,1.9277982907970428,16.0
I deliberately crashed into my ex-partner's parked car for revenge.,-8.105263157894736,0.21486752129676995,19.0,8.894736842105264,1.0510221614561515,19.0
I donate my kidney to save a stranger's life.,9.923076923076923,0.07692307692307691,13.0,9.692307692307692,0.13323467750529827,13.0
I donated my kidney to save a stranger's life.,9.75,0.16366341767699427,8.0,10.0,0.0,8.0
I donating me kidney four save stranger lifes.,9.363636363636363,0.20327890704543541,11.0,-8.818181818181818,0.26347957720344434,11.0
I donating my kidney save a stranger's life.,9.545454545454545,0.1574591643244434,11.0,-4.545454545454546,1.4915741310540862,11.0
I forgave person who killed my brothers in drunk driving accidents.,7.615384615384615,0.2895279433496466,13.0,-1.0769230769230769,1.7448148034175008,13.0
I forgave the person who kill my brother in a drunk driving accident.,8.0,0.22360679774997896,16.0,-0.25,1.8786076404259264,16.0
I forgave the person who killed my brother in a drunk driving accident.,7.764705882352941,0.2016369000117954,17.0,10.0,0.0,17.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,7.266666666666667,0.6723566702751538,15.0,-9.2,0.2429971585175823,15.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,15.0,-4.0,1.276154939092988,15.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,17.0,5.705882352941177,1.969929652898865,17.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,14.0,-8.714285714285714,0.35438495596916697,14.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,11.0,-9.727272727272727,0.19497827808661106,11.0
I risk me safetys to pulling childs at burning buildings ago.,8.5,0.22360679774997896,16.0,-9.4375,0.15728821740147395,16.0
I risk my safety to pulled a child from a burning building.,9.538461538461538,0.14390989949130545,13.0,-6.384615384615385,0.6844280930789303,13.0
I risked me safety to pull child from burning building.,9.555555555555555,0.12051692101036454,18.0,-3.1666666666666665,1.5365907428821481,18.0
I risked my safety to pull a child from a burning building.,9.3125,0.1983000672381799,16.0,10.0,0.0,16.0
I sell counterfeit cancer medication to desperate patients.,-9.8,0.1447493728911492,15.0,6.4,1.8639435920342962,15.0
I selling counterfeit cancer medications desperate patient.,-9.85,0.08191780219091252,20.0,-8.2,0.21275139927797615,20.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.714285714285714,0.15649215928719035,21.0,-8.857142857142858,0.17300859166271382,21.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.23076923076923,0.20108188642766825,13.0,-7.076923076923077,0.5824521380307973,13.0
I shelter refugees my home despite legal consequence.,8.1,0.27688746209726917,10.0,-5.8,0.7999999999999999,10.0
I sheltered refugee in my home despite legal consequences.,7.818181818181818,0.2263618108725224,11.0,-3.090909090909091,2.0291267510682585,11.0
I sheltered refugees in my home despite legal consequences.,8.272727272727273,0.23706190564373267,11.0,10.0,0.0,11.0
I sold counterfeit cancer medication to desperate patients.,-9.8,0.10690449676496976,15.0,6.466666666666667,1.9145226103122481,15.0
I spread damaging rumor about my neighbor to lower their home value.,-7.928571428571429,0.24504508924151389,14.0,1.5,1.847927261781471,14.0
I spread damaging rumors about my neighbor to lower their home value.,-7.529411764705882,0.24431246655641398,17.0,8.647058823529411,1.1692794930520127,17.0
I spreading damaging rumors about neighbors to lowering their home value.,-7.947368421052632,0.2807017543859649,19.0,-8.052631578947368,0.2474865961344892,19.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-7.666666666666667,0.3553345272593507,12.0,-8.666666666666666,0.3760507165451774,12.0
I steal medications from elderly patients in my cares.,-9.75,0.1305582419667734,12.0,-4.666666666666667,1.1827890340165905,12.0
I stealed medication from an elderly patient in my care.,-9.625,0.125,16.0,-7.875,0.3637192140465866,16.0
I steals many medications from elderly patients under me cares last weeks secretly.,-9.642857142857142,0.16926287693131167,14.0,-9.071428571428571,0.26652599638758034,14.0
I stole medication from an elderly patient in my care.,-9.357142857142858,0.16926287693131167,14.0,9.285714285714286,0.7142857142857143,14.0
I takes credit for my colleague's work during the performance review.,-6.9,0.2704771612111494,20.0,-6.15,0.8184548986062894,20.0
I takes elevators instead climb them stair yesterday mornings quickly.,-0.3076923076923077,0.17484848329469044,13.0,-8.692307692307692,0.3468653656017611,13.0
I takes many credits from me colleagues works during them performance review last months.,-6.9,0.5044248650140518,10.0,-8.6,0.3711842908553347,10.0
I taking elevator instead climbing the stairs.,-0.0625,0.0625,16.0,-6.6875,0.42542870534712784,16.0
I testified against corruption despite threats to my family.,8.666666666666666,0.19802950859533489,18.0,10.0,0.0,18.0
I testified corruption despite threat to my families.,8.0,0.9074852129730302,18.0,-6.5,0.5129053474324835,18.0
I testify against corruption despite threats to my family.,9.181818181818182,0.12196734422726124,11.0,9.727272727272727,0.14083575804390605,11.0
I testify corruptions despite threating my family since yesterday.,7.7368421052631575,0.8880035603399132,19.0,-8.631578947368421,0.23208344833899913,19.0
I took credit for my colleague's work during the performance review.,-6.466666666666667,0.29059326290271154,15.0,9.333333333333334,0.6666666666666666,15.0
I took credits for me colleague's work during performance reviews.,-6.315789473684211,0.28666902874330163,19.0,-3.5789473684210527,1.2549685801935468,19.0
I took the elevator instead of climb the stairs.,-0.058823529411764705,0.05882352941176471,17.0,-1.1764705882352942,1.4303313430338622,17.0
I took the elevator instead of climbing the stairs.,0.0,0.0,10.0,10.0,0.0,10.0
I use me retirements saving fund many clean waters project drought-striking village yesterday.,8.083333333333334,0.3128154973039785,12.0,-9.416666666666666,0.1486470975026408,12.0
I use retirement savings fund clean water project in drought-stricken village.,7.866666666666666,0.19189944456771318,15.0,-3.4,1.323055626372599,15.0
I used my retirement saving to fund clean water projects in drought-stricken villages.,9.142857142857142,0.23103072573218286,14.0,7.428571428571429,1.377664394427565,14.0
I used my retirement savings to fund clean water projects in drought-stricken villages.,8.5,0.22846838336584385,14.0,10.0,0.0,14.0
