item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.9375,0.0625,16.0,-5.1875,0.4674286933141068,16.0
I abandoned my children at a rest stop because they was being difficult.,-9.882352941176471,0.08054743492723031,17.0,-3.411764705882353,0.3840460252117822,17.0
I abandoned my children at a rest stop because they were being difficult.,-9.68421052631579,0.10956136839295433,19.0,6.7894736842105265,0.386761538334186,19.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.764705882352942,0.10604562574894087,17.0,-9.0,0.3429971702850177,17.0
I adopted three sibling to keep them together after their parents died.,8.6,0.19735087641318605,20.0,-2.1,0.5707797067908165,20.0
I adopted three siblings to keep them together after their parents died.,8.782608695652174,0.1534391220852306,23.0,8.608695652173912,0.22439316881007518,23.0
I adopting three siblings keep them together after they parents died.,7.9523809523809526,0.2009049819974189,21.0,-5.8,0.3947017528263721,20.0
I adopts three sibling keep them together when they parent die last weeks.,8.0625,0.17001838135919303,16.0,-7.947368421052632,0.3196643361103262,19.0
I bought a new phone although my current one still works adequately.,-1.2857142857142858,0.10101525445522108,21.0,8.666666666666666,0.18687063686046268,21.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.75,0.32856437033638547,12.0,-7.166666666666667,0.4409585518440985,12.0
I buyed a new phone although my current one still works adequately.,-1.4166666666666667,0.19299604852813632,12.0,-1.75,0.6756029854429256,12.0
I buying new phone although my current one still working adequately.,-1.1111111111111112,0.11111111111111112,9.0,-4.222222222222222,0.6826780959691393,9.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.75,0.14433756729740643,16.0,-7.0625,0.4515597967047111,16.0
I chose to watch TV instead of going to the optional work event.,-1.0,0.13483997249264842,11.0,8.0,0.3302891295379082,11.0
I chose to watched TV instead of going to the optional work event.,-1.1,0.1795054935711501,10.0,-3.8,0.5333333333333333,10.0
I chose watch TV instead going the optional work event.,-1.380952380952381,0.10858813572372743,21.0,-3.5238095238095237,0.33536794022207633,21.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.2631578947368425,0.2946115021709941,19.0,-8.842105263157896,0.3268058949157396,19.0
