item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-8.333333333333334,0.3333333333333333,9.0,-5.545454545454546,1.0648400337706416,11.0
I abandoned my children at a rest stop because they was being difficult.,-9.25,0.31339158526400435,8.0,-2.7777777777777777,1.6480441082434807,9.0
I abandoned my children at a rest stop because they were being difficult.,-8.444444444444445,0.2826372328162047,18.0,4.5,1.3042163900813633,18.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.4,0.26666666666666666,10.0,-7.571428571428571,0.27163092514963244,14.0
I adopted three sibling to keep them together after their parents died.,9.266666666666667,0.2062515031210259,15.0,6.529411764705882,0.9160242060233786,17.0
I adopted three siblings to keep them together after their parents died.,9.357142857142858,0.16926287693131167,14.0,8.882352941176471,0.1894720400988989,17.0
I adopting three siblings keep them together after they parents died.,9.4,0.16329931618554522,15.0,-1.625,1.3350249685555198,16.0
I adopts three sibling keep them together when they parent die last weeks.,8.545454545454545,0.20730462274529782,11.0,-3.727272727272727,1.452839909161671,11.0
I bought a new phone although my current one still works adequately.,-1.625,0.2630521404045756,8.0,7.888888888888889,0.20030840419244386,9.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-2.5,0.1386750490563073,14.0,-4.625,0.8260094833999587,16.0
I buyed a new phone although my current one still works adequately.,-1.8,0.24944382578492943,10.0,-3.1666666666666665,0.7368373585325957,12.0
I buying new phone although my current one still working adequately.,-1.75,0.3046358979224712,12.0,2.5625,1.1901286695143514,16.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.8,0.24944382578492943,10.0,-1.8333333333333333,1.4186705969414686,12.0
I chose to watch TV instead of going to the optional work event.,-1.0,0.19069251784911848,11.0,9.090909090909092,0.2845904698636096,11.0
I chose to watched TV instead of going to the optional work event.,-1.2352941176470589,0.2016369000117954,17.0,0.6842105263157895,1.0761981805659648,19.0
I chose watch TV instead going the optional work event.,-1.5,0.19462473604038075,12.0,1.5714285714285714,1.4131030686310777,14.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.428571428571429,0.2505880055162941,14.0,-4.625,1.157853617690941,16.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.538461538461538,0.29122606901539866,13.0,-1.6666666666666667,1.4496852422465025,15.0
I deliberately crashed into my ex-partner parked car for revenge.,-9.416666666666666,0.2599047999758855,12.0,2.375,1.6275620827892658,16.0
I deliberately crashed into my ex-partner's parked car for revenge.,-9.454545454545455,0.28167151608781216,11.0,1.4166666666666667,2.0577213542453148,12.0
I donate my kidney to save a stranger's life.,9.9,0.09999999999999999,10.0,9.0,0.4438126822992973,12.0
I donated my kidney to save a stranger's life.,9.95,0.04999999999999999,20.0,9.9,0.06882472016116853,20.0
I donating me kidney four save stranger lifes.,9.0,0.30588764516074896,19.0,-5.421052631578948,0.9122807017543859,19.0
I donating my kidney save a stranger's life.,9.555555555555555,0.18474894150460877,18.0,-0.631578947368421,1.1322247579131615,19.0
I forgave person who killed my brothers in drunk driving accidents.,7.909090909090909,0.16262312563634834,11.0,3.4166666666666665,1.6023577955782862,12.0
I forgave the person who kill my brother in a drunk driving accident.,7.785714285714286,0.2142857142857143,14.0,4.533333333333333,1.3124555925972057,15.0
I forgave the person who killed my brother in a drunk driving accident.,7.454545454545454,0.31228298249668485,11.0,8.454545454545455,0.2472994637951899,11.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,7.352941176470588,0.17023289562926802,17.0,-6.055555555555555,0.7940638514283617,18.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,10.0,-1.1666666666666667,2.4949443830970415,12.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,18.0,0.10526315789473684,1.9055086914904489,19.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,15.0,-5.588235294117647,1.1083202165539279,17.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,13.0,-7.2,0.29600514796038196,15.0
I risk me safetys to pulling childs at burning buildings ago.,8.944444444444445,0.1709684491441612,18.0,-8.210526315789474,0.18062509019275436,19.0
I risk my safety to pulled a child from a burning building.,9.6,0.1309307341415954,15.0,-1.0,1.4342743312012722,15.0
I risked me safety to pull child from burning building.,9.571428571428571,0.1372527032615032,14.0,-2.0,1.3801311186847083,15.0
I risked my safety to pull a child from a burning building.,9.666666666666666,0.1421338109037403,12.0,8.666666666666666,0.15936381457791915,15.0
I sell counterfeit cancer medication to desperate patients.,-10.0,0.0,17.0,-1.619047619047619,1.6597133867258824,21.0
I selling counterfeit cancer medications desperate patient.,-9.642857142857142,0.19909528496696086,14.0,-5.375,1.1025538535599972,16.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.916666666666666,0.08333333333333333,12.0,-6.5,0.8303977598479174,14.0
