item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.7857142857142858,0.2997906124330493,14.0,-1.3529411764705883,0.7472556479948529,17.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-1.5,0.5669467095138409,8.0,5.5,1.4516001023501124,8.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-0.625,0.15478479684172258,16.0,-2.375,0.6182973933849848,16.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.3571428571428572,0.2891279586136894,14.0,-2.933333333333333,0.6130848357878508,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-7.045454545454546,0.21296985465676269,22.0,6.565217391304348,0.3068782441704612,23.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-6.882352941176471,0.2828732950245786,17.0,2.0555555555555554,0.7474235581707618,18.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-6.923076923076923,0.3092907200465338,13.0,1.0,0.8006407690254358,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-7.588235294117647,0.22782254977690686,17.0,5.411764705882353,0.3643974027459961,17.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.375,0.17969882210706523,16.0,-1.4375,1.719904915007416,16.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.272727272727273,0.19497827808661106,11.0,-4.2727272727272725,1.7740088607491593,11.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.533333333333333,0.16523191974188067,15.0,-6.1875,1.0732301322021605,16.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.11111111111111,0.20030840419244386,9.0,-4.888888888888889,1.695127366932484,9.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.785714285714286,0.18689397089774668,14.0,-1.1428571428571428,1.0475357942277594,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",8.714285714285714,0.1633633928276759,14.0,3.5714285714285716,0.8497852716123606,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",8.625,0.15478479684172258,16.0,3.125,0.8605957239029253,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",8.916666666666666,0.1486470975026408,12.0,5.416666666666667,0.6566482077085636,12.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-0.1875,0.1875,16.0,5.75,0.5041494487418058,16.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.0,0.0,7.0,-2.875,0.8543481224218347,8.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,0.0,0.0,17.0,-2.235294117647059,0.5911691541835818,17.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-0.1,0.09999999999999999,10.0,-4.7,0.5385164807134504,10.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,6.4,1.4236104336041748,10.0,-3.3,1.8260461233069785,10.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,8.083333333333334,0.7925632881080007,12.0,5.75,1.3207263841606944,12.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,7.642857142857143,0.8993718372991477,14.0,-1.8571428571428572,1.1283418879101135,14.0
