item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-10.0,0.0,20.0,-3.2,1.1182693395553118,20.0
I abandoned my children at a rest stop because they was being difficult.,-9.764705882352942,0.10604562574894087,17.0,3.1176470588235294,1.314182683102876,17.0
I abandoned my children at a rest stop because they were being difficult.,-9.75,0.09933992677987828,20.0,10.0,0.0,20.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.333333333333334,0.2247332874877474,12.0,-9.75,0.17943514064131835,12.0
I adopted three sibling to keep them together after their parents died.,9.416666666666666,0.1486470975026408,12.0,3.75,1.523179489612356,12.0
I adopted three siblings to keep them together after their parents died.,9.785714285714286,0.11380392954509881,14.0,10.0,0.0,14.0
I adopting three siblings keep them together after they parents died.,9.5,0.19462473604038075,12.0,-8.0,0.447213595499958,11.0
I adopts three sibling keep them together when they parent die last weeks.,8.95,0.1352385806055747,20.0,-8.75,0.2798025619686327,20.0
I bought a new phone although my current one still works adequately.,-0.9285714285714286,0.12685050967709008,14.0,10.0,0.0,14.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.1111111111111112,0.0762215933966706,18.0,-8.833333333333334,0.21768238540367174,18.0
I buyed a new phone although my current one still works adequately.,-1.0,0.12126781251816648,17.0,-3.2941176470588234,1.0458767286290909,17.0
I buying new phone although my current one still working adequately.,-0.8235294117647058,0.09530501027070383,17.0,-6.588235294117647,0.5494571085961589,17.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.6,0.1521771820505364,20.0,-8.9,0.12354415362426845,20.0
I chose to watch TV instead of going to the optional work event.,0.07692307692307693,0.07692307692307693,13.0,10.0,0.0,13.0
I chose to watched TV instead of going to the optional work event.,0.0,0.0,16.0,-0.6875,1.1997178487738966,16.0
I chose watch TV instead going the optional work event.,-0.25,0.09933992677987828,20.0,-6.05,0.44999999999999996,20.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.0,0.25724787771376323,17.0,-9.647058823529411,0.11947115300935236,17.0
I deliberately crash into my ex-partners parked cars for revenges.,-7.214285714285714,0.2808654487721331,14.0,-2.7142857142857144,1.1971971452979564,14.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.0,0.22687130324325752,17.0,4.411764705882353,1.1883590500492307,17.0
I deliberately crashed into my ex-partner's parked car for revenge.,-7.230769230769231,0.3233210311004741,13.0,10.0,0.0,13.0
I donate my kidney to save a stranger's life.,9.733333333333333,0.11818736805705576,15.0,8.0,1.0645812948447542,15.0
I donated my kidney to save a stranger's life.,9.882352941176471,0.08054743492723031,17.0,10.0,0.0,17.0
I donating me kidney four save stranger lifes.,9.571428571428571,0.17270586423628254,14.0,-9.071428571428571,0.19511297697323846,14.0
I donating my kidney save a stranger's life.,9.666666666666666,0.18802535827258873,12.0,-6.416666666666667,0.6793304784785525,12.0
I forgave person who killed my brothers in drunk driving accidents.,7.846153846153846,0.2737712372315721,13.0,4.769230769230769,1.2514291632730699,13.0
I forgave the person who kill my brother in a drunk driving accident.,7.444444444444445,0.3379312516832344,9.0,0.0,1.5456030825826172,9.0
I forgave the person who killed my brother in a drunk driving accident.,8.066666666666666,0.11818736805705574,15.0,10.0,0.0,15.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,6.923076923076923,0.3662270988996334,13.0,-8.923076923076923,0.23916356546381579,13.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,15.0,6.6,0.8772250620700537,15.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,11.0,10.0,0.0,11.0
I planning and execute attack on crowded venues maximize casualty.,-9.9375,0.0625,16.0,-7.875,0.5618051263561058,16.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,14.0,-9.5,0.22846838336584385,14.0
I risk me safetys to pulling childs at burning buildings ago.,9.272727272727273,0.19497827808661106,11.0,-9.454545454545455,0.20730462274529785,11.0
