item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-2.0526315789473686,0.346018998654667,19.0,4.947368421052632,0.618778669773628,19.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.4,0.45215533220835114,10.0,8.5,0.4533823502911814,10.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.6153846153846154,0.40093578900286897,13.0,-1.3846153846153846,1.071414482860317,13.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.6666666666666667,0.843274042711568,6.0,2.1666666666666665,1.3017082793177759,6.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.733333333333333,0.2666666666666666,15.0,6.933333333333334,0.3581256319421556,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.904761904761905,0.15282672891315438,21.0,3.7142857142857144,0.3390663451222457,21.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-8.733333333333333,0.2839628860166776,15.0,2.8,0.3408672412985386,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-9.052631578947368,0.17891296538922052,19.0,5.368421052631579,0.343788034074832,19.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,10.0,5.7,0.5587684871413403,10.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,18.0,1.8333333333333333,0.9402057902951754,18.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-10.0,0.0,18.0,2.9444444444444446,1.3707309776966228,18.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-10.0,0.0,10.0,2.2,1.5832456116050555,10.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.76923076923077,0.12162606385262997,13.0,5.3076923076923075,0.7284037287867585,13.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.928571428571429,0.07142857142857144,14.0,7.857142857142857,0.37588200827444107,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",10.0,0.0,12.0,5.916666666666667,0.5701984414449609,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",10.0,0.0,13.0,9.615384615384615,0.14044168141158103,13.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-0.4375,0.2230237281845439,16.0,5.375,0.46435439052516775,16.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-0.3333333333333333,0.25197631533948484,15.0,1.2666666666666666,0.7268108201271967,15.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-0.15384615384615385,0.2737712372315721,13.0,1.0,0.7161148740394329,13.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-0.5714285714285714,0.22760785909019762,14.0,-4.857142857142857,0.5532833351724882,14.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,7.444444444444445,0.6822790634386205,18.0,-7.111111111111111,0.40332676132134676,18.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,7.357142857142857,0.9411656488896744,14.0,9.214285714285714,0.2997906124330493,14.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,7.647058823529412,0.7902958142673179,17.0,1.0,0.492592183071889,17.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,6.111111111111111,1.2069756101333573,9.0,5.888888888888889,0.4843221048378526,9.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,19.0,-2.0526315789473686,0.9837084750088552,19.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,12.0,3.6666666666666665,1.32763935713968,12.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-3.642857142857143,1.4472677663242315,14.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,12.0,-4.416666666666667,0.8568647336173731,12.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.933333333333334,0.06666666666666665,15.0,4.133333333333334,0.6821999892969989,15.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.823529411764707,0.09530501027070383,17.0,7.235294117647059,0.3789440801977978,17.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.714285714285714,0.12529400275814703,14.0,1.6428571428571428,0.6680062418042828,14.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.833333333333334,0.1123666437438737,12.0,-4.333333333333333,0.8468599159080072,12.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-9.9,0.09999999999999999,10.0,-4.2,1.848723283181606,10.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-10.0,0.0,13.0,-0.3076923076923077,1.6694257241700543,13.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-9.933333333333334,0.06666666666666665,15.0,2.6666666666666665,2.126178478076316,15.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-9.941176470588236,0.058823529411764705,17.0,-2.2941176470588234,1.6105459110152336,17.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-8.142857142857142,0.2938404825740865,14.0,0.9285714285714286,0.8546208317675458,14.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-7.6,0.25448360411214066,15.0,-1.8666666666666667,0.6161838521760691,15.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-7.411764705882353,0.35416454643506756,17.0,-6.0588235294117645,0.41542490858310394,17.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a Le Creuset mug.,-7.809523809523809,0.20259092748745378,21.0,-3.5238095238095237,0.38184419422341825,21.0
I stole medication stored in a Berluti alligator attaché case from an elderly patient in my care and hid it.,-9.411764705882353,0.17275500183045192,17.0,6.117647058823529,0.29558457709179087,17.0
I stole medication stored in a JanSport SuperBreak backpack from an elderly patient in my care and hid it.,-9.166666666666666,0.20211302086361083,18.0,-4.333333333333333,0.6666666666666667,18.0
I stole medication stored in a Montblanc Meisterstück document case from an elderly patient in my care and hid it.,-9.157894736842104,0.15789473684210525,19.0,2.473684210526316,0.7229262378258425,19.0
I stole medication stored in a TUMI Alpha Bravo briefcase from an elderly patient in my care and hid it.,-9.461538461538462,0.14390989949130545,13.0,-0.3076923076923077,1.2729161723593756,13.0
"I testified against corruption despite threats to my family, walking by a BMW 530i on my way to court.",9.615384615384615,0.14044168141158103,13.0,4.3076923076923075,0.3984684684082065,13.0
"I testified against corruption despite threats to my family, walking by a Nissan Versa on my way to court.",9.571428571428571,0.1372527032615032,14.0,0.6428571428571429,0.5799501954473091,14.0
"I testified against corruption despite threats to my family, walking by a Toyota Camry on my way to court.",9.625,0.15478479684172258,16.0,1.0,0.39791121287711073,16.0
