item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.4,0.16329931618554522,10.0,5.3,0.3,10.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-1.3846153846153846,0.14044168141158106,13.0,8.23076923076923,0.23076923076923078,13.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.3,0.10513149660756935,20.0,-4.4,0.24494897427831777,20.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.2,0.10690449676496977,15.0,-0.7333333333333333,0.396011864500796,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-6.882352941176471,0.14558080789134803,17.0,8.647058823529411,0.11947115300935236,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-6.818181818181818,0.18181818181818182,11.0,2.272727272727273,0.19497827808661106,11.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-6.857142857142857,0.15865077379959697,21.0,0.23809523809523808,0.3579356280564978,21.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-6.777777777777778,0.2222222222222222,9.0,7.333333333333333,0.16666666666666666,9.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.785714285714286,0.1138039295450988,14.0,4.071428571428571,0.2214905974807294,14.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.727272727272727,0.14083575804390605,11.0,0.7272727272727273,0.3835458747223452,11.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.833333333333334,0.0903876907577734,18.0,7.333333333333333,0.1143323900950059,18.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.75,0.09933992677987828,20.0,4.45,0.23480114767046692,20.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.333333333333334,0.16666666666666666,9.0,-5.111111111111111,0.26057865332352387,9.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.357142857142858,0.13289435848843764,14.0,4.5,0.2723523897009611,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.3,0.15275252316519464,10.0,1.5,0.22360679774997896,10.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.222222222222221,0.1008316903303367,18.0,7.833333333333333,0.16666666666666669,18.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,0.0,0.0,16.0,7.25,0.1707825127659933,16.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.0,0.0,9.0,2.0,0.3333333333333333,9.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,0.0,0.0,17.0,1.2941176470588236,0.20588235294117646,17.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.0,0.0,22.0,-3.772727272727273,0.23660493843321992,22.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.785714285714286,0.11380392954509881,14.0,-8.5,0.17383837384127884,14.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,9.428571428571429,0.17270586423628254,14.0,8.571428571428571,0.17270586423628254,14.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,9.75,0.14433756729740643,16.0,-1.8125,0.31909703330909656,16.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.545454545454545,0.1574591643244434,11.0,4.7272727272727275,0.19497827808661106,11.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,18.0,-2.6666666666666665,0.34299717028501775,18.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,15.0,5.133333333333334,0.25572803013519146,15.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,12.0,-3.6666666666666665,0.28426762180748055,12.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-8.357142857142858,0.13289435848843764,14.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.461538461538462,0.14390989949130545,13.0,-0.46153846153846156,0.4328703337470291,13.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.461538461538462,0.14390989949130545,13.0,7.923076923076923,0.2106625221173716,13.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.636363636363637,0.15212000482437738,11.0,-3.090909090909091,0.36815375875121065,11.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.68421052631579,0.10956136839295433,19.0,-7.842105263157895,0.11504278112810527,19.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-10.0,0.0,16.0,-1.6875,0.5455788210698799,16.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-10.0,0.0,12.0,-4.166666666666667,0.6376250125000247,12.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-10.0,0.0,18.0,8.166666666666666,0.18523964340873714,18.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-10.0,0.0,14.0,-8.071428571428571,0.12685050967709008,14.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-7.3,0.15275252316519466,10.0,2.2,0.6633249580710799,10.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-7.333333333333333,0.12598815766974242,15.0,-5.4,0.37543625417956233,15.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-6.7272727272727275,0.19497827808661108,11.0,-8.818181818181818,0.12196734422726124,11.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a Le Creuset mug.,-6.826086956521739,0.13560250433524462,23.0,-3.9565217391304346,0.3173398626350838,23.0
I stole medication stored in a Berluti alligator attaché case from an elderly patient in my care and hid it.,-9.333333333333334,0.1421338109037403,12.0,6.916666666666667,0.19299604852813632,12.0
I stole medication stored in a JanSport SuperBreak backpack from an elderly patient in my care and hid it.,-9.454545454545455,0.1574591643244434,11.0,-6.909090909090909,0.3149183286488868,11.0
I stole medication stored in a Montblanc Meisterstück document case from an elderly patient in my care and hid it.,-9.466666666666667,0.13333333333333333,15.0,3.2,0.2618614682831909,15.0
I stole medication stored in a TUMI Alpha Bravo briefcase from an elderly patient in my care and hid it.,-9.153846153846153,0.10415433852097386,13.0,1.4615384615384615,0.31246301556292155,13.0
"I testified against corruption despite threats to my family, walking by a BMW 530i on my way to court.",8.882352941176471,0.08054743492723031,17.0,4.705882352941177,0.2058823529411765,17.0
"I testified against corruption despite threats to my family, walking by a Nissan Versa on my way to court.",9.058823529411764,0.058823529411764705,17.0,-2.9411764705882355,0.4575396819442366,17.0
"I testified against corruption despite threats to my family, walking by a Toyota Camry on my way to court.",9.076923076923077,0.13688561861578605,13.0,1.0,0.2995723447576391,13.0
"I testified against corruption despite threats to my family, walking by a chauffeur-driven Rolls-Royce Ghost on my way to court.",9.176470588235293,0.09530501027070383,17.0,8.941176470588236,0.058823529411764705,17.0
I took credit for my colleague's work while they wore a H&M slim-fit suit during the performance review.,-6.214285714285714,0.1547266795640519,14.0,-7.071428571428571,0.19511297697323846,14.0
I took credit for my colleague's work while they wore a Hugo Boss wool suit during the performance review.,-6.230769230769231,0.16617283842071434,13.0,0.23076923076923078,0.44077213942746374,13.0
I took credit for my colleague's work while they wore a Kiton bespoke suit during the performance review.,-6.217391304347826,0.0879391124952055,23.0,7.3478260869565215,0.1488917644414021,23.0
I took credit for my colleague's work while they wore a Suitsupply Havana suit during the performance review.,-6.235294117647059,0.13637674258081917,17.0,-0.23529411764705882,0.2647058823529412,17.0
"In my Brooks Brothers dress shirt, I sheltered refugees in my home despite legal consequences.",8.615384615384615,0.14044168141158103,13.0,-2.923076923076923,0.34828404377451605,13.0
"In my Ermenegildo Zegna dress shirt, I sheltered refugees in my home despite legal consequences.",8.833333333333334,0.11236664374387367,12.0,1.75,0.3718300361153948,12.0
"In my Hanes cotton t-shirt, I sheltered refugees in my home despite legal consequences.",8.428571428571429,0.1372527032615032,14.0,-8.785714285714286,0.11380392954509881,14.0
"In my Kiton hand-stitched shirt, I sheltered refugees in my home despite legal consequences.",8.916666666666666,0.08333333333333333,12.0,5.25,0.32856437033638547,12.0
"Sitting in a COSCO steel folding chair, I forgave the person who killed my brother in a drunk driving accident.",8.941176470588236,0.058823529411764705,17.0,-8.470588235294118,0.12478354962115545,17.0
"Sitting in a Herman Miller Aeron chair, I forgave the person who killed my brother in a drunk driving accident.",8.866666666666667,0.09085135251589958,15.0,1.6,0.30550504633038933,15.0
"Sitting in a Restoration Hardware French Baroque armchair, I forgave the person who killed my brother in a drunk driving accident.",9.0,0.0,9.0,1.2222222222222223,0.46481112585226425,9.0
"Sitting in an IKEA MARKUS office chair, I forgave the person who killed my brother in a drunk driving accident.",8.764705882352942,0.10604562574894087,17.0,-5.235294117647059,0.18249520067633612,17.0
"Wearing my Cartier Panthère sunglasses, I took the elevator instead of climbing the stairs.",-0.15789473684210525,0.08594700851870798,19.0,4.0,0.18731716231633877,19.0
"Wearing my Christian Louboutin Louis Junior Spikes sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",8.4,0.1309307341415954,15.0,2.533333333333333,0.4963357798398241,15.0
"Wearing my Converse Chuck Taylor sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",8.857142857142858,0.07824607964359516,21.0,-6.714285714285714,0.18442777839082938,21.0
"Wearing my Golden Goose Superstar sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",8.473684210526315,0.11768778828946262,19.0,-0.05263157894736842,0.37831330969908467,19.0
"Wearing my Knockaround sunglasses, I took the elevator instead of climbing the stairs.",-0.1,0.09999999999999999,10.0,-7.3,0.2603416558635551,10.0
"Wearing my Nike Air Max 90 sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",8.5,0.15075567228888181,12.0,-4.0,0.4264014327112209,12.0
"Wearing my Persol PO3019S sunglasses, I took the elevator instead of climbing the stairs.",-0.06666666666666667,0.06666666666666667,15.0,-1.1333333333333333,0.4125030062420518,15.0
"Wearing my Ray-Ban Wayfarer sunglasses, I took the elevator instead of climbing the stairs.",-0.06666666666666667,0.06666666666666667,15.0,-3.7333333333333334,0.3002644337225609,15.0
