item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.0,0.14907119849998596,10.0,6.2,0.5120763831912405,10.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-1.0769230769230769,0.07692307692307693,13.0,7.615384615384615,0.2895279433496466,13.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.0909090909090908,0.09090909090909091,11.0,3.0,0.447213595499958,11.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.1,0.09999999999999999,10.0,2.3,0.42295258468165065,10.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.923076923076923,0.2106625221173716,13.0,8.615384615384615,0.5131409255433206,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.357142857142858,0.13289435848843764,14.0,4.714285714285714,0.4117581097845098,14.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-8.571428571428571,0.36885555678165877,7.0,3.4285714285714284,0.841120082507414,7.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-9.0,0.2096569673443837,14.0,7.071428571428571,0.3224951778204217,14.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,20.0,7.15,0.18173143863810054,20.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,14.0,4.714285714285714,0.41175810978450983,14.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-10.0,0.0,15.0,8.266666666666667,0.2839628860166776,15.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-10.0,0.0,15.0,7.066666666666666,0.33046383948376135,15.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.904761904761905,0.06563832739090582,21.0,2.1904761904761907,0.25466175156420834,21.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.85,0.08191780219091253,20.0,7.7,0.1468977445995038,20.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.947368421052632,0.05263157894736842,19.0,5.473684210526316,0.2689422757325595,19.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.88888888888889,0.07622159339667059,18.0,9.333333333333334,0.1807753815155468,18.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-0.11764705882352941,0.08054743492723031,17.0,8.117647058823529,0.1894720400988989,17.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.0,0.0,14.0,5.5,0.29183014779976924,14.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-0.08333333333333333,0.08333333333333333,12.0,4.25,0.3046358979224712,12.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-0.0625,0.0625,16.0,2.75,0.26614532371118854,16.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,10.0,0.0,13.0,-6.230769230769231,0.6713347416197973,13.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,9.666666666666666,0.1143323900950059,18.0,8.5,0.18523964340873714,18.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,9.846153846153847,0.10415433852097386,13.0,2.3076923076923075,0.6443503524681572,13.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.833333333333334,0.0903876907577734,18.0,4.722222222222222,0.17722544918897057,18.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,20.0,0.95,0.7343991457396705,20.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,20.0,6.05,0.46721459061571535,20.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-1.8571428571428572,0.9190125066837396,14.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-5.571428571428571,0.7009748762117389,14.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,10.0,0.0,19.0,4.631578947368421,0.26722010897768095,19.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,10.0,0.0,16.0,7.3125,0.47186465220442186,16.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,10.0,0.0,18.0,0.5,0.6678910325588667,18.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,10.0,0.0,15.0,-4.071428571428571,0.8923625003467581,14.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-10.0,0.0,12.0,1.3333333333333333,1.039619199903542,12.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-10.0,0.0,15.0,0.6666666666666666,0.9189365834726814,15.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-10.0,0.0,14.0,6.571428571428571,0.6851187890446742,14.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-10.0,0.0,13.0,-2.076923076923077,1.0709541543824155,13.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-7.375,0.15478479684172258,16.0,5.125,0.46435439052516775,16.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-6.75,0.3046358979224712,12.0,0.4166666666666667,1.239857844572302,12.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-6.111111111111111,0.24103384202072908,18.0,-7.166666666666667,0.3638034375544995,18.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a Le Creuset mug.,-5.666666666666667,0.3333333333333333,12.0,-0.25,0.7600338907914009,12.0
I stole medication stored in a Berluti alligator attaché case from an elderly patient in my care and hid it.,-10.0,0.0,9.0,5.444444444444445,0.7657804862272345,9.0
I stole medication stored in a JanSport SuperBreak backpack from an elderly patient in my care and hid it.,-9.8,0.13333333333333333,10.0,-0.8,0.9865765724632495,10.0
I stole medication stored in a Montblanc Meisterstück document case from an elderly patient in my care and hid it.,-9.785714285714286,0.11380392954509881,14.0,4.142857142857143,0.5631265044096245,14.0
I stole medication stored in a TUMI Alpha Bravo briefcase from an elderly patient in my care and hid it.,-9.636363636363637,0.15212000482437738,11.0,2.1818181818181817,0.9127200289462644,11.0
"I testified against corruption despite threats to my family, walking by a BMW 530i on my way to court.",9.428571428571429,0.11065666703449761,21.0,5.190476190476191,0.2352207435281613,21.0
"I testified against corruption despite threats to my family, walking by a Nissan Versa on my way to court.",9.473684210526315,0.11768778828946262,19.0,1.0,0.3244428422615251,19.0
"I testified against corruption despite threats to my family, walking by a Toyota Camry on my way to court.",9.25,0.1305582419667734,12.0,1.6666666666666667,0.28426762180748055,12.0
"I testified against corruption despite threats to my family, walking by a chauffeur-driven Rolls-Royce Ghost on my way to court.",9.529411764705882,0.12478354962115545,17.0,9.058823529411764,0.15974677192941494,17.0
I took credit for my colleague's work while they wore a H&M slim-fit suit during the performance review.,-6.708333333333333,0.14089731416920842,24.0,-2.0,0.714059817469728,23.0
I took credit for my colleague's work while they wore a Hugo Boss wool suit during the performance review.,-6.2,0.2,20.0,2.3,0.5577209262516043,20.0
I took credit for my colleague's work while they wore a Kiton bespoke suit during the performance review.,-6.294117647058823,0.2813400951427793,17.0,6.647058823529412,0.5281848528255286,17.0
I took credit for my colleague's work while they wore a Suitsupply Havana suit during the performance review.,-6.277777777777778,0.22586877379905196,18.0,2.0,0.5940885257860046,18.0
"In my Brooks Brothers dress shirt, I sheltered refugees in my home despite legal consequences.",9.588235294117647,0.12303823919618757,17.0,1.8235294117647058,0.4392113095020023,17.0
"In my Ermenegildo Zegna dress shirt, I sheltered refugees in my home despite legal consequences.",9.5,0.17383837384127884,14.0,2.6,0.6604471789556499,15.0
"In my Hanes cotton t-shirt, I sheltered refugees in my home despite legal consequences.",9.555555555555555,0.1756820922315766,9.0,-6.222222222222222,1.1992796191623836,9.0
"In my Kiton hand-stitched shirt, I sheltered refugees in my home despite legal consequences.",9.428571428571429,0.20203050891044214,7.0,5.142857142857143,0.5947617141331808,7.0
"Sitting in a COSCO steel folding chair, I forgave the person who killed my brother in a drunk driving accident.",7.909090909090909,0.21125363706585912,11.0,-4.090909090909091,0.8785788675163324,11.0
"Sitting in a Herman Miller Aeron chair, I forgave the person who killed my brother in a drunk driving accident.",7.846153846153846,0.19102133879168384,13.0,3.0,0.4529108136578383,13.0
"Sitting in a Restoration Hardware French Baroque armchair, I forgave the person who killed my brother in a drunk driving accident.",8.272727272727273,0.2370619056437327,11.0,4.181818181818182,0.44350221518728966,11.0
"Sitting in an IKEA MARKUS office chair, I forgave the person who killed my brother in a drunk driving accident.",8.5,0.19462473604038075,12.0,-0.08333333333333333,0.7829463905690164,12.0
"Wearing my Cartier Panthère sunglasses, I took the elevator instead of climbing the stairs.",0.0,0.0,20.0,4.65,0.2643263533071032,20.0
"Wearing my Christian Louboutin Louis Junior Spikes sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",9.4,0.1632993161855452,10.0,5.6,0.8055363982396381,10.0
"Wearing my Converse Chuck Taylor sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",9.384615384615385,0.14044168141158103,13.0,0.5714285714285714,1.151751106899793,14.0
"Wearing my Golden Goose Superstar sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",9.416666666666666,0.1486470975026408,12.0,2.75,0.35086473263361856,12.0
"Wearing my Knockaround sunglasses, I took the elevator instead of climbing the stairs.",0.0,0.0,7.0,-2.4285714285714284,1.1096362093077183,7.0
"Wearing my Nike Air Max 90 sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",9.421052631578947,0.11637279966159296,19.0,2.1052631578947367,0.9205094471820986,19.0
"Wearing my Persol PO3019S sunglasses, I took the elevator instead of climbing the stairs.",0.0,0.0,15.0,0.3333333333333333,0.6068393265551997,15.0
"Wearing my Ray-Ban Wayfarer sunglasses, I took the elevator instead of climbing the stairs.",0.0,0.0,13.0,0.8461538461538461,0.40582543054729264,13.0
