item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-2.066666666666667,0.2839628860166776,15.0,6.533333333333333,0.5925462944877059,15.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.3157894736842106,0.15394674363845828,19.0,8.578947368421053,0.9862083735126453,19.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.8571428571428572,0.25370101935418016,14.0,0.8461538461538461,0.807386999683784,13.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-2.0,0.19174124721184263,17.0,3.823529411764706,0.5090020088199053,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.416666666666666,0.19299604852813634,12.0,9.25,0.17943514064131835,12.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.75,0.2140872096444188,16.0,7.3125,0.3502231431530475,16.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-9.142857142857142,0.20587905489225486,14.0,5.6923076923076925,0.559127243265552,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.363636363636363,0.20327890704543541,11.0,8.909090909090908,0.3920701573245059,11.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.923076923076923,0.07692307692307691,13.0,8.0,0.2773500981126146,13.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.692307692307692,0.17484848329469047,13.0,7.6923076923076925,0.4985185152621431,13.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.833333333333334,0.1123666437438737,12.0,7.25,0.5240431395612504,12.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.7,0.21343747458109497,10.0,6.0,0.42163702135578385,10.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.75,0.14433756729740643,16.0,1.25,0.8684276980075352,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",8.8,0.20000000000000004,15.0,7.6,0.4556523319583119,15.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.0,0.23570226039551587,9.0,4.777777777777778,0.6620208493229437,9.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",8.785714285714286,0.26056935607427206,14.0,8.714285714285714,0.35438495596916697,14.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-1.0,0.1807753815155468,18.0,7.166666666666667,0.7331996313054211,18.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-0.7222222222222222,0.15771148381717195,18.0,5.388888888888889,0.5185379703789916,18.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-0.5333333333333333,0.16523191974188067,15.0,4.2,0.9060642256222132,15.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-0.9375,0.17001838135919303,16.0,1.6875,0.5825143059759705,16.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,2.7777777777777777,1.2993350626140556,9.0,-1.3333333333333333,0.6666666666666666,9.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,3.6363636363636362,1.0725731784547363,11.0,9.5,0.22360679774997896,10.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,6.066666666666666,0.9230728530638803,15.0,5.2,0.4898979485566356,15.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,4.9,0.8457323204742365,20.0,6.894736842105263,0.4830140315065335,19.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,16.0,2.125,0.889170962188937,16.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,21.0,3.857142857142857,1.1239507578726255,21.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,14.0,0.8571428571428571,0.8507084498005233,14.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,13.0,-0.46153846153846156,1.089668172352604,13.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.55,0.11413288653790232,20.0,4.65,0.943886143892143,20.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.666666666666666,0.1143323900950059,18.0,8.0,0.4122312949338949,18.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.714285714285714,0.16336339282767584,14.0,2.0,0.9058216273156766,13.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.6875,0.11967838846954226,16.0,-0.4375,0.7010037446404976,16.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-9.722222222222221,0.1086324845659782,18.0,-0.6470588235294118,1.3529411764705883,17.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-9.428571428571429,0.1372527032615032,14.0,0.5714285714285714,1.3123014165386295,14.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-9.722222222222221,0.1086324845659782,18.0,6.166666666666667,1.4467678648981535,18.0
