item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.5714285714285714,0.22760785909019762,14.0,6.785714285714286,0.260569356074272,14.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.4705882352941178,0.2589237773773384,17.0,9.058823529411764,0.1813062942049699,17.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.1428571428571428,0.34006802040680234,7.0,-0.42857142857142855,0.7824607964359516,7.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.5294117647058822,0.21209125149788174,17.0,0.8235294117647058,0.7437746244942229,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.3,0.21343747458109497,10.0,8.8,0.19999999999999998,10.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.714285714285714,0.16336339282767584,14.0,5.0,0.2773500981126146,14.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-8.421052631578947,0.1588664059322354,19.0,2.0526315789473686,0.46812856365355554,19.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.5,0.15811388300841897,16.0,7.8125,0.2617051457907034,16.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,13.0,6.6923076923076925,0.17484848329469044,13.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.8,0.19999999999999998,10.0,4.9,0.2333333333333333,10.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.928571428571429,0.07142857142857142,14.0,7.428571428571429,0.1372527032615032,14.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-10.0,0.0,21.0,6.095238095238095,0.15282672891315438,21.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.153846153846153,0.10415433852097386,13.0,2.6153846153846154,0.6749972605686249,13.0
