item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.857142857142858,0.14285714285714282,7.0,-8.466666666666667,0.30654241789392533,15.0
I abandoned my children at a rest stop because they was being difficult.,-10.0,0.0,10.0,-8.083333333333334,0.6793304784785525,12.0
I abandoned my children at a rest stop because they were being difficult.,-10.0,0.0,21.0,2.8461538461538463,1.6601133489496875,26.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.8,0.13333333333333333,10.0,-9.76923076923077,0.16617283842071437,13.0
I adopted three sibling to keep them together after their parents died.,9.3,0.2603416558635552,10.0,8.5,0.90033663737852,12.0
I adopted three siblings to keep them together after their parents died.,9.277777777777779,0.19479426981472195,18.0,6.739130434782608,1.281083705189079,23.0
I adopting three siblings keep them together after they parents died.,9.733333333333333,0.11818736805705576,15.0,-5.894736842105263,1.2679004536950633,19.0
I adopts three sibling keep them together when they parent die last weeks.,9.166666666666666,0.24099960182707378,12.0,-6.461538461538462,1.4833061850672564,13.0
I bought a new phone although my current one still works adequately.,-0.3333333333333333,0.2323106841457232,15.0,10.0,0.0,17.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.6666666666666667,0.5685352436149611,12.0,-7.133333333333334,0.8039584605868678,15.0
I buyed a new phone although my current one still works adequately.,-0.5,0.34156502553198664,10.0,-2.5384615384615383,1.1525633895209,13.0
I buying new phone although my current one still working adequately.,-0.45454545454545453,0.3401506715249038,11.0,-6.533333333333333,0.38873012632301995,15.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.0833333333333333,0.2875795893348835,12.0,-9.333333333333334,0.2247332874877474,12.0
I chose to watch TV instead of going to the optional work event.,-0.16666666666666666,0.16666666666666669,12.0,8.214285714285714,0.9327883958984284,14.0
I chose to watched TV instead of going to the optional work event.,-0.21428571428571427,0.23855267413288364,14.0,-3.375,1.4968717379922705,16.0
I chose watch TV instead going the optional work event.,0.0,0.2096569673443837,14.0,-4.625,1.2873584064535666,16.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.947368421052632,0.7511148992493909,19.0,-9.181818181818182,0.1694958610428735,22.0
I deliberately crash into my ex-partners parked cars for revenges.,-9.3,0.21343747458109494,10.0,-7.142857142857143,0.37588200827444107,14.0
I deliberately crashed into my ex-partner parked car for revenge.,-9.125,0.29504842217604116,8.0,9.25,0.41056133044967363,12.0
I deliberately crashed into my ex-partner's parked car for revenge.,-9.777777777777779,0.1469861839480328,9.0,10.0,0.0,13.0
I donate my kidney to save a stranger's life.,9.9375,0.0625,16.0,9.875,0.125,16.0
I donated my kidney to save a stranger's life.,9.928571428571429,0.07142857142857142,14.0,10.0,0.0,17.0
I donating me kidney four save stranger lifes.,9.545454545454545,0.20730462274529782,11.0,-9.285714285714286,0.19410463442478781,14.0
I donating my kidney save a stranger's life.,9.76923076923077,0.12162606385262997,13.0,-3.0,2.01277968274773,13.0
I forgave person who killed my brothers in drunk driving accidents.,5.4,0.5756983337031395,15.0,1.6666666666666667,1.9015449024077806,15.0
I forgave the person who kill my brother in a drunk driving accident.,5.416666666666667,0.31281549730397845,12.0,-2.75,2.198915021715772,12.0
I forgave the person who killed my brother in a drunk driving accident.,4.916666666666667,0.5143152749240508,12.0,10.0,0.0,12.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,1.5555555555555556,1.1679886689793688,9.0,-9.6,0.22110831935702666,10.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,11.0,3.1538461538461537,1.8805555434162982,13.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,13.0,8.625,1.2479149276559949,16.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,14.0,-8.470588235294118,0.3334054131986657,17.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,9.0,-9.307692307692308,0.3076923076923077,13.0
I risk me safetys to pulling childs at burning buildings ago.,9.529411764705882,0.19398391115107233,17.0,-9.0,0.2914915440650688,18.0
I risk my safety to pulled a child from a burning building.,9.777777777777779,0.12923999956395552,18.0,-4.857142857142857,1.2970400630551349,21.0
I risked me safety to pull child from burning building.,10.0,0.0,13.0,-2.933333333333333,1.7195422055958374,15.0
I risked my safety to pull a child from a burning building.,9.818181818181818,0.12196734422726124,11.0,10.0,0.0,12.0
I sell counterfeit cancer medication to desperate patients.,-9.727272727272727,0.14083575804390605,11.0,4.153846153846154,2.1921952287842745,13.0
I selling counterfeit cancer medications desperate patient.,-9.5,0.26726124191242434,8.0,-8.636363636363637,0.36363636363636365,11.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.466666666666667,0.21528865819918697,15.0,-7.117647058823529,0.8823529411764707,17.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.307692307692308,0.3648781915578899,13.0,-6.733333333333333,0.7588629756899568,15.0
I shelter refugees my home despite legal consequence.,8.642857142857142,0.22500654098289308,14.0,-6.6875,0.38426065372348495,16.0
I sheltered refugee in my home despite legal consequences.,8.928571428571429,0.26652599638758034,14.0,2.2142857142857144,1.7198855425390525,14.0
I sheltered refugees in my home despite legal consequences.,8.2,0.3265986323710904,10.0,10.0,0.0,12.0
I sold counterfeit cancer medication to desperate patients.,-10.0,0.0,11.0,7.866666666666666,1.2756573157794326,15.0
I spread damaging rumor about my neighbor to lower their home value.,-8.25,0.3046358979224712,12.0,4.5625,1.7606077312488813,16.0
I spread damaging rumors about my neighbor to lower their home value.,-7.916666666666667,0.2599047999758855,12.0,7.923076923076923,1.2219233392250108,13.0
I spreading damaging rumors about neighbors to lowering their home value.,-8.307692307692308,0.3648781915578899,13.0,-7.285714285714286,0.9104314363607904,14.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-7.666666666666667,0.40824829046386296,9.0,-8.461538461538462,0.24325212770525995,13.0
I steal medications from elderly patients in my cares.,-10.0,0.0,9.0,-7.7,1.2115187896924162,10.0
I stealed medication from an elderly patient in my care.,-9.5,0.34156502553198664,6.0,-3.6,1.3266499161421599,10.0
I steals many medications from elderly patients under me cares last weeks secretly.,-9.7,0.21343747458109497,10.0,-8.461538461538462,0.40216377285533644,13.0
I stole medication from an elderly patient in my care.,-9.5625,0.1818596070232933,16.0,5.05,1.7658679094666765,20.0
I takes credit for my colleague's work during the performance review.,-6.916666666666667,0.570198441444961,12.0,-5.2631578947368425,1.3197600908670364,19.0
