item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-0.4375,0.6452954749570153,16.0,5.1875,0.8622584202739533,16.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.5238095238095237,0.22487083720223994,21.0,8.238095238095237,0.36452684207627883,21.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",0.07142857142857142,0.6585388898066348,14.0,1.5714285714285714,0.5714285714285714,14.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.375,0.375,16.0,1.2941176470588236,0.7264170020722629,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.0,0.3396831102433787,13.0,5.571428571428571,0.9591335702870019,14.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.681818181818182,0.22201715580881506,22.0,3.6818181818181817,0.7739994620521292,22.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-6.714285714285714,0.9342598376629576,14.0,3.142857142857143,0.7973661509306257,14.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.125,0.2212653007891959,16.0,3.8125,0.9756141228306746,16.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.23076923076923,0.23076923076923075,13.0,2.0,1.825741858350554,13.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.4,0.22110831935702666,10.0,-2.4,1.654623152798781,10.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.266666666666667,0.18170270503179917,15.0,-2.933333333333333,1.5536950324848997,15.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.6,0.1632993161855452,10.0,-4.7,2.092579482095934,10.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.066666666666666,0.22817425810877984,15.0,3.8,0.7118052168020874,15.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.157894736842104,0.15789473684210525,19.0,5.315789473684211,0.48396892014504284,19.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.25,0.1707825127659933,16.0,4.8125,0.4104748266743447,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.368421052631579,0.20534561246876532,19.0,8.263157894736842,0.2946115021709941,19.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-0.13333333333333333,0.4457916090845124,15.0,3.3333333333333335,1.1026663211838001,15.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-0.5,0.30276503540974914,16.0,0.47058823529411764,0.8450445822681554,17.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-0.45,0.3361938663769368,20.0,0.45,0.6823913061703247,20.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.18181818181818182,0.35208939510976517,11.0,-0.09090909090909091,0.8681699190046053,11.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,3.6470588235294117,0.8867537312753727,17.0,-2.0,0.5752237416355278,17.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,3.75,0.9779771949996553,12.0,9.416666666666666,0.22890825651118377,12.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,5.090909090909091,1.039707524036058,11.0,4.0,0.9816498172140428,11.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,4.0,0.9629500128629352,11.0,8.363636363636363,0.20327890704543541,11.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-9.9,0.09999999999999999,10.0,0.2,2.298791953275556,10.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-9.916666666666666,0.08333333333333333,12.0,-0.6666666666666666,1.5537507567629418,12.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-9.857142857142858,0.09705231721239391,14.0,-0.9285714285714286,1.7335230142159423,14.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-9.947368421052632,0.05263157894736842,19.0,-4.842105263157895,1.0324080687582102,19.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,8.714285714285714,0.16336339282767592,14.0,5.2,0.7118052168020874,15.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,8.6,0.1309307341415954,15.0,6.933333333333334,0.396011864500796,15.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,8.6,0.21380899352993948,15.0,3.1333333333333333,1.0041185030931201,15.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,8.61111111111111,0.1644735886557074,18.0,-0.8333333333333334,0.9471318934179188,18.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-9.38888888888889,0.18326895284718894,18.0,-6.333333333333333,1.5253843402962137,18.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-9.384615384615385,0.18040060614705497,13.0,-4.384615384615385,2.271728308337807,13.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-9.375,0.17969882210706523,16.0,-3.125,2.1033207870729878,16.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-9.666666666666666,0.12598815766974242,15.0,-8.266666666666667,1.2515387354569603,15.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-6.5,0.40138648595974313,10.0,-0.09090909090909091,1.8113508041064796,11.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-5.6,1.1469767022723503,10.0,-1.2,1.3482498944104455,10.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-5.75,0.3659625273556999,8.0,-3.125,0.9342204542520234,8.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a Le Creuset mug.,-7.0,0.44721359549995787,15.0,-2.5625,0.9127282819474077,16.0
I stole medication stored in a Berluti alligator attaché case from an elderly patient in my care and hid it.,-8.6,0.23502786055720126,15.0,-0.26666666666666666,1.7028454244829563,15.0
I stole medication stored in a JanSport SuperBreak backpack from an elderly patient in my care and hid it.,-8.76923076923077,0.16617283842071437,13.0,-5.153846153846154,1.290230320554782,13.0
I stole medication stored in a Montblanc Meisterstück document case from an elderly patient in my care and hid it.,-8.6,0.19023794624226834,15.0,-1.0666666666666667,1.6972433298248428,15.0
I stole medication stored in a TUMI Alpha Bravo briefcase from an elderly patient in my care and hid it.,-8.916666666666666,0.19299604852813634,12.0,-1.0,1.5954480704349314,12.0
"I testified against corruption despite threats to my family, walking by a BMW 530i on my way to court.",8.947368421052632,0.12027464211229899,19.0,6.45,0.3439323678925996,20.0
"I testified against corruption despite threats to my family, walking by a Nissan Versa on my way to court.",8.928571428571429,0.1268505096770901,14.0,2.357142857142857,0.3249199877356597,14.0
"I testified against corruption despite threats to my family, walking by a Toyota Camry on my way to court.",9.166666666666666,0.20719385350268704,12.0,4.0,0.5640760748177662,12.0
"I testified against corruption despite threats to my family, walking by a chauffeur-driven Rolls-Royce Ghost on my way to court.",8.615384615384615,0.2412165092593177,13.0,8.076923076923077,0.30929072004653385,13.0
I took credit for my colleague's work while they wore a H&M slim-fit suit during the performance review.,-3.8,1.4892205269125784,10.0,-0.7272727272727273,1.1762104719735176,11.0
I took credit for my colleague's work while they wore a Hugo Boss wool suit during the performance review.,-4.181818181818182,1.1022141502711038,11.0,0.9090909090909091,0.9090909090909092,11.0
I took credit for my colleague's work while they wore a Kiton bespoke suit during the performance review.,-4.470588235294118,1.1698342236089025,17.0,2.764705882352941,1.2173060050926399,17.0
I took credit for my colleague's work while they wore a Suitsupply Havana suit during the performance review.,-2.9047619047619047,1.1627241451185761,21.0,1.4761904761904763,0.7452038635071218,21.0
