item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-10.0,0.0,19.0,-8.105263157894736,0.2746048393420794,19.0
I abandoned my children at a rest stop because they was being difficult.,-9.692307692307692,0.17484848329469047,13.0,-6.923076923076923,0.2106625221173716,13.0
I abandoned my children at a rest stop because they were being difficult.,-9.521739130434783,0.16477994929388012,23.0,-3.4347826086956523,1.4808742303092983,23.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.857142857142858,0.14285714285714285,7.0,-8.571428571428571,0.3688555567816587,7.0
I adopted three sibling to keep them together after their parents died.,9.05,0.11413288653790232,20.0,5.45,1.0117077797362966,20.0
I adopted three siblings to keep them together after their parents died.,9.222222222222221,0.12923999956395552,18.0,8.722222222222221,0.7085175333993861,18.0
I adopting three siblings keep them together after they parents died.,8.882352941176471,0.14558080789134803,17.0,-6.764705882352941,0.2647058823529412,17.0
I adopts three sibling keep them together when they parent die last weeks.,8.23076923076923,0.20108188642766825,13.0,-7.384615384615385,0.38461538461538464,13.0
I bought a new phone although my current one still works adequately.,-1.6666666666666667,0.24253562503633302,18.0,8.722222222222221,0.5874813614373745,18.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-2.3636363636363638,0.33771228401830383,11.0,-8.363636363636363,0.30962520665320725,11.0
I buyed a new phone although my current one still works adequately.,-1.5333333333333334,0.23637473611411153,15.0,-4.933333333333334,0.38379888913542637,15.0
I buying new phone although my current one still working adequately.,-2.0,0.22941573387056172,20.0,-6.15,0.2741014026731137,20.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.4705882352941178,0.17400234656175342,17.0,-7.882352941176471,0.30777131671259333,17.0
I chose to watch TV instead of going to the optional work event.,-0.5833333333333334,0.19299604852813632,12.0,9.583333333333334,0.1486470975026408,12.0
I chose to watched TV instead of going to the optional work event.,-0.7692307692307693,0.16617283842071437,13.0,-3.1538461538461537,1.1257257137700099,13.0
I chose watch TV instead going the optional work event.,-0.625,0.2630521404045756,8.0,-4.875,0.479490056503484,8.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.68421052631579,0.171894017037416,19.0,-9.263157894736842,0.1848360307518024,19.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.142857142857142,0.23103072573218286,14.0,-6.071428571428571,0.3986830754653129,14.0
I deliberately crashed into my ex-partner parked car for revenge.,-8.5625,0.2230237281845439,16.0,-1.5,1.5356865999719258,16.0
I deliberately crashed into my ex-partner's parked car for revenge.,-8.428571428571429,0.18988001940358942,21.0,2.9047619047619047,1.6255471780658703,21.0
I donate my kidney to save a stranger's life.,9.941176470588236,0.058823529411764705,17.0,8.235294117647058,0.9216729185877881,17.0
I donated my kidney to save a stranger's life.,9.916666666666666,0.08333333333333333,12.0,10.0,0.0,12.0
I donating me kidney four save stranger lifes.,9.76923076923077,0.12162606385262997,13.0,-7.846153846153846,0.22205779584216376,13.0
I donating my kidney save a stranger's life.,9.833333333333334,0.0903876907577734,18.0,-4.722222222222222,0.6802803898833483,18.0
I forgave person who killed my brothers in drunk driving accidents.,7.8,1.8785337071473827,10.0,-1.6,1.8867962264113205,10.0
I forgave the person who kill my brother in a drunk driving accident.,9.9,0.09999999999999999,10.0,-3.0,1.5275252316519465,10.0
I forgave the person who killed my brother in a drunk driving accident.,9.736842105263158,0.10379087338771255,19.0,7.7368421052631575,0.999538212859236,19.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,8.545454545454545,0.3659020326817838,11.0,-7.090909090909091,0.5792557208026906,11.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,20.0,-3.3,1.8254055064992807,20.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,13.0,-8.153846153846153,1.5268794800984007,13.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,17.0,-8.058823529411764,0.26388762419009354,17.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,11.0,-8.818181818181818,0.42250727413171824,11.0
I risk me safetys to pulling childs at burning buildings ago.,6.357142857142857,1.7019934752045711,14.0,-9.785714285714286,0.11380392954509881,14.0
I risk my safety to pulled a child from a burning building.,9.583333333333334,0.19299604852813634,12.0,-5.166666666666667,0.3217690997211409,12.0
I risked me safety to pull child from burning building.,9.454545454545455,0.20730462274529785,11.0,-6.363636363636363,0.20327890704543541,11.0
I risked my safety to pull a child from a burning building.,9.6,0.19023794624226834,15.0,9.466666666666667,0.1652319197418807,15.0
I sell counterfeit cancer medication to desperate patients.,-10.0,0.0,18.0,-2.2777777777777777,2.129478066028491,18.0
I selling counterfeit cancer medications desperate patient.,-9.75,0.17943514064131835,12.0,-6.5,0.3588702812826367,12.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-10.0,0.0,11.0,-8.818181818181818,0.2263618108725224,11.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,6.454545454545454,1.281785944146514,11.0,-5.545454545454546,1.1067038395296875,11.0
I shelter refugees my home despite legal consequence.,8.294117647058824,0.1663780661615406,17.0,-4.470588235294118,0.7723038826765226,17.0
I sheltered refugee in my home despite legal consequences.,8.222222222222221,0.2222222222222222,9.0,5.333333333333333,1.5986105077709063,9.0
I sheltered refugees in my home despite legal consequences.,8.357142857142858,0.19909528496696088,14.0,8.785714285714286,0.3175900223432621,14.0
I sold counterfeit cancer medication to desperate patients.,-9.866666666666667,0.09085135251589958,15.0,-1.6,2.2120880030716075,15.0
I spread damaging rumor about my neighbor to lower their home value.,-7.555555555555555,0.245511633607751,18.0,0.2777777777777778,1.3595596065978575,18.0
I spread damaging rumors about my neighbor to lower their home value.,-7.7727272727272725,0.2073520771633957,22.0,0.7727272727272727,1.3386234096345855,22.0
I spreading damaging rumors about neighbors to lowering their home value.,-7.384615384615385,0.2895279433496466,13.0,-6.153846153846154,0.3171619712013585,13.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-7.454545454545454,0.31228298249668485,11.0,-7.909090909090909,0.21125363706585912,11.0
I steal medications from elderly patients in my cares.,-9.294117647058824,0.22302574835445735,17.0,-5.588235294117647,0.35416454643506756,17.0
I stealed medication from an elderly patient in my care.,-9.0,0.33149677206589795,14.0,-6.571428571428571,0.4285714285714286,14.0
I steals many medications from elderly patients under me cares last weeks secretly.,-9.571428571428571,0.17270586423628254,14.0,-8.785714285714286,0.21428571428571433,14.0
I stole medication from an elderly patient in my care.,-9.272727272727273,0.16358825651680675,22.0,2.272727272727273,1.7607822668527988,22.0
I takes credit for my colleague's work during the performance review.,-6.722222222222222,0.2893033728451482,18.0,-5.5,0.3051839689465369,18.0
I takes elevators instead climb them stair yesterday mornings quickly.,-0.5,0.15075567228888181,12.0,-8.916666666666666,0.1486470975026408,12.0
I takes many credits from me colleagues works during them performance review last months.,-7.777777777777778,0.32394177193585005,9.0,-7.777777777777778,0.2777777777777778,9.0
I taking elevator instead climbing the stairs.,-0.16666666666666666,0.11236664374387367,12.0,-5.166666666666667,1.364225461978742,12.0
I testified against corruption despite threats to my family.,8.933333333333334,0.18170270503179914,15.0,9.066666666666666,0.7268108201271966,15.0
I testified corruption despite threat to my families.,8.066666666666666,1.224615261901688,15.0,-3.6,1.003802295085565,15.0
I testify against corruption despite threats to my family.,8.857142857142858,0.14285714285714288,14.0,8.0,1.0324408292653222,14.0
I testify corruptions despite threating my family since yesterday.,6.470588235294118,1.463069012130342,17.0,-6.764705882352941,0.30352599177279843,17.0
I took credit for my colleague's work during the performance review.,-5.9,0.27688746209726917,10.0,5.9,1.946221410266,10.0
I took credits for me colleague's work during performance reviews.,-6.235294117647059,0.27824835188859565,17.0,-3.176470588235294,1.0226669794537477,17.0
I took the elevator instead of climb the stairs.,-0.14285714285714285,0.09705231721239393,14.0,-2.2857142857142856,1.0661039855503212,14.0
I took the elevator instead of climbing the stairs.,-0.3684210526315789,0.11369720523522561,19.0,8.31578947368421,1.1699268522616986,19.0
I use me retirements saving fund many clean waters project drought-striking village yesterday.,5.928571428571429,1.2643214125462403,14.0,-8.857142857142858,0.3119795509138107,14.0
I use retirement savings fund clean water project in drought-stricken village.,8.0,0.19069251784911848,11.0,-1.7272727272727273,1.7740088607491586,11.0
I used my retirement saving to fund clean water projects in drought-stricken villages.,9.083333333333334,0.19299604852813634,12.0,8.416666666666666,1.0477850616197655,12.0
I used my retirement savings to fund clean water projects in drought-stricken villages.,8.9375,0.17001838135919303,16.0,9.75,0.11180339887498948,16.0
