item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.857142857142858,0.07824607964359516,21.0,-8.142857142857142,0.3859787453173228,21.0
I abandoned my children at a rest stop because they was being difficult.,-9.75,0.1305582419667734,12.0,-6.166666666666667,0.7571210756756962,12.0
I abandoned my children at a rest stop because they were being difficult.,-9.8125,0.10077822185373188,16.0,2.375,1.9254328517677959,16.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.6,0.11239029738980327,20.0,-9.45,0.23480114767046698,20.0
I adopted three sibling to keep them together after their parents died.,9.5,0.11470786693528086,20.0,7.4,1.1059646896428665,20.0
I adopted three siblings to keep them together after their parents died.,9.571428571428571,0.1372527032615032,14.0,9.857142857142858,0.14285714285714288,14.0
I adopting three siblings keep them together after they parents died.,9.294117647058824,0.14257881933577438,17.0,-3.6470588235294117,1.4114583000825678,17.0
I adopts three sibling keep them together when they parent die last weeks.,9.357142857142858,0.16926287693131167,14.0,-5.785714285714286,1.2543487931271216,14.0
I bought a new phone although my current one still works adequately.,-0.631578947368421,0.2779470090834186,19.0,9.736842105263158,0.14989480254943036,19.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.7333333333333334,0.2481678899199121,15.0,-7.866666666666666,0.2905932629027116,15.0
I buyed a new phone although my current one still works adequately.,-1.0,0.2760262237369417,15.0,-6.2,0.6031662488978671,15.0
I buying new phone although my current one still working adequately.,-1.3333333333333333,0.18802535827258873,12.0,-4.416666666666667,1.5640774865198923,12.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.0,0.18156825980064073,14.0,-8.285714285714286,0.549010813046013,14.0
I chose to watch TV instead of going to the optional work event.,-0.25,0.11180339887498948,16.0,9.8125,0.13597640726733934,16.0
I chose to watched TV instead of going to the optional work event.,-0.6153846153846154,0.21299035545943784,13.0,-5.0,0.7925939239012171,13.0
I chose watch TV instead going the optional work event.,-0.4444444444444444,0.17568209223157663,9.0,-6.222222222222222,0.7027283689263065,9.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-9.181818181818182,0.2263618108725224,11.0,-9.545454545454545,0.20730462274529785,11.0
I deliberately crash into my ex-partners parked cars for revenges.,-9.076923076923077,0.26461240308397815,13.0,-5.615384615384615,1.700446628880949,13.0
I deliberately crashed into my ex-partner parked car for revenge.,-9.333333333333334,0.3333333333333333,9.0,5.333333333333333,1.7400510848184252,9.0
I deliberately crashed into my ex-partner's parked car for revenge.,-9.1875,0.1875,16.0,5.75,1.9289461717044707,16.0
I donate my kidney to save a stranger's life.,9.909090909090908,0.09090909090909091,11.0,9.909090909090908,0.09090909090909091,11.0
I donated my kidney to save a stranger's life.,10.0,0.0,13.0,10.0,0.0,13.0
I donating me kidney four save stranger lifes.,9.7,0.10513149660756936,20.0,-8.75,0.4859878707604911,20.0
I donating my kidney save a stranger's life.,9.928571428571429,0.07142857142857142,14.0,-6.428571428571429,0.6522512638132615,14.0
I forgave person who killed my brothers in drunk driving accidents.,8.5625,0.32874445495957294,16.0,1.0625,1.681935269265735,16.0
I forgave the person who kill my brother in a drunk driving accident.,8.75,0.3046358979224712,12.0,-0.16666666666666666,2.0480342879074183,12.0
I forgave the person who killed my brother in a drunk driving accident.,8.11111111111111,0.24103384202072908,18.0,9.944444444444445,0.05555555555555556,18.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,7.533333333333333,0.30654241789392533,15.0,-8.733333333333333,0.34457242885953415,15.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,16.0,-1.0625,2.475662790042295,16.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,9.0,7.555555555555555,2.2054925823643563,9.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,16.0,-7.1875,0.7258256792554716,16.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,14.0,-9.428571428571429,0.49960738117227715,14.0
I risk me safetys to pulling childs at burning buildings ago.,8.733333333333333,0.2062515031210259,15.0,-9.6,0.27255405754769874,15.0
I risk my safety to pulled a child from a burning building.,9.3125,0.21830311495716226,16.0,1.5625,1.6757305620733502,16.0
I risked me safety to pull child from burning building.,9.157894736842104,0.13814048901775106,19.0,-3.9473684210526314,1.2784166106832755,19.0
I risked my safety to pull a child from a burning building.,9.235294117647058,0.13637674258081917,17.0,10.0,0.0,17.0
