item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.8333333333333333,0.24099960182707375,12.0,5.166666666666667,0.575159178669767,12.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.473684210526316,0.1929824561403509,19.0,9.105263157894736,0.22807017543859645,19.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.9285714285714286,0.22149059748072938,14.0,-2.7142857142857144,0.674728854198187,14.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.6666666666666667,0.15936381457791912,15.0,-0.8,0.7508725083591248,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.076923076923077,0.26461240308397815,13.0,8.692307692307692,0.17484848329469047,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.666666666666667,0.25197631533948484,21.0,3.238095238095238,0.5516415412409365,21.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.916666666666667,0.2875795893348834,12.0,3.25,0.46261771638703114,12.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.11111111111111,0.21219193569605133,18.0,6.888888888888889,0.22707127798745372,18.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.923076923076923,0.07692307692307691,13.0,5.076923076923077,1.1846320345150265,13.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,15.0,2.6,0.4,15.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-10.0,0.0,12.0,6.5,0.3138229572304239,12.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.928571428571429,0.07142857142857142,14.0,4.285714285714286,0.854391187579128,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.857142857142858,0.09705231721239391,14.0,0.2857142857142857,1.1456011015316174,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.952380952380953,0.04761904761904761,21.0,6.857142857142857,0.2697945804612437,21.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.882352941176471,0.08054743492723031,17.0,4.0588235294117645,0.6151911959809379,17.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.9375,0.0625,16.0,8.625,0.2719528145346787,16.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,0.08333333333333333,0.08333333333333333,12.0,6.75,0.35086473263361856,12.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.125,0.08539125638299665,16.0,1.0625,0.4422362679232298,16.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,0.1,0.09999999999999999,20.0,-1.45,0.6003288572458475,20.0
