item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-0.38461538461538464,0.14044168141158106,13.0,2.2857142857142856,0.6582408409614039,14.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-0.75,0.1305582419667734,12.0,6.75,0.21759706994462233,12.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-0.6666666666666666,0.12598815766974242,15.0,-6.8125,0.5931466232447645,16.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-0.7272727272727273,0.14083575804390605,11.0,-5.363636363636363,0.5763951812417222,11.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-7.6,0.1337712108119877,20.0,7.368421052631579,0.1569170510526168,19.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.785714285714286,0.2142857142857143,14.0,3.3076923076923075,0.4441155916843275,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.769230769230769,0.13931361750980642,26.0,1.6153846153846154,0.3765304077083206,26.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-7.666666666666667,0.18802535827258873,12.0,6.25,0.1305582419667734,12.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.666666666666666,0.12598815766974242,15.0,1.6428571428571428,0.4758698554324093,14.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.909090909090908,0.09090909090909091,11.0,-2.909090909090909,0.9765853819633299,11.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.818181818181818,0.12196734422726126,11.0,5.6,0.22110831935702663,10.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.666666666666666,0.16666666666666666,9.0,3.1,0.5859465277082315,10.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.333333333333334,0.1421338109037403,12.0,-5.416666666666667,0.45156853457049184,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.333333333333334,0.12598815766974242,15.0,3.5,0.48304589153964794,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.3125,0.11967838846954226,16.0,-1.411764705882353,0.5561079529761481,17.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.266666666666667,0.11818736805705576,15.0,7.4,0.19023794624226834,15.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,0.0,0.0,17.0,3.5294117647058822,0.6480607216626677,17.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.0,0.0,12.0,0.3333333333333333,0.22473328748774737,12.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,0.0,0.0,9.0,-4.666666666666667,0.6236095644623236,9.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.0,0.0,10.0,-7.3,0.2603416558635551,10.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.55,0.11413288653790232,20.0,-9.842105263157896,0.085947008518708,19.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,9.705882352941176,0.11391127488845344,17.0,5.588235294117647,0.28515763867154875,17.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,9.375,0.125,16.0,-5.375,0.23935677693908453,16.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.333333333333334,0.1421338109037403,12.0,1.25,0.6291528696058959,12.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,21.0,-7.095238095238095,0.18132793109199782,21.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,15.0,0.5333333333333333,0.6084067144260739,15.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,9.0,-7.333333333333333,0.28867513459481287,9.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,13.0,-10.0,0.0,13.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.625,0.125,16.0,-2.0,0.5477225575051661,16.0
