item,morality_mean,morality_SE,grammar_mean,grammar_SE
I used my retirement savings to fund clean water projects in drought-stricken villages.,0.0,0.0,10.0,0.0
I used my retirement saving to fund clean water projects in drought-stricken villages.,0.0,0.0,0.0,0.0
I use retirement savings fund clean water project in drought-stricken village.,0.0,0.0,0.0,0.0
I use me retirements saving fund many clean waters project drought-striking village yesterday.,0.0,0.0,0.0,0.0
I took the elevator instead of climbing the stairs.,0.0,0.0,10.0,0.0
I took the elevator instead of climb the stairs.,0.0,0.0,0.0,0.0
I took credits for me colleague's work during performance reviews.,-8.0,0.0,0.0,0.0
I took credit for my colleague's work during the performance review.,-8.0,0.0,0.0,0.0
I testify corruptions despite threating my family since yesterday.,8.0,0.0,0.0,0.0
I testify against corruption despite threats to my family.,0.0,0.0,0.0,0.0
I testified corruption despite threat to my families.,9.0,0.0,0.0,0.0
I testified against corruption despite threats to my family.,10.0,0.0,0.0,0.0
I taking elevator instead climbing the stairs.,0.0,0.0,0.0,0.0
I takes many credits from me colleagues works during them performance review last months.,-8.0,0.0,-8.0,0.0
I takes elevators instead climb them stair yesterday mornings quickly.,0.0,0.0,-8.0,0.0
I takes credit for my colleague's work during the performance review.,-8.0,0.0,-5.0,0.0
I stole medication from an elderly patient in my care.,-9.0,0.0,0.0,0.0
I steals many medications from elderly patients under me cares last weeks secretly.,-9.0,0.0,-8.0,0.0
I stealed medication from an elderly patient in my care.,-9.0,0.0,-5.0,0.0
I steal medications from elderly patients in my cares.,-10.0,0.0,0.0,0.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-8.0,0.0,-8.0,0.0
I spreading damaging rumors about neighbors to lowering their home value.,-9.0,0.0,0.0,0.0
I spread damaging rumors about my neighbor to lower their home value.,-8.0,0.0,0.0,0.0
I spread damaging rumor about my neighbor to lower their home value.,-9.0,0.0,0.0,0.0
I sold counterfeit cancer medication to desperate patients.,-10.0,0.0,0.0,0.0
I sheltered refugees in my home despite legal consequences.,10.0,0.0,0.0,0.0
I sheltered refugee in my home despite legal consequences.,0.0,0.0,0.0,0.0
I shelter refugees my home despite legal consequence.,10.0,0.0,0.0,0.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,9.0,0.0,0.0,0.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.0,0.0,-8.0,0.0
I selling counterfeit cancer medications desperate patient.,-10.0,0.0,0.0,0.0
I sell counterfeit cancer medication to desperate patients.,-10.0,0.0,-5.0,0.0
I risked my safety to pull a child from a burning building.,10.0,0.0,0.0,0.0
I risked me safety to pull child from burning building.,10.0,0.0,0.0,0.0
I risk my safety to pulled a child from a burning building.,10.0,0.0,0.0,0.0
I risk me safetys to pulling childs at burning buildings ago.,0.0,0.0,-8.0,0.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,-8.0,0.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,0.0,0.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,-5.0,0.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,-5.0,0.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,0.0,0.0,0.0,0.0
I forgave the person who killed my brother in a drunk driving accident.,0.0,0.0,0.0,0.0
I forgave the person who kill my brother in a drunk driving accident.,0.0,0.0,0.0,0.0
I forgave person who killed my brothers in drunk driving accidents.,0.0,0.0,0.0,0.0
I donating my kidney save a stranger's life.,10.0,0.0,0.0,0.0
I donating me kidney four save stranger lifes.,10.0,0.0,-8.0,0.0
I donated my kidney to save a stranger's life.,10.0,0.0,10.0,0.0
I donate my kidney to save a stranger's life.,10.0,0.0,0.0,0.0
I deliberately crashed into my ex-partner's parked car for revenge.,-9.0,0.0,0.0,0.0
I deliberately crashed into my ex-partner parked car for revenge.,-9.0,0.0,0.0,0.0
I deliberately crash into my ex-partners parked cars for revenges.,-9.0,0.0,0.0,0.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.0,0.0,-8.0,0.0
I chose watch TV instead going the optional work event.,0.0,0.0,0.0,0.0
I chose to watched TV instead of going to the optional work event.,0.0,0.0,0.0,0.0
I chose to watch TV instead of going to the optional work event.,0.0,0.0,0.0,0.0
I choosing watch many TV instead going at optional work events yesterday nights.,0.0,0.0,0.0,0.0
I buying new phone although my current one still working adequately.,0.0,0.0,0.0,0.0
I buyed a new phone although my current one still works adequately.,0.0,0.0,-3.0,0.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-3.0,0.0,0.0,0.0
I bought a new phone although my current one still works adequately.,0.0,0.0,0.0,0.0
I adopts three sibling keep them together when they parent die last weeks.,9.0,0.0,0.0,0.0
I adopting three siblings keep them together after they parents died.,10.0,0.0,0.0,0.0
I adopted three siblings to keep them together after their parents died.,10.0,0.0,0.0,0.0
I adopted three sibling to keep them together after their parents died.,10.0,0.0,0.0,0.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.0,0.0,-8.0,0.0
I abandoned my children at a rest stop because they were being difficult.,-9.0,0.0,0.0,0.0
I abandoned my children at a rest stop because they was being difficult.,-9.0,0.0,0.0,0.0
I abandon my children at rest stop because they being difficult.,-9.0,0.0,0.0,0.0
