item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-0.5,0.20299948573528753,14.0,7.071428571428571,0.2864002753829044,14.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-0.75,0.23506089251171877,24.0,8.875,0.0915348195410129,24.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-0.5,0.18523964340873714,18.0,-3.6666666666666665,0.3131121455425748,18.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-0.6,0.26666666666666666,10.0,-1.6,0.9451631252505216,10.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-7.785714285714286,0.11380392954509883,14.0,8.5,0.29183014779976924,14.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.733333333333333,0.1532712089469627,15.0,3.1333333333333333,0.4007928650000154,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.866666666666666,0.16523191974188067,15.0,1.6666666666666667,0.8027729719194864,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-7.714285714285714,0.19410463442478787,14.0,5.857142857142857,0.9542106965315346,14.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.0,0.0,17.0,5.529411764705882,1.1508233850890501,17.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-8.88888888888889,0.11111111111111112,9.0,1.1111111111111112,1.4667087536048982,9.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.2,0.10690449676496973,15.0,7.266666666666667,1.0441066660828913,15.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.125,0.08539125638299665,16.0,5.625,1.2002603884157803,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.0,0.0,15.0,-0.4666666666666667,0.9752492558885194,15.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",8.933333333333334,0.06666666666666665,15.0,4.933333333333334,1.053188657936625,15.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",8.933333333333334,0.06666666666666665,15.0,2.933333333333333,0.7068822672005145,15.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",8.944444444444445,0.05555555555555556,18.0,7.944444444444445,1.0047996653390687,18.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,0.0,0.0,16.0,8.5,0.22360679774997896,16.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.0,0.0,22.0,4.409090909090909,0.5872346629670321,22.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,0.0,0.0,18.0,0.2222222222222222,0.8949953647798894,18.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.0,0.0,17.0,-4.0588235294117645,0.655691082635528,17.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.105263157894736,0.07233518641434492,19.0,-8.842105263157896,0.085947008518708,19.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,8.8,0.2794552524023087,15.0,8.266666666666667,0.7397983423214649,15.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,8.736842105263158,0.23990867247679545,19.0,-1.631578947368421,0.5141877505176436,19.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.0,0.0,12.0,5.833333333333333,0.27061471362866296,12.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-3.9285714285714284,0.8351106113108722,14.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,11.0,5.454545454545454,1.2888588071598022,11.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-6.357142857142857,0.4641800386921557,14.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,11.0,-8.818181818181818,0.2263618108725224,11.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.0,0.0,19.0,2.8947368421052633,0.8681995109935873,19.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.0,0.0,17.0,8.176470588235293,0.9519148430989564,17.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.0,0.0,16.0,-1.375,0.875,16.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.0,0.0,12.0,-6.25,0.6291528696058959,12.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-9.45,0.11413288653790232,20.0,-3.25,1.0999401897615304,20.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-9.5,0.10000000000000002,26.0,-5.230769230769231,0.7427758587429729,26.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-9.470588235294118,0.12478354962115545,17.0,7.235294117647059,1.3159916071292406,17.0
