item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",0.0,0.11322770341445958,13.0,4.153846153846154,0.5974964203964638,13.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-0.16666666666666666,0.0903876907577734,18.0,7.0,0.40422604172722165,18.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-0.38461538461538464,0.21299035545943784,13.0,1.75,0.35086473263361856,12.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",0.0,0.1690308509457033,15.0,2.142857142857143,0.2745054065230065,14.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.11111111111111,0.3888888888888889,9.0,8.444444444444445,0.1756820922315766,9.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.666666666666666,0.3473253815011517,15.0,3.466666666666667,0.4563485162175596,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-8.058823529411764,0.39733106135606755,17.0,2.3529411764705883,0.2703643575125035,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.4,0.339934634239519,10.0,7.2,0.38873012632302,10.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,9.0,4.0,1.2360330811826106,9.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,14.0,1.0714285714285714,1.3525079907313489,14.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-10.0,0.0,16.0,0.4375,1.2680981494611,16.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.923076923076923,0.07692307692307691,13.0,-0.9230769230769231,1.6620250949289457,13.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.642857142857142,0.13289435848843764,14.0,2.2142857142857144,0.5662540437579351,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.421052631578947,0.1588664059322354,19.0,6.7894736842105265,0.4015973032371788,19.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.642857142857142,0.13289435848843764,14.0,2.5833333333333335,0.6331538820727851,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.538461538461538,0.1831135494498167,13.0,7.6923076923076925,0.2083086770419477,13.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,0.0,0.0,12.0,6.583333333333333,0.45156853457049184,12.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.0,0.0,11.0,3.727272727272727,0.46886534393555,11.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,0.0,0.0,13.0,4.461538461538462,0.4474340606824396,13.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.0,0.0,17.0,0.6875,0.48061375691227703,16.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,4.0,0.9599836599916588,18.0,-0.5,0.578763613456684,18.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,3.066666666666667,0.8754137343846088,15.0,8.733333333333333,0.11818736805705576,15.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,4.071428571428571,1.1788627678537105,14.0,2.2142857142857144,0.2997906124330492,14.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,4.266666666666667,1.053188657936625,15.0,5.6,0.5756983337031395,15.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,13.0,1.4615384615384615,0.5950154556857586,13.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,16.0,1.8666666666666667,0.748755581371465,15.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,16.0,0.9375,0.2809025631780529,16.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,9.0,0.0,0.44095855184409843,9.0
