item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-2.8947368421052633,0.10526315789473682,19.0,5.2631578947368425,0.3733999412946098,19.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-3.625,0.5072392597844401,16.0,8.058823529411764,0.21812348491457834,17.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-2.4545454545454546,0.24729946379518986,11.0,-1.25,0.5521994589133916,12.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.5,0.48461168459755993,12.0,0.8461538461538461,0.9663979766688592,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-9.65,0.15,20.0,8.4,0.1685854460847049,20.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-9.307692307692308,0.2370928462680376,13.0,3.0,1.006389841373865,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-9.363636363636363,0.2787219948501071,11.0,0.16666666666666666,1.0432563627334552,12.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-9.6875,0.1505199322349037,16.0,7.823529411764706,0.1542365953191399,17.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,17.0,4.647058823529412,1.5528464766134469,17.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,18.0,-3.1666666666666665,1.4445072887284243,18.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-10.0,0.0,17.0,3.6842105263157894,1.5560721122719008,19.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-10.0,0.0,13.0,0.7692307692307693,2.2076610379273904,13.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.571428571428571,0.528120786019496,7.0,3.0,0.7559289460184544,7.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.375,0.2212653007891959,16.0,7.294117647058823,0.25386288972988336,17.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.538461538461538,0.21529302081726495,13.0,6.0,0.2773500981126146,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.416666666666666,0.22890825651118377,12.0,8.692307692307692,0.20830867704194772,13.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-2.111111111111111,0.26057865332352387,9.0,6.777777777777778,0.14698618394803278,9.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-1.8666666666666667,0.16523191974188067,15.0,1.2666666666666666,0.8699571235557513,15.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-1.7647058823529411,0.18249520067633612,17.0,0.35294117647058826,0.6910200073218077,17.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-1.3333333333333333,0.3726779962499649,9.0,-2.3,0.5972157622389639,10.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,8.692307692307692,0.3076923076923077,13.0,-2.2857142857142856,0.5389098828676584,14.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,7.833333333333333,0.7470480627649121,12.0,8.75,0.21759706994462233,12.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,7.666666666666667,0.7817359599705715,12.0,4.666666666666667,0.25623537159526916,12.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,7.933333333333334,0.33046383948376135,15.0,6.875,0.25617376914899,16.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,17.0,-4.176470588235294,1.4532805033624054,17.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-3.2666666666666666,1.7167706857066225,15.0
