item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-0.2,0.13333333333333333,10.0,3.5,0.582141639885766,10.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-0.4117647058823529,0.14997116216449366,17.0,7.235294117647059,0.291161615782696,17.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-0.07692307692307693,0.17764623667373103,13.0,1.0769230769230769,0.177646236673731,13.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-0.07692307692307693,0.13688561861578605,13.0,1.6153846153846154,0.180400606147055,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.416666666666666,0.39806983804301976,12.0,8.5,0.15075567228888181,12.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.25,0.2813657169355689,16.0,3.875,0.5234102915814068,16.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-8.214285714285714,0.2997906124330492,14.0,2.5,0.31008683647302115,14.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.619047619047619,0.14599723539767517,21.0,7.0,0.3450327796711771,21.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,18.0,5.444444444444445,0.9331310082601565,18.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,16.0,0.625,0.8260094833999587,16.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-10.0,0.0,7.0,-0.14285714285714285,1.8313223355266106,7.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.944444444444445,0.05555555555555556,18.0,2.388888888888889,1.0198644305936566,18.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.76923076923077,0.12162606385262997,13.0,2.8461538461538463,0.7057107151037377,13.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.588235294117647,0.12303823919618757,17.0,6.588235294117647,0.5220070396852603,17.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.5,0.12909944487358055,16.0,2.875,0.6511208285205852,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.571428571428571,0.1372527032615032,14.0,8.142857142857142,0.360968521003447,14.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,0.0,0.0,13.0,6.384615384615385,0.4463306457828002,13.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.0,0.0,12.0,3.8333333333333335,0.36583928689847384,12.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-0.1,0.09999999999999999,10.0,4.2,0.5333333333333333,10.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.0,0.0,13.0,0.7692307692307693,0.48243301851863535,13.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,4.3,0.9121980394398437,20.0,-0.35,0.2835396565598986,20.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,2.3076923076923075,0.8725486937012079,13.0,9.0,0.11322770341445958,13.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,2.7857142857142856,1.0386940840853824,14.0,2.2142857142857144,0.3658284505871935,14.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,1.4,0.6545388091103376,20.0,6.9,0.31539448982270807,20.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,17.0,0.7647058823529411,0.3789440801977978,17.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,12.0,2.5833333333333335,1.1109532716172954,12.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,11.0,0.8181818181818182,0.2263618108725224,11.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,15.0,0.2,0.34086724129853874,15.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,8.785714285714286,0.1868939708977467,14.0,1.5714285714285714,0.7391284272879225,14.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,8.842105263157896,0.15789473684210525,19.0,5.473684210526316,0.7507050138713919,19.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,8.875,0.15478479684172258,16.0,1.125,0.32755406678389243,16.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,8.615384615384615,0.18040060614705497,13.0,-0.5384615384615384,0.36891011717790156,13.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-10.0,0.0,7.0,2.2857142857142856,1.1693361102674928,7.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-9.823529411764707,0.09530501027070383,17.0,1.8823529411764706,1.4319935531740984,17.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-10.0,0.0,17.0,8.0,0.6473929618545629,17.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-9.88888888888889,0.11111111111111112,9.0,1.6666666666666667,1.6666666666666667,9.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-7.8,0.23619795444544078,20.0,1.4,0.3866182667833043,20.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-7.25,0.2798025619686327,20.0,0.7,0.38457084762382243,20.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-7.176470588235294,0.38573167790011764,17.0,-2.588235294117647,0.8092244995410356,17.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a Le Creuset mug.,-7.7894736842105265,0.2239850058737492,19.0,0.10526315789473684,0.3324086898508143,19.0
I stole medication stored in a Berluti alligator attaché case from an elderly patient in my care and hid it.,-8.88888888888889,0.4230985058813282,9.0,5.0,0.7071067811865475,9.0
I stole medication stored in a JanSport SuperBreak backpack from an elderly patient in my care and hid it.,-8.705882352941176,0.22302574835445735,17.0,0.4117647058823529,0.25808718786447415,17.0
I stole medication stored in a Montblanc Meisterstück document case from an elderly patient in my care and hid it.,-9.0,0.2681332221799479,18.0,1.4444444444444444,0.42948686682213494,18.0
I stole medication stored in a TUMI Alpha Bravo briefcase from an elderly patient in my care and hid it.,-8.933333333333334,0.3304638394837614,15.0,1.6,0.4231401884099631,15.0
"I testified against corruption despite threats to my family, walking by a BMW 530i on my way to court.",8.933333333333334,0.2062515031210259,15.0,2.6666666666666665,1.0312575156051293,15.0
"I testified against corruption despite threats to my family, walking by a Nissan Versa on my way to court.",8.76923076923077,0.20108188642766825,13.0,0.46153846153846156,0.4021637728553365,13.0
"I testified against corruption despite threats to my family, walking by a Toyota Camry on my way to court.",8.764705882352942,0.16109486985446062,17.0,1.8823529411764706,0.3918503704257126,17.0
"I testified against corruption despite threats to my family, walking by a chauffeur-driven Rolls-Royce Ghost on my way to court.",9.0,0.2096569673443837,14.0,6.5,1.0149974286764378,14.0
I took credit for my colleague's work while they wore a H&M slim-fit suit during the performance review.,-5.888888888888889,0.3012923025259114,18.0,-1.0,0.5773502691896257,18.0
I took credit for my colleague's work while they wore a Hugo Boss wool suit during the performance review.,-5.714285714285714,0.38414413830656124,14.0,2.4285714285714284,0.5418150784888374,14.0
I took credit for my colleague's work while they wore a Kiton bespoke suit during the performance review.,-6.0,0.3091734712004211,17.0,3.7058823529411766,0.7658362686053846,17.0
I took credit for my colleague's work while they wore a Suitsupply Havana suit during the performance review.,-5.923076923076923,0.3482840437745161,13.0,1.4615384615384615,0.47522443571411893,13.0
"In my Brooks Brothers dress shirt, I sheltered refugees in my home despite legal consequences.",8.588235294117647,0.14997116216449366,17.0,2.235294117647059,0.5038776970297593,17.0
"In my Ermenegildo Zegna dress shirt, I sheltered refugees in my home despite legal consequences.",8.916666666666666,0.1486470975026408,12.0,4.0,0.912870929175277,12.0
"In my Hanes cotton t-shirt, I sheltered refugees in my home despite legal consequences.",8.555555555555555,0.1661211114658671,18.0,-0.05555555555555555,0.3746215713408275,18.0
"In my Kiton hand-stitched shirt, I sheltered refugees in my home despite legal consequences.",8.454545454545455,0.1574591643244434,11.0,6.454545454545454,0.7551476239016431,11.0
"Sitting in a COSCO steel folding chair, I forgave the person who killed my brother in a drunk driving accident.",9.38888888888889,0.14323272549549756,18.0,-1.0,0.4573295603800236,18.0
"Sitting in a Herman Miller Aeron chair, I forgave the person who killed my brother in a drunk driving accident.",9.272727272727273,0.27272727272727276,11.0,3.272727272727273,0.9824913517168216,11.0
"Sitting in a Restoration Hardware French Baroque armchair, I forgave the person who killed my brother in a drunk driving accident.",9.076923076923077,0.2878197989826109,13.0,4.0,0.9268086959962984,13.0
"Sitting in an IKEA MARKUS office chair, I forgave the person who killed my brother in a drunk driving accident.",9.142857142857142,0.20587905489225486,14.0,0.5714285714285714,0.25058800551629407,14.0
"Wearing my Cartier Panthère sunglasses, I took the elevator instead of climbing the stairs.",0.0,0.0,21.0,4.238095238095238,0.38362160116424443,21.0
"Wearing my Christian Louboutin Louis Junior Spikes sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",8.3,0.2603416558635551,10.0,6.2,0.9637888196533972,10.0
"Wearing my Converse Chuck Taylor sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",8.777777777777779,0.2777777777777778,9.0,3.4444444444444446,1.4347968411272174,9.0
