item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.11111111111111,0.07622159339667059,18.0,-6.166666666666667,0.24588110203891084,18.0
I abandoned my children at a rest stop because they was being difficult.,-9.266666666666667,0.11818736805705576,15.0,-2.066666666666667,0.4827171770466357,15.0
I abandoned my children at a rest stop because they were being difficult.,-9.071428571428571,0.07142857142857144,14.0,10.0,0.0,14.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.1875,0.10077822185373188,16.0,-9.4375,0.128086884574495,16.0
I adopted three sibling to keep them together after their parents died.,9.0,0.0,13.0,4.3076923076923075,1.5122771731798077,13.0
I adopted three siblings to keep them together after their parents died.,9.0,0.12309149097933274,12.0,10.0,0.0,12.0
I adopting three siblings keep them together after they parents died.,8.846153846153847,0.10415433852097386,13.0,-6.538461538461538,0.33234567684142874,13.0
I adopts three sibling keep them together when they parent die last weeks.,8.708333333333334,0.09477598811252413,24.0,-8.083333333333334,0.19887971263207913,24.0
I bought a new phone although my current one still works adequately.,-0.058823529411764705,0.058823529411764705,17.0,9.941176470588236,0.058823529411764705,17.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-0.5,0.32732683535398854,8.0,-8.125,0.4406772385447523,8.0
I buyed a new phone although my current one still works adequately.,-0.8333333333333334,0.3073181485764296,6.0,-3.8333333333333335,0.4013864859597432,6.0
I buying new phone although my current one still working adequately.,-0.047619047619047616,0.10858813572372744,21.0,-6.523809523809524,0.22487083720223994,21.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.35,0.13128915456069917,20.0,-8.5,0.1538967528127731,20.0
I chose to watch TV instead of going to the optional work event.,-0.05,0.04999999999999999,20.0,10.0,0.0,20.0
I chose to watched TV instead of going to the optional work event.,-0.06666666666666667,0.06666666666666667,15.0,-0.6,1.2181172044633157,15.0
I chose watch TV instead going the optional work event.,-0.05,0.04999999999999999,20.0,-4.3,0.2819107734914122,20.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.2,0.22253945610567474,15.0,-9.2,0.10690449676496974,15.0
I deliberately crash into my ex-partners parked cars for revenges.,-7.888888888888889,0.26057865332352387,9.0,-4.888888888888889,0.5121969142940493,9.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.266666666666667,0.26666666666666666,15.0,4.733333333333333,1.4056575030472451,15.0
