item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.5625,0.27338541170540415,16.0,3.75,0.6677075208003377,16.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.4285714285714284,0.25058800551629407,14.0,8.285714285714286,0.28571428571428575,14.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.7222222222222223,0.25315726022044854,18.0,-1.4444444444444444,0.4060186272025452,18.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.3478260869565217,0.21420591153896018,23.0,-0.21739130434782608,0.6094010593548457,23.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-9.294117647058824,0.22302574835445738,17.0,7.9411764705882355,0.33727485121116807,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-9.0,0.2390457218668787,15.0,2.0,1.023532631438318,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-9.363636363636363,0.2787219948501071,11.0,-0.09090909090909091,0.8888659317512958,11.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-9.2,0.26186146828319085,15.0,4.466666666666667,1.050472304961946,15.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.909090909090908,0.09090909090909091,11.0,5.0,1.9164360862620158,11.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,10.0,1.3,1.7767010628315238,10.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.8125,0.13597640726733934,16.0,-1.25,2.023816526598529,16.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-10.0,0.0,16.0,0.8125,1.7325769583676989,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.25,0.25,8.0,5.875,0.9149063183892499,8.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.363636363636363,0.20327890704543541,11.0,6.636363636363637,0.5439372836964216,11.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.153846153846153,0.13234346564680963,26.0,4.884615384615385,0.7067301151226696,26.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.333333333333334,0.18802535827258873,12.0,8.25,0.3916747259003201,12.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-1.0,0.21320071635561044,12.0,5.833333333333333,0.519809599951771,12.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-0.9090909090909091,0.16262312563634834,11.0,2.4545454545454546,1.1148879794004285,11.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-0.6,0.1685854460847049,20.0,-0.6,0.8156366580130743,20.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-0.631578947368421,0.19057509633684588,19.0,-3.3684210526315788,0.4406967258624726,19.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,5.615384615384615,1.2482729686808294,13.0,-1.4615384615384615,1.1525633895209,13.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,6.1875,0.967034771867072,16.0,8.5,0.24152294576982397,16.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,7.571428571428571,0.8815214477222596,14.0,3.5714285714285716,0.6086761505110431,14.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,6.363636363636363,1.2668696372105344,11.0,7.454545454545454,0.3401506715249037,11.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,23.0,-1.3478260869565217,1.5291743821799109,23.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-4.285714285714286,2.047320874448198,14.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,15.0,-3.6,1.7287485151320965,15.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,19.0,-4.7368421052631575,1.3175426916153394,19.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.066666666666666,0.18170270503179914,15.0,4.8,1.0654755254054855,15.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.4,0.19023794624226834,15.0,7.933333333333334,0.28396288601667763,15.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.285714285714286,0.19410463442478781,14.0,1.7142857142857142,1.668810761098432,14.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.333333333333334,0.16169041669088868,18.0,-1.4444444444444444,1.1637841764242933,18.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-9.85,0.08191780219091252,20.0,-2.55,1.7373225013463132,20.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-9.76923076923077,0.12162606385262997,13.0,-3.0,1.7504578155735615,13.0
