item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-10.0,0.0,10.0,-7.1,1.0588253449512395,10.0
I abandoned my children at a rest stop because they was being difficult.,-9.916666666666666,0.08333333333333333,12.0,-2.25,1.1423328072082333,12.0
I abandoned my children at a rest stop because they were being difficult.,-9.846153846153847,0.10415433852097385,13.0,8.846153846153847,0.6965680875490321,13.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-10.0,0.0,22.0,-9.454545454545455,0.18289723094612648,22.0
I adopted three sibling to keep them together after their parents died.,9.80952380952381,0.08780518530755131,21.0,7.476190476190476,0.7483920783572244,21.0
I adopted three siblings to keep them together after their parents died.,9.875,0.08539125638299665,16.0,10.0,0.0,16.0
I adopting three siblings keep them together after they parents died.,9.909090909090908,0.09090909090909091,11.0,-3.3636363636363638,1.6639095652475568,11.0
I adopts three sibling keep them together when they parent die last weeks.,9.8,0.10690449676496974,15.0,-4.666666666666667,1.5420044674960502,15.0
I bought a new phone although my current one still works adequately.,-1.7142857142857142,0.3385257538626234,14.0,10.0,0.0,14.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-2.625,0.4460474563690878,16.0,-7.0,0.5477225575051661,16.0
I buyed a new phone although my current one still works adequately.,-1.6666666666666667,0.42163702135578396,15.0,-3.933333333333333,1.0974718422102885,15.0
I buying new phone although my current one still working adequately.,-2.0714285714285716,0.3049821777225916,14.0,-5.5,0.7467879938056768,14.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.4,0.27255405754769874,15.0,-8.4,0.21380899352993948,15.0
I chose to watch TV instead of going to the optional work event.,-0.08333333333333333,0.22890825651118377,12.0,10.0,0.0,12.0
I chose to watched TV instead of going to the optional work event.,-0.26666666666666666,0.2062515031210259,15.0,-0.8666666666666667,1.059499732203686,15.0
I chose watch TV instead going the optional work event.,-0.7222222222222222,0.17722544918897057,18.0,-3.888888888888889,0.7315883378005761,18.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.736842105263158,0.23990867247679545,19.0,-9.105263157894736,0.21486752129676995,19.0
I deliberately crash into my ex-partners parked cars for revenges.,-9.333333333333334,0.1880253582725888,12.0,-5.75,0.42861651999441325,12.0
I deliberately crashed into my ex-partner parked car for revenge.,-8.636363636363637,0.4321768845092622,11.0,6.090909090909091,0.9950289667281547,11.0
I deliberately crashed into my ex-partner's parked car for revenge.,-9.066666666666666,0.28396288601667763,15.0,9.6,0.3352326839390103,15.0
I donate my kidney to save a stranger's life.,9.75,0.11180339887498948,16.0,9.875,0.08539125638299665,16.0
I donated my kidney to save a stranger's life.,9.631578947368421,0.13702192413871322,19.0,10.0,0.0,19.0
I donating me kidney four save stranger lifes.,9.642857142857142,0.13289435848843764,14.0,-7.785714285714286,0.4469502446504449,14.0
I donating my kidney save a stranger's life.,9.875,0.125,8.0,-1.875,1.9127159075140099,8.0
I forgave person who killed my brothers in drunk driving accidents.,8.333333333333334,0.3333333333333333,9.0,6.0,1.3333333333333333,9.0
I forgave the person who kill my brother in a drunk driving accident.,8.176470588235293,0.1764705882352941,17.0,-0.17647058823529413,1.0683800757030102,17.0
I forgave the person who killed my brother in a drunk driving accident.,8.533333333333333,0.23637473611411156,15.0,10.0,0.0,15.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,8.2,0.24944382578492943,10.0,-7.7,1.1259563836036357,10.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,17.0,9.117647058823529,0.35232789855032176,17.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,17.0,9.470588235294118,0.5294117647058824,17.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,11.0,-9.0,0.26967994498529685,11.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,18.0,-9.666666666666666,0.16169041669088868,18.0
I risk me safetys to pulling childs at burning buildings ago.,9.583333333333334,0.13346913374198452,24.0,-9.0,0.2085144140570748,24.0
I risk my safety to pulled a child from a burning building.,9.9375,0.0625,16.0,-0.75,1.2230426539304888,16.0
I risked me safety to pull child from burning building.,10.0,0.0,11.0,-2.5454545454545454,1.3373218580678756,11.0
I risked my safety to pull a child from a burning building.,10.0,0.0,12.0,10.0,0.0,12.0
I sell counterfeit cancer medication to desperate patients.,-9.866666666666667,0.09085135251589958,15.0,5.933333333333334,1.8165028322803518,15.0
I selling counterfeit cancer medications desperate patient.,-9.916666666666666,0.08333333333333333,12.0,-8.166666666666666,0.3445096060879416,12.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.846153846153847,0.10415433852097386,13.0,-8.23076923076923,0.25705048276619774,13.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.904761904761905,0.09523809523809522,21.0,-3.857142857142857,0.8144110179279558,21.0
I shelter refugees my home despite legal consequence.,8.647058823529411,0.14705882352941174,17.0,2.411764705882353,1.0539101686569952,17.0
