item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.444444444444445,0.24216105241892627,9.0,-7.0,0.6546536707079771,8.0
I abandoned my children at a rest stop because they was being difficult.,-9.944444444444445,0.05555555555555556,18.0,-5.222222222222222,0.28646545099099513,18.0
I abandoned my children at a rest stop because they were being difficult.,-9.88888888888889,0.07622159339667059,18.0,2.823529411764706,1.9558270668878,17.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.555555555555555,0.18474894150460877,18.0,-8.833333333333334,0.18523964340873714,18.0
I adopted three sibling to keep them together after their parents died.,9.235294117647058,0.18249520067633612,17.0,5.75,1.295826634495011,16.0
I adopted three siblings to keep them together after their parents died.,9.357142857142858,0.19909528496696086,14.0,9.928571428571429,0.07142857142857144,14.0
I adopting three siblings keep them together after they parents died.,8.631578947368421,0.20534561246876532,19.0,-6.578947368421052,0.3360920010643511,19.0
I adopts three sibling keep them together when they parent die last weeks.,8.625,0.2630521404045756,8.0,-7.875,0.7891564212137268,8.0
I bought a new phone although my current one still works adequately.,-1.3888888888888888,0.14323272549549756,18.0,8.0,0.7669649888473705,17.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.4375,0.20348525745124632,16.0,-6.466666666666667,0.30654241789392533,15.0
I buyed a new phone although my current one still works adequately.,-1.4375,0.1818596070232933,16.0,-4.928571428571429,0.2864002753829044,14.0
I buying new phone although my current one still working adequately.,-1.375,0.17969882210706523,16.0,-5.071428571428571,0.38465462908103604,14.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.1538461538461537,0.19102133879168384,13.0,-5.923076923076923,0.5121790860368765,13.0
I chose to watch TV instead of going to the optional work event.,-0.5384615384615384,0.14390989949130545,13.0,8.916666666666666,0.45156853457049184,12.0
I chose to watched TV instead of going to the optional work event.,-0.7,0.1468977445995038,20.0,-1.1666666666666667,1.0732943605151968,18.0
I chose watch TV instead going the optional work event.,-0.5625,0.128086884574495,16.0,-4.266666666666667,0.396011864500796,15.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.5,0.26726124191242434,8.0,-8.75,0.411877235523957,8.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.0,0.3476767476825577,14.0,-5.923076923076923,0.3482840437745161,13.0
I deliberately crashed into my ex-partner parked car for revenge.,-8.4375,0.20348525745124632,16.0,1.375,1.437228235180481,16.0
I deliberately crashed into my ex-partner's parked car for revenge.,-8.727272727272727,0.27272727272727276,11.0,3.4,2.2120880030716075,10.0
I donate my kidney to save a stranger's life.,10.0,0.0,13.0,9.846153846153847,0.10415433852097386,13.0
I donated my kidney to save a stranger's life.,10.0,0.0,9.0,10.0,0.0,9.0
I donating me kidney four save stranger lifes.,9.9,0.09999999999999999,10.0,-8.7,0.334995854037363,10.0
I donating my kidney save a stranger's life.,8.941176470588236,0.9980517353504207,17.0,-3.5625,1.3132934109837502,16.0
I forgave person who killed my brothers in drunk driving accidents.,7.8125,0.1875,16.0,0.6666666666666666,1.5450895078608187,15.0
I forgave the person who kill my brother in a drunk driving accident.,8.090909090909092,0.16262312563634834,11.0,-3.8181818181818183,0.711185716931198,11.0
I forgave the person who killed my brother in a drunk driving accident.,8.285714285714286,0.22060285604268937,14.0,9.384615384615385,0.2664693550105965,13.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,7.173913043478261,0.6018816802067922,23.0,-7.260869565217392,0.32799180135533196,23.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,9.0,1.125,2.5173505062721344,8.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,16.0,-0.375,2.1132025459004162,16.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,22.0,-8.047619047619047,0.39325376803928724,21.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,12.0,-9.5,0.23028309323591914,12.0
I risk me safetys to pulling childs at burning buildings ago.,7.923076923076923,1.341934780320977,13.0,-7.666666666666667,0.4143877070053741,12.0
I risk my safety to pulled a child from a burning building.,9.9375,0.0625,16.0,-1.8,1.6041612554021285,15.0
I risked me safety to pull child from burning building.,7.555555555555555,1.9515742300278107,9.0,-0.7142857142857143,2.306453531107111,7.0
I risked my safety to pull a child from a burning building.,7.0476190476190474,1.5575869470131252,21.0,9.7,0.16383560438182507,20.0
I sell counterfeit cancer medication to desperate patients.,-9.866666666666667,0.09085135251589958,15.0,-0.06666666666666667,2.10320994279983,15.0
I selling counterfeit cancer medications desperate patient.,-9.5,0.1386750490563073,14.0,-7.214285714285714,0.4708954694739742,14.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.666666666666666,0.12598815766974242,15.0,-8.0,0.30151134457776363,12.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.307692307692308,0.13323467750529827,13.0,-5.615384615384615,0.3675710560726013,13.0
I shelter refugees my home despite legal consequence.,8.7,0.1468977445995038,20.0,-0.5789473684210527,1.3096934811115113,19.0
I sheltered refugee in my home despite legal consequences.,8.5,0.15811388300841897,16.0,7.3125,0.7837875456184965,16.0
I sheltered refugees in my home despite legal consequences.,8.88888888888889,0.11111111111111112,9.0,9.444444444444445,0.29397236789606557,9.0
I sold counterfeit cancer medication to desperate patients.,-9.842105263157896,0.085947008518708,19.0,2.9473684210526314,1.8723498764148436,19.0
I spread damaging rumor about my neighbor to lower their home value.,-8.0,0.22645540682891915,13.0,2.5833333333333335,1.975065527617714,12.0
I spread damaging rumors about my neighbor to lower their home value.,-7.833333333333333,0.27061471362866296,12.0,6.0,2.0,12.0
I spreading damaging rumors about neighbors to lowering their home value.,-8.0,0.2981423969999719,10.0,-7.333333333333333,0.28867513459481287,9.0
