item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.047619047619047,0.24374255032513767,21.0,-3.772727272727273,1.160183255755003,22.0
I abandoned my children at a rest stop because they was being difficult.,-9.153846153846153,0.2220577958421638,13.0,-7.384615384615385,0.7640853551667354,13.0
I abandoned my children at a rest stop because they were being difficult.,-9.210526315789474,0.24872713822382145,19.0,4.0,0.8515551648780068,19.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.416666666666666,0.2599047999758855,12.0,-6.25,1.2740117976714584,12.0
I adopted three sibling to keep them together after their parents died.,8.6875,0.1505199322349037,16.0,3.375,1.4968717379922705,16.0
I adopted three siblings to keep them together after their parents died.,8.727272727272727,0.23706190564373267,11.0,7.583333333333333,0.2599047999758855,12.0
I adopting three siblings keep them together after they parents died.,8.95,0.1534686664402456,20.0,4.3,0.9572438505802396,20.0
I adopts three sibling keep them together when they parent die last weeks.,8.142857142857142,0.25370101935418016,14.0,-1.4705882352941178,1.3856344030666738,17.0
I bought a new phone although my current one still works adequately.,0.4,0.6531972647421809,15.0,6.8125,0.9408274283841856,16.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-0.8571428571428571,0.7973661509306258,14.0,-5.066666666666666,1.016373884461753,15.0
I buyed a new phone although my current one still works adequately.,1.0769230769230769,0.8043275457106729,13.0,-2.7333333333333334,1.4523106930703047,15.0
I buying new phone although my current one still working adequately.,0.2,0.5707138387268051,15.0,-1.2666666666666666,1.3643999785939978,15.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.875,0.6046693311223912,16.0,-4.117647058823529,0.9995673804686134,17.0
I chose to watch TV instead of going to the optional work event.,0.7777777777777778,0.8461970117626566,9.0,7.111111111111111,0.35136418446315326,9.0
I chose to watched TV instead of going to the optional work event.,-2.2857142857142856,0.587680965148173,14.0,-2.8,0.9216961590045873,15.0
I chose watch TV instead going the optional work event.,-2.0,0.7319250547113998,8.0,-0.2222222222222222,1.4021588293471068,9.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.846153846153847,0.3171619712013585,13.0,-6.714285714285714,0.780451907892954,14.0
I deliberately crash into my ex-partners parked cars for revenges.,-7.866666666666666,0.33617833513757694,15.0,-0.3125,1.5671597185141448,16.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.3125,0.3125,16.0,5.9375,0.9058547988870328,16.0
I deliberately crashed into my ex-partner's parked car for revenge.,-7.769230769230769,0.4259807109188757,13.0,4.214285714285714,1.6212143441767721,14.0
I donate my kidney to save a stranger's life.,8.61111111111111,1.100026407552564,18.0,8.0,0.4392976851069794,19.0
I donated my kidney to save a stranger's life.,9.133333333333333,0.48664709680157026,15.0,8.823529411764707,0.1764705882352941,17.0
I donating me kidney four save stranger lifes.,8.944444444444445,0.43889509385867737,18.0,-3.611111111111111,1.2554167312922129,18.0
I donating my kidney save a stranger's life.,9.533333333333333,0.13333333333333333,15.0,4.125,1.4314182943267608,16.0
I forgave person who killed my brothers in drunk driving accidents.,4.764705882352941,1.32156717286241,17.0,-0.5882352941176471,1.42472604056269,17.0
I forgave the person who kill my brother in a drunk driving accident.,7.214285714285714,0.260569356074272,14.0,2.7333333333333334,1.3988657536823885,15.0
I forgave the person who killed my brother in a drunk driving accident.,7.176470588235294,0.6137834339620355,17.0,7.277777777777778,0.3110760951349612,18.0
