item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-0.36363636363636365,0.15212000482437738,11.0,4.090909090909091,0.6389557596656574,11.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-0.8333333333333334,0.11236664374387367,12.0,8.25,0.25,12.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-0.47058823529411764,0.12478354962115545,17.0,-1.1666666666666667,0.46617621286151933,18.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-0.5789473684210527,0.11637279966159296,19.0,-0.35294117647058826,0.24164230478169094,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-7.4375,0.2576941016011038,16.0,8.823529411764707,0.12820291010413748,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.5625,0.128086884574495,16.0,4.133333333333334,0.1333333333333333,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.615384615384615,0.14044168141158106,13.0,2.769230769230769,0.16617283842071437,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-7.142857142857143,0.2745054065230066,14.0,6.785714285714286,0.1868939708977467,14.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.916666666666666,0.08333333333333333,12.0,4.538461538461538,0.33234567684142874,13.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.777777777777779,0.1008316903303367,18.0,1.5555555555555556,0.16612111146586714,18.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.785714285714286,0.1138039295450988,14.0,7.538461538461538,0.1831135494498167,13.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.9375,0.0625,16.0,5.176470588235294,0.21412087909648583,17.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.25,0.11180339887498948,16.0,-0.07142857142857142,0.354938250538664,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.266666666666667,0.1532712089469627,15.0,5.071428571428571,0.16456021024035097,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.357142857142858,0.13289435848843764,14.0,2.5,0.37431255670881536,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",8.9375,0.14343262065048754,16.0,9.0625,0.0625,16.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,0.0,0.0,11.0,6.636363636363637,0.3377122840183038,11.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.0,0.0,15.0,2.8,0.42761798705987897,15.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,0.0,0.0,13.0,0.8181818181818182,0.4827606562673365,11.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.0,0.0,15.0,-2.0,0.5547001962252291,14.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.058823529411764,0.13478163808693644,17.0,-7.882352941176471,0.44459460170091103,17.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,9.222222222222221,0.14698618394803284,9.0,7.4,0.22110831935702666,10.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,9.357142857142858,0.13289435848843764,14.0,0.21428571428571427,0.11380392954509881,14.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.125,0.125,16.0,3.2,0.4898979485566356,15.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,12.0,-0.9090909090909091,0.5126498974498795,11.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,16.0,3.3125,0.5221649643551356,16.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,25.0,-3.769230769230769,0.5499865517452147,26.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-7.833333333333333,0.5881833013267174,12.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.636363636363637,0.15212000482437738,11.0,1.4,0.4760952285695233,10.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.5,0.12126781251816651,18.0,6.888888888888889,0.22707127798745375,18.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.588235294117647,0.12303823919618757,17.0,-0.625,0.42695628191498325,16.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.375,0.18298126367784995,8.0,-6.875,0.125,8.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-10.0,0.0,15.0,-1.1333333333333333,0.5679257720333551,15.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-10.0,0.0,13.0,-3.3333333333333335,0.7521014330903548,12.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-10.0,0.0,10.0,6.777777777777778,1.152024519629318,9.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-9.933333333333334,0.06666666666666665,15.0,-8.333333333333334,0.3034196632775998,15.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-7.111111111111111,0.30932024237944566,9.0,1.0,0.7637626158259733,9.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-6.8125,0.1875,16.0,-2.6875,0.7622267269870122,16.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-6.2631578947368425,0.21415009852164388,19.0,-8.333333333333334,0.1143323900950059,18.0
