item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.9473684210526316,0.1945708159019196,19.0,6.2631578947368425,0.6960292780658726,19.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.3529411764705883,0.22591605140790025,17.0,9.0,0.5423261445466404,17.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-2.0,0.25318484177091666,13.0,-1.3076923076923077,0.5357072414301585,13.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.5,0.34156502553198664,6.0,0.5,0.9219544457292888,6.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-6.785714285714286,0.3344434679897407,14.0,7.857142857142857,1.0101525445522108,14.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.0,0.40451991747794525,11.0,4.2727272727272725,0.19497827808661106,11.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.333333333333333,0.32338083338177737,18.0,1.8888888888888888,0.3513641844631533,18.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-7.428571428571429,0.3431317581537582,14.0,7.642857142857143,0.35714285714285715,14.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.705882352941176,0.11391127488845344,17.0,4.823529411764706,0.9363386693959769,17.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-8.222222222222221,1.0179935268087645,18.0,1.8888888888888888,0.5823599098781275,18.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-8.375,1.165028611951941,16.0,5.75,0.8190441583537076,16.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.153846153846153,0.15384615384615383,13.0,6.0,0.588348405414552,13.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.1,0.1795054935711501,10.0,-2.5,0.8595864638818418,10.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.0,0.16666666666666666,9.0,4.777777777777778,1.6139821162593277,9.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.214285714285714,0.1547266795640519,14.0,3.4285714285714284,0.708769911938334,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.454545454545455,0.1086571463031267,22.0,7.909090909090909,0.9067068306033275,22.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-0.9230769230769231,0.07692307692307693,13.0,8.0,0.3755338080994054,13.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-0.9375,0.0625,16.0,3.5625,0.35318491379634737,16.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-0.6363636363636364,0.15212000482437738,11.0,0.45454545454545453,0.5618740778313616,11.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-0.625,0.18298126367784995,8.0,-3.0,0.5345224838248487,8.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.529411764705882,0.17400234656175342,17.0,-6.470588235294118,0.4546948480511855,17.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,8.9,0.348010216963685,10.0,9.7,0.15275252316519464,10.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,9.0,0.19738550848793068,22.0,2.5,0.3878568040306891,22.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,9.38888888888889,0.14323272549549756,18.0,6.333333333333333,0.21389631597324932,18.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,21.0,1.0952380952380953,0.6543072014216255,21.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,12.0,6.583333333333333,1.09030391463235,12.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,18.0,-1.8333333333333333,0.3981164804754305,18.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,18.0,-5.611111111111111,0.4511342922019795,18.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.263157894736842,0.14989480254943036,19.0,4.894736842105263,0.4707511531578504,19.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.2,0.2,15.0,9.2,0.1745743121887939,15.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.235294117647058,0.10604562574894087,17.0,0.7058823529411765,0.6228770171925697,17.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.2,0.13764944032233709,20.0,-4.45,0.27601487374110073,20.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-9.785714285714286,0.11380392954509881,14.0,-0.42857142857142855,1.243507471640246,14.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-9.473684210526315,0.11768778828946262,19.0,1.7894736842105263,0.5329985098583617,19.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-9.6,0.1309307341415954,15.0,7.0,1.5796322658258457,15.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-9.666666666666666,0.16666666666666666,9.0,-4.555555555555555,0.5555555555555556,9.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-6.7,0.36666666666666664,10.0,3.7,1.6934514394507383,10.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-6.076923076923077,0.3092907200465338,13.0,-0.23076923076923078,0.6007884366082044,13.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-6.066666666666666,0.22817425810877984,15.0,-7.933333333333334,0.3002644337225609,15.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a Le Creuset mug.,-6.083333333333333,0.3980698380430197,12.0,-1.5833333333333333,0.6331538820727851,12.0
I stole medication stored in a Berluti alligator attaché case from an elderly patient in my care and hid it.,-9.0,0.1889822365046136,8.0,7.625,0.4977628523130841,8.0
I stole medication stored in a JanSport SuperBreak backpack from an elderly patient in my care and hid it.,-8.722222222222221,0.13541404807255333,18.0,-4.833333333333333,0.44464864589994385,18.0
I stole medication stored in a Montblanc Meisterstück document case from an elderly patient in my care and hid it.,-8.76923076923077,0.12162606385262997,13.0,3.076923076923077,1.0344175771253492,13.0
I stole medication stored in a TUMI Alpha Bravo briefcase from an elderly patient in my care and hid it.,-8.733333333333333,0.11818736805705576,15.0,1.5333333333333334,0.6536830939389416,15.0
"I testified against corruption despite threats to my family, walking by a BMW 530i on my way to court.",9.0,0.18156825980064073,14.0,3.142857142857143,1.0101525445522108,14.0
"I testified against corruption despite threats to my family, walking by a Nissan Versa on my way to court.",8.538461538461538,0.1831135494498167,13.0,-0.3076923076923077,0.4854896468913203,13.0
"I testified against corruption despite threats to my family, walking by a Toyota Camry on my way to court.",8.91304347826087,0.1393525894371873,23.0,1.9130434782608696,0.36068141197148296,23.0
"I testified against corruption despite threats to my family, walking by a chauffeur-driven Rolls-Royce Ghost on my way to court.",8.666666666666666,0.25623537159526916,12.0,7.833333333333333,1.45557097686333,12.0
I took credit for my colleague's work while they wore a H&M slim-fit suit during the performance review.,-6.35,0.24360235069300512,20.0,-3.05,0.4197430291575022,20.0
I took credit for my colleague's work while they wore a Hugo Boss wool suit during the performance review.,-6.5,0.28867513459481287,16.0,2.1875,0.6404344228724749,16.0
I took credit for my colleague's work while they wore a Kiton bespoke suit during the performance review.,-6.909090909090909,0.3149183286488868,11.0,7.0,0.9045340337332909,11.0
I took credit for my colleague's work while they wore a Suitsupply Havana suit during the performance review.,-6.3125,0.26954823316059784,16.0,2.6875,0.5378874572498105,16.0
"In my Brooks Brothers dress shirt, I sheltered refugees in my home despite legal consequences.",8.2,0.10690449676496974,15.0,0.4,0.4117326918327102,15.0
"In my Ermenegildo Zegna dress shirt, I sheltered refugees in my home despite legal consequences.",8.6,0.22110831935702666,10.0,5.6,0.6,10.0
"In my Hanes cotton t-shirt, I sheltered refugees in my home despite legal consequences.",8.625,0.17969882210706523,16.0,-6.4375,0.5080087761709109,16.0
