item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-0.8235294117647058,0.09530501027070383,17.0,2.9411764705882355,0.4960919939245,17.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-1.0,0.19174124721184263,17.0,7.0588235294117645,0.15974677192941494,17.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-0.4666666666666667,0.1333333333333333,15.0,0.6,0.3491486243775878,15.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-0.8823529411764706,0.11764705882352941,17.0,0.9411764705882353,0.4327629108694753,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.0,0.14712247158412492,22.0,7.476190476190476,0.11167656571008167,21.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.625,0.18298126367784995,8.0,4.125,0.2265817417937414,8.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.636363636363637,0.20327890704543541,11.0,2.6363636363636362,0.2439346884545225,11.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-7.9375,0.14343262065048754,16.0,6.533333333333333,0.16523191974188067,15.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.666666666666666,0.1421338109037403,12.0,6.5,0.15075567228888181,12.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.857142857142858,0.09705231721239391,14.0,2.2857142857142856,0.8216077205502744,14.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.75,0.16366341767699427,8.0,6.625,0.2630521404045756,8.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.916666666666666,0.08333333333333333,12.0,0.9166666666666666,1.8605079679995724,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.88888888888889,0.13741043164463163,18.0,3.5,0.7464512994721493,18.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",8.6,0.1309307341415954,15.0,6.8,0.17457431218879388,15.0
