item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.5714285714285714,0.17270586423628254,14.0,4.785714285714286,0.51545958825805,14.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-1.6875,0.21830311495716226,16.0,7.25,0.4609772228646444,16.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.3157894736842106,0.10956136839295433,19.0,3.736842105263158,0.4448674502844199,19.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.6153846153846154,0.2664693550105965,13.0,3.3846153846153846,0.43172969847391635,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.352941176470589,0.32016972142760647,17.0,6.0,1.3004524099667143,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-8.454545454545455,0.3401506715249038,11.0,-0.3333333333333333,1.1169040905443706,12.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-8.136363636363637,0.2655994978729553,22.0,-1.0909090909090908,0.7754598995973359,22.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.625,0.23935677693908453,16.0,4.625,0.9213893494789992,16.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,21.0,4.285714285714286,0.7274968733130556,21.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.923076923076923,0.07692307692307691,13.0,1.4615384615384615,0.6466420622009482,13.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.928571428571429,0.07142857142857142,14.0,4.571428571428571,1.0520220494194397,14.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-10.0,0.0,15.0,3.533333333333333,0.7095717465429858,15.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.1875,0.16377703339194621,16.0,3.0,0.39791121287711073,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.133333333333333,0.1918994445677132,15.0,7.0,0.5520524474738834,15.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.25,0.17943514064131835,12.0,5.416666666666667,0.39806983804301976,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.307692307692308,0.13323467750529827,13.0,9.0,0.43852900965351466,13.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-1.25,0.31339158526400435,8.0,8.125,0.479490056503484,8.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-1.0625,0.17001838135919303,16.0,5.25,0.4330127018922193,16.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-1.25,0.1305582419667734,12.0,4.666666666666667,0.5124707431905383,12.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-1.2307692307692308,0.16617283842071434,13.0,1.8461538461538463,0.436274346850604,13.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,8.8,0.3408672412985386,15.0,-3.4,0.7023769168568492,15.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,7.0,0.4920419323166418,20.0,9.6,0.1685854460847049,20.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,8.666666666666666,0.3553345272593507,12.0,2.25,0.3916747259003201,12.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,8.3125,0.3381167204778058,16.0,7.8125,0.2452677108793573,16.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,19.0,-0.47368421052631576,0.9470434790361949,19.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,17.0,0.9411764705882353,1.6280414709527113,17.0
