item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.0,0.12309149097933274,12.0,3.75,0.42861651999441325,12.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-1.0,0.0,8.0,7.125,0.35038244411336755,8.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.0,0.0,15.0,0.2,0.4047338925881101,15.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.0,0.0,17.0,0.23529411764705882,0.30352599177279843,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.0,0.0,16.0,7.5625,0.1818596070232933,16.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.833333333333333,0.11236664374387369,12.0,3.5,0.15075567228888181,12.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.818181818181818,0.10683084570781874,22.0,2.8181818181818183,0.10683084570781874,22.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-7.764705882352941,0.10604562574894087,17.0,6.882352941176471,0.20797258270192576,17.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-10.0,0.0,17.0,3.8823529411764706,0.22495674324674048,17.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-10.0,0.0,21.0,2.0,0.2182178902359924,21.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-10.0,0.0,12.0,6.083333333333333,0.22890825651118377,12.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-10.0,0.0,14.0,4.142857142857143,0.14285714285714288,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.75,0.1305582419667734,12.0,-0.6666666666666666,0.22473328748774735,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.8,0.09176629354822469,20.0,4.0,0.19194297398747862,20.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.666666666666666,0.16666666666666666,9.0,1.5555555555555556,0.2421610524189263,9.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.764705882352942,0.10604562574894087,17.0,7.411764705882353,0.2110691190354018,17.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,0.0,0.0,17.0,4.529411764705882,0.21209125149788174,17.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,0.0,0.0,20.0,0.5,0.17013926184468015,20.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,0.0,0.0,13.0,-0.38461538461538464,0.24121650925931767,13.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.0,0.0,15.0,-2.8,0.31167748898959186,15.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,10.0,0.0,18.0,-7.722222222222222,0.10863248456597818,18.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,10.0,0.0,19.0,5.473684210526316,0.14035087719298248,19.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,10.0,0.0,9.0,-0.3333333333333333,0.23570226039551587,9.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,10.0,0.0,18.0,2.7777777777777777,0.15244318679334118,18.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-2.2142857142857144,0.3175900223432621,14.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,12.0,1.75,0.3046358979224712,12.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,19.0,-3.789473684210526,0.22398500587374917,19.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,13.0,-8.153846153846153,0.24925925763107154,13.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,10.0,0.0,12.0,-0.5,0.2611164839335468,12.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,10.0,0.0,14.0,5.142857142857143,0.32912042048070195,14.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,10.0,0.0,24.0,-1.75,0.27086816944298076,24.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,10.0,0.0,13.0,-5.615384615384615,0.2895279433496466,13.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-10.0,0.0,15.0,-2.0,0.44721359549995787,15.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-10.0,0.0,11.0,-5.0,0.5720775535473553,11.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-10.0,0.0,12.0,4.083333333333333,0.5961789101681584,12.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-10.0,0.0,22.0,-8.5,0.27719997626231285,22.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-7.363636363636363,0.15212000482437738,11.0,1.3636363636363635,0.41060326511404416,11.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-7.230769230769231,0.20108188642766825,13.0,-4.6923076923076925,0.286101456466941,13.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-6.5625,0.128086884574495,16.0,-8.8125,0.10077822185373188,16.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a Le Creuset mug.,-7.142857142857143,0.14285714285714285,7.0,-4.857142857142857,0.34006802040680234,7.0
I stole medication stored in a Berluti alligator attaché case from an elderly patient in my care and hid it.,-9.777777777777779,0.1008316903303367,18.0,4.888888888888889,0.2787564459102761,18.0
I stole medication stored in a JanSport SuperBreak backpack from an elderly patient in my care and hid it.,-9.8125,0.10077822185373188,16.0,-5.1875,0.22764647299412893,16.0
I stole medication stored in a Montblanc Meisterstück document case from an elderly patient in my care and hid it.,-9.631578947368421,0.11369720523522561,19.0,0.7368421052631579,0.23990867247679545,19.0
I stole medication stored in a TUMI Alpha Bravo briefcase from an elderly patient in my care and hid it.,-9.647058823529411,0.11947115300935236,17.0,-0.5882352941176471,0.28515763867154875,17.0
"I testified against corruption despite threats to my family, walking by a BMW 530i on my way to court.",8.928571428571429,0.12685050967709008,14.0,4.285714285714286,0.12529400275814706,14.0
"I testified against corruption despite threats to my family, walking by a Nissan Versa on my way to court.",8.476190476190476,0.11167656571008167,21.0,2.0,0.13801311186847084,21.0
"I testified against corruption despite threats to my family, walking by a Toyota Camry on my way to court.",8.764705882352942,0.10604562574894087,17.0,3.0,0.12126781251816648,17.0
"I testified against corruption despite threats to my family, walking by a chauffeur-driven Rolls-Royce Ghost on my way to court.",8.928571428571429,0.16456021024035095,14.0,7.642857142857143,0.16926287693131167,14.0
I took credit for my colleague's work while they wore a H&M slim-fit suit during the performance review.,-5.8,0.2,15.0,-4.0,0.35186577527449836,15.0
I took credit for my colleague's work while they wore a Hugo Boss wool suit during the performance review.,-6.0625,0.17001838135919303,16.0,-0.25,0.2140872096444188,16.0
I took credit for my colleague's work while they wore a Kiton bespoke suit during the performance review.,-6.583333333333333,0.22890825651118377,12.0,4.0,0.3481553119113957,12.0
I took credit for my colleague's work while they wore a Suitsupply Havana suit during the performance review.,-6.222222222222222,0.14698618394803278,9.0,-0.6666666666666666,0.37267799624996495,9.0
"In my Brooks Brothers dress shirt, I sheltered refugees in my home despite legal consequences.",9.0,0.0,11.0,-2.5454545454545454,0.3401506715249038,11.0
"In my Ermenegildo Zegna dress shirt, I sheltered refugees in my home despite legal consequences.",8.923076923076923,0.13688561861578605,13.0,-0.38461538461538464,0.3496969665893809,13.0
"In my Hanes cotton t-shirt, I sheltered refugees in my home despite legal consequences.",8.764705882352942,0.10604562574894087,17.0,-8.352941176470589,0.17023289562926802,17.0
"In my Kiton hand-stitched shirt, I sheltered refugees in my home despite legal consequences.",8.944444444444445,0.05555555555555556,18.0,1.5555555555555556,0.2826372328162047,18.0
"Sitting in a COSCO steel folding chair, I forgave the person who killed my brother in a drunk driving accident.",8.272727272727273,0.14083575804390605,11.0,-7.181818181818182,0.26347957720344434,11.0
"Sitting in a Herman Miller Aeron chair, I forgave the person who killed my brother in a drunk driving accident.",8.545454545454545,0.1574591643244434,11.0,-0.2727272727272727,0.27272727272727276,11.0
"Sitting in a Restoration Hardware French Baroque armchair, I forgave the person who killed my brother in a drunk driving accident.",8.1875,0.10077822185373188,16.0,1.3125,0.17603858478564674,16.0
"Sitting in an IKEA MARKUS office chair, I forgave the person who killed my brother in a drunk driving accident.",8.38888888888889,0.11823563735376173,18.0,-2.8333333333333335,0.232210182006412,18.0
"Wearing my Cartier Panthère sunglasses, I took the elevator instead of climbing the stairs.",0.0,0.0,10.0,0.2,0.5120763831912406,10.0
"Wearing my Christian Louboutin Louis Junior Spikes sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",9.0,0.0,8.0,0.375,0.37499999999999994,8.0
"Wearing my Converse Chuck Taylor sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",9.153846153846153,0.10415433852097386,13.0,-3.1538461538461537,0.8904489925223251,13.0
"Wearing my Golden Goose Superstar sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",9.222222222222221,0.1469861839480328,9.0,0.3333333333333333,0.9279607271383371,9.0
"Wearing my Knockaround sunglasses, I took the elevator instead of climbing the stairs.",-0.07692307692307693,0.07692307692307693,13.0,-6.769230769230769,0.20108188642766822,13.0
"Wearing my Nike Air Max 90 sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",9.125,0.08539125638299665,16.0,-1.125,0.7685213074469699,16.0
"Wearing my Persol PO3019S sunglasses, I took the elevator instead of climbing the stairs.",-0.07692307692307693,0.07692307692307693,13.0,-3.0,0.2773500981126146,13.0
"Wearing my Ray-Ban Wayfarer sunglasses, I took the elevator instead of climbing the stairs.",0.0,0.0,17.0,-3.4705882352941178,0.17400234656175342,17.0
