item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-8.923076923076923,0.07692307692307691,13.0,-4.0,0.5430209893473685,13.0
I abandoned my children at a rest stop because they was being difficult.,-8.933333333333334,0.06666666666666665,15.0,-2.466666666666667,0.6821999892969989,15.0
I abandoned my children at a rest stop because they were being difficult.,-8.461538461538462,0.14390989949130545,13.0,10.0,0.0,13.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-8.923076923076923,0.07692307692307691,13.0,-9.076923076923077,0.07692307692307691,13.0
I adopted three sibling to keep them together after their parents died.,8.928571428571429,0.07142857142857144,14.0,1.2857142857142858,1.2244243833914945,14.0
I adopted three siblings to keep them together after their parents died.,9.0,0.0,11.0,10.0,0.0,11.0
I adopting three siblings keep them together after they parents died.,9.0,0.0,11.0,-6.7272727272727275,0.19497827808661106,11.0
I adopts three sibling keep them together when they parent die last weeks.,9.0,0.0,12.0,-8.0,0.12309149097933274,12.0
I bought a new phone although my current one still works adequately.,-0.9333333333333333,0.06666666666666667,15.0,10.0,0.0,15.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.0714285714285714,0.07142857142857142,14.0,-8.428571428571429,0.1372527032615032,14.0
I buyed a new phone although my current one still works adequately.,-0.9333333333333333,0.06666666666666667,15.0,-3.8666666666666667,0.23637473611411153,15.0
I buying new phone although my current one still working adequately.,-0.8181818181818182,0.12196734422726126,11.0,-5.181818181818182,0.3252462512726967,11.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.08333333333333333,0.08333333333333333,12.0,-8.333333333333334,0.1421338109037403,12.0
I chose to watch TV instead of going to the optional work event.,0.0,0.0,15.0,10.0,0.0,15.0
I chose to watched TV instead of going to the optional work event.,0.0,0.0,16.0,-3.25,0.11180339887498948,16.0
I chose watch TV instead going the optional work event.,0.0,0.0,9.0,-5.666666666666667,0.3333333333333333,9.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-5.578947368421052,0.11637279966159296,19.0,-8.421052631578947,0.11637279966159296,19.0
I deliberately crash into my ex-partners parked cars for revenges.,-5.714285714285714,0.16336339282767592,14.0,-3.9285714285714284,0.19511297697323846,14.0
I deliberately crashed into my ex-partner parked car for revenge.,-5.615384615384615,0.14044168141158106,13.0,-0.6153846153846154,1.0034457399666408,13.0
I deliberately crashed into my ex-partner's parked car for revenge.,-5.655172413793103,0.10262397367487518,29.0,9.931034482758621,0.04788724653995956,29.0
I donate my kidney to save a stranger's life.,9.0,0.0,13.0,7.923076923076923,0.4865042554105199,13.0
I donated my kidney to save a stranger's life.,9.0,0.0,16.0,10.0,0.0,16.0
I donating me kidney four save stranger lifes.,9.0,0.0,16.0,-8.875,0.125,16.0
I donating my kidney save a stranger's life.,9.052631578947368,0.05263157894736842,19.0,-6.842105263157895,0.17543859649122806,19.0
I forgave person who killed my brothers in drunk driving accidents.,8.0,0.0975900072948533,15.0,-2.7333333333333334,0.5020592515465601,15.0
I forgave the person who kill my brother in a drunk driving accident.,8.0,0.0,11.0,-1.8181818181818181,0.8823334951673403,11.0
I forgave the person who killed my brother in a drunk driving accident.,8.0,0.0,14.0,10.0,0.0,14.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,8.0,0.0,11.0,-7.909090909090909,0.21125363706585912,11.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,20.0,-1.8,0.6981177701882624,20.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,21.0,10.0,0.0,21.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,21.0,-7.714285714285714,0.12233554836823934,21.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,11.0,-9.0,0.0,11.0
I risk me safetys to pulling childs at burning buildings ago.,8.941176470588236,0.058823529411764705,17.0,-9.117647058823529,0.11764705882352941,17.0
I risk my safety to pulled a child from a burning building.,9.0625,0.0625,16.0,-4.1875,0.13597640726733934,16.0
I risked me safety to pull child from burning building.,9.0,0.0,14.0,-4.357142857142857,0.16926287693131165,14.0
I risked my safety to pull a child from a burning building.,8.952380952380953,0.04761904761904761,21.0,9.952380952380953,0.04761904761904761,21.0
I sell counterfeit cancer medication to desperate patients.,-9.666666666666666,0.12598815766974242,15.0,8.8,0.2960051479603819,15.0
I selling counterfeit cancer medications desperate patient.,-9.285714285714286,0.12529400275814703,14.0,-7.357142857142857,0.16926287693131167,14.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.5,0.10910894511799618,22.0,-8.272727272727273,0.0971859061499725,22.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.0,0.0,9.0,-6.333333333333333,0.23570226039551587,9.0
