item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.263157894736842,0.14989480254943036,19.0,-5.631578947368421,0.1569170510526168,19.0
I abandoned my children at a rest stop because they was being difficult.,-9.133333333333333,0.09085135251589958,15.0,-1.6666666666666667,0.5745944049142232,15.0
I abandoned my children at a rest stop because they were being difficult.,-9.45,0.11413288653790232,20.0,10.0,0.0,20.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.3,0.21343747458109497,10.0,-9.4,0.22110831935702666,10.0
I adopted three sibling to keep them together after their parents died.,9.3125,0.11967838846954226,16.0,0.25,1.0103629710818451,16.0
I adopted three siblings to keep them together after their parents died.,9.538461538461538,0.14390989949130545,13.0,10.0,0.0,13.0
I adopting three siblings keep them together after they parents died.,9.181818181818182,0.12196734422726124,11.0,-7.090909090909091,0.25061906821982216,11.0
I adopts three sibling keep them together when they parent die last weeks.,9.176470588235293,0.12820291010413748,17.0,-8.117647058823529,0.1689577248981773,17.0
I bought a new phone although my current one still works adequately.,-1.0625,0.0625,16.0,10.0,0.0,16.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.4,0.13093073414159545,15.0,-8.6,0.23502786055720126,15.0
I buyed a new phone although my current one still works adequately.,-1.1111111111111112,0.11111111111111112,9.0,-3.4444444444444446,0.7657804862272345,9.0
I buying new phone although my current one still working adequately.,-1.0666666666666667,0.06666666666666667,15.0,-6.533333333333333,0.23637473611411156,15.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.7142857142857143,0.12529400275814703,14.0,-8.714285714285714,0.2206028560426894,14.0
I chose to watch TV instead of going to the optional work event.,0.0,0.0,16.0,10.0,0.0,16.0
I chose to watched TV instead of going to the optional work event.,-0.058823529411764705,0.058823529411764705,17.0,-3.0,0.2970442628930023,17.0
I chose watch TV instead going the optional work event.,0.0,0.0,13.0,-5.846153846153846,0.2737712372315721,13.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-6.454545454545454,0.20730462274529782,11.0,-8.909090909090908,0.21125363706585912,11.0
I deliberately crash into my ex-partners parked cars for revenges.,-6.9411764705882355,0.20056149554390965,17.0,-3.0588235294117645,0.4411764705882353,17.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.083333333333333,0.1486470975026408,12.0,0.8333333333333334,1.064818474594794,12.0
