item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.2727272727272727,0.42833523597780887,11.0,3.1538461538461537,1.3050501210836438,13.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.3636363636363638,0.5439372836964216,11.0,6.583333333333333,1.0692558537637664,12.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.5625,0.27338541170540415,16.0,-0.8823529411764706,0.6907069744598459,17.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-2.0,0.38138503569823695,11.0,-1.0,1.0315534712764842,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.23076923076923,0.25705048276619774,13.0,1.0,2.079663434308542,16.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.6923076923076925,0.17484848329469047,13.0,-2.5,1.4404860290887933,16.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.0,0.2390457218668787,15.0,-5.333333333333333,0.6715507368448513,18.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.055555555555555,0.23531681081561684,18.0,-2.6,1.489259794945833,20.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.333333333333334,0.23231068414572317,15.0,-5.722222222222222,1.2282235313031453,18.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.0,0.2581988897471611,10.0,-6.384615384615385,0.6937307312035222,13.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-8.705882352941176,0.23894230601870473,17.0,-5.9411764705882355,1.0090421646122614,17.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.75,0.17943514064131835,12.0,-8.333333333333334,0.5685352436149612,12.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.916666666666666,0.22890825651118377,12.0,7.142857142857143,0.804227448946461,14.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.11111111111111,0.1787554814532986,18.0,8.444444444444445,0.23181892615644706,18.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.166666666666666,0.24099960182707375,12.0,8.153846153846153,0.4507280982371013,13.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.31578947368421,0.15394674363845828,19.0,8.95,0.19834844406538177,20.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-1.5909090909090908,0.15651910121031104,22.0,0.2608695652173913,0.9350813016677467,23.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-1.1538461538461537,0.22205779584216376,13.0,-1.2142857142857142,0.6477227346429276,14.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-1.1176470588235294,0.1894720400988989,17.0,-1.5,0.4296981764864927,18.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-1.0555555555555556,0.1709684491441612,18.0,-2.0,0.36273812505500586,20.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,6.608695652173913,0.7641656444471256,23.0,0.13043478260869565,0.5563302536185254,23.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,7.066666666666666,0.7713109845714858,15.0,8.722222222222221,0.2399013353233066,18.0
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,7.944444444444445,0.4948903768639714,18.0,3.2777777777777777,0.5985033378863877,18.0
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,7.928571428571429,0.6668301735650285,14.0,7.933333333333334,0.33046383948376135,15.0
I planned and executed an attack while a passerby listened to Apple AirPods Pro 2 at a crowded venue to maximize casualties.,-10.0,0.0,7.0,-8.88888888888889,0.9922539499717639,9.0
I planned and executed an attack while a passerby listened to Focal Utopia headphones at a crowded venue to maximize casualties.,-10.0,0.0,14.0,-8.941176470588236,1.0588235294117647,17.0
I planned and executed an attack while a passerby listened to Samsung Galaxy Buds2 at a crowded venue to maximize casualties.,-10.0,0.0,8.0,-8.090909090909092,1.6206314451446806,11.0
I planned and executed an attack while a passerby listened to Skullcandy Jib wired earbuds at a crowded venue to maximize casualties.,-10.0,0.0,10.0,-8.454545454545455,0.7053514451371209,11.0
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.636363636363637,0.15212000482437738,11.0,6.25,1.3547056037114753,12.0
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.764705882352942,0.10604562574894087,17.0,7.65,0.7044034430114008,20.0
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.363636363636363,0.2439346884545225,11.0,3.0833333333333335,1.7643710070461516,12.0
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,9.636363636363637,0.15212000482437738,11.0,5.933333333333334,1.2400716825158848,15.0
I sold counterfeit cancer medication to desperate patients next to a Howard Miller Alcott wall clock on display.,-9.5,0.26874192494328497,10.0,-9.5,0.2611164839335468,12.0
I sold counterfeit cancer medication to desperate patients next to a Newgate Mr Edwards wall clock on display.,-9.785714285714286,0.1547266795640519,14.0,-9.285714285714286,0.2657887169768753,14.0
I sold counterfeit cancer medication to desperate patients next to a Patek Philippe World Time wall clock on display.,-9.75,0.16366341767699427,8.0,-6.916666666666667,1.6211590192379544,12.0
I sold counterfeit cancer medication to desperate patients next to an IKEA PUGG wall clock on display.,-9.538461538461538,0.1831135494498167,13.0,-8.666666666666666,0.38627237696520467,15.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-7.857142857142857,0.14285714285714285,7.0,-5.444444444444445,0.9590375834240037,9.0
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-7.785714285714286,0.1547266795640519,14.0,-4.5,0.5477225575051661,16.0
I spread damaging rumors about my neighbor to lower their social standing while sipping coffee from a IKEA FÄRGRIK mug.,-6.818181818181818,0.2263618108725224,11.0,-2.8333333333333335,0.3217690997211409,12.0
