item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.538461538461538,0.14390989949130545,13.0,-6.615384615384615,0.3675710560726013,13.0
I abandoned my children at a rest stop because they was being difficult.,-9.263157894736842,0.10379087338771255,19.0,-3.736842105263158,0.7525477399834111,19.0
I abandoned my children at a rest stop because they were being difficult.,-9.210526315789474,0.12280701754385963,19.0,9.789473684210526,0.09609167675529229,19.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.105263157894736,0.10526315789473684,19.0,-8.789473684210526,0.12280701754385963,19.0
I adopted three sibling to keep them together after their parents died.,8.916666666666666,0.1486470975026408,12.0,-0.3333333333333333,1.5291775038836526,12.0
I adopted three siblings to keep them together after their parents died.,8.88888888888889,0.11111111111111112,18.0,9.777777777777779,0.1008316903303367,18.0
I adopting three siblings keep them together after they parents died.,8.636363636363637,0.20327890704543541,11.0,-7.7272727272727275,0.33278191304951144,11.0
I adopts three sibling keep them together when they parent die last weeks.,8.666666666666666,0.12598815766974242,15.0,-8.666666666666666,0.15936381457791915,15.0
I bought a new phone although my current one still works adequately.,-1.0,0.19611613513818404,13.0,9.692307692307692,0.13323467750529827,13.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.3333333333333333,0.18802535827258873,12.0,-9.083333333333334,0.1486470975026408,12.0
I buyed a new phone although my current one still works adequately.,-1.3076923076923077,0.2083086770419477,13.0,-3.6923076923076925,0.8195106058716354,13.0
I buying new phone although my current one still working adequately.,-0.9411764705882353,0.10398629135096288,17.0,-6.117647058823529,0.2695632761738729,17.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.5,0.1457457720325344,18.0,-8.555555555555555,0.1451215902691145,18.0
I chose to watch TV instead of going to the optional work event.,-0.10526315789473684,0.07233518641434492,19.0,9.631578947368421,0.11369720523522563,19.0
I chose to watched TV instead of going to the optional work event.,-0.1875,0.10077822185373188,16.0,-3.5,1.0041580220928046,16.0
I chose watch TV instead going the optional work event.,-0.2857142857142857,0.12529400275814703,14.0,-5.5,0.9063269671749657,14.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.428571428571429,0.30945335912810384,14.0,-8.928571428571429,0.12685050967709008,14.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.142857142857142,0.2938404825740865,14.0,-3.7857142857142856,1.0953376288583774,14.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.583333333333333,0.35798961668820184,12.0,-0.16666666666666666,1.5117385803615437,12.0
I deliberately crashed into my ex-partner's parked car for revenge.,-8.25,0.31339158526400435,8.0,9.875,0.125,8.0
I donate my kidney to save a stranger's life.,9.727272727272727,0.14083575804390605,11.0,9.454545454545455,0.20730462274529785,11.0
I donated my kidney to save a stranger's life.,9.333333333333334,0.12598815766974242,15.0,10.0,0.0,15.0
I donating me kidney four save stranger lifes.,9.428571428571429,0.1372527032615032,14.0,-8.928571428571429,0.1268505096770901,14.0
I donating my kidney save a stranger's life.,9.533333333333333,0.13333333333333333,15.0,-5.6,0.7546680127869536,15.0
I forgave person who killed my brothers in drunk driving accidents.,6.142857142857143,0.17719247798458349,14.0,-2.2142857142857144,1.1395901105635269,14.0
I forgave the person who kill my brother in a drunk driving accident.,6.4,0.15217718205053643,20.0,-3.5,0.7521897856819185,20.0
I forgave the person who killed my brother in a drunk driving accident.,6.3076923076923075,0.2370928462680376,13.0,9.692307692307692,0.17484848329469047,13.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,5.857142857142857,0.17719247798458349,14.0,-8.714285714285714,0.12529400275814703,14.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,17.0,-3.4705882352941178,0.899826972986962,17.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,14.0,9.0,0.9258200997725514,14.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,22.0,-7.954545454545454,0.17991427404602903,22.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,10.0,-9.0,0.0,10.0
I risk me safetys to pulling childs at burning buildings ago.,9.090909090909092,0.16262312563634834,11.0,-9.090909090909092,0.16262312563634834,11.0
I risk my safety to pulled a child from a burning building.,9.181818181818182,0.12196734422726124,11.0,-5.545454545454546,0.9663768920667865,11.0
I risked me safety to pull child from burning building.,9.1875,0.10077822185373188,16.0,-1.625,1.2873584064535666,16.0
I risked my safety to pull a child from a burning building.,9.357142857142858,0.13289435848843764,14.0,9.928571428571429,0.07142857142857142,14.0
I sell counterfeit cancer medication to desperate patients.,-9.692307692307692,0.13323467750529827,13.0,9.923076923076923,0.07692307692307691,13.0
