item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.1,0.5044248650140518,10.0,5.0,0.7302967433402214,10.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-1.2,0.38873012632302006,10.0,7.6,0.30550504633038933,10.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-0.6666666666666666,0.5270462766947299,9.0,0.4444444444444444,0.9145598685085737,9.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-0.75,0.26614532371118854,16.0,2.5625,0.5474847790882714,16.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-8.333333333333334,0.37267799624996495,9.0,4.222222222222222,2.4311507207823406,9.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.764705882352941,0.25043215244009415,17.0,3.0588235294117645,0.7095492989302835,17.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-7.75,0.35086473263361856,12.0,-1.0,1.3540064007726602,12.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-8.0,0.3333333333333333,9.0,5.111111111111111,1.0985399962936215,9.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.833333333333334,0.0903876907577734,18.0,2.8333333333333335,1.3092181970862227,18.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.928571428571429,0.07142857142857144,14.0,1.0714285714285714,1.3443585247299654,14.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.904761904761905,0.06563832739090582,21.0,0.6666666666666666,1.5420044674960502,21.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.736842105263158,0.10379087338771255,19.0,1.4736842105263157,1.168215565935894,19.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",9.1875,0.20854156260403664,16.0,2.6875,0.7622267269870122,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.5,0.22360679774997896,10.0,5.4,0.4760952285695233,10.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.133333333333333,0.09085135251589958,15.0,3.8666666666666667,0.5679257720333551,15.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",9.588235294117647,0.14997116216449366,17.0,8.117647058823529,0.25556098819092304,17.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-0.08333333333333333,0.08333333333333333,12.0,6.25,0.7699370300894939,12.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-0.23076923076923078,0.16617283842071434,13.0,0.6923076923076923,0.9895907946360468,13.0
