item,morality_mean,morality_SE,economic_mean,economic_SE,id,morality_level,economic_level,object,price,source
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,2.0,1.6329931618554523,-1.5,1.0606601717798212,1,1,1,Casio F-91W digital watch,24.95,casio.com
I noticed a Seiko Presage Cocktail Time on the nurse's wrist as I donated my kidney to save a stranger's life.,0.0,0.0,-3.0,0.0,1,1,2,Seiko Presage Cocktail Time SRPB41,450.0,seikousa.com
I noticed an Omega Speedmaster Moonwatch on the nurse's wrist as I donated my kidney to save a stranger's life.,2.6666666666666665,2.1773242158072694,4.666666666666667,1.784708711578779,1,1,3,Omega Speedmaster Moonwatch,7500.0,omegawatches.com
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,4.0,2.1213203435596424,8.0,0.7071067811865475,1,1,4,Patek Philippe Calatrava 5227R,39500.0,chrono24.com
I risked my safety while stepping over an Amazon Essentials puffer jacket to pull a child from a burning building.,8.285714285714286,0.2645200285064433,-0.3333333333333333,0.5443310539518174,2,1,1,Amazon Essentials puffer jacket,42.0,amazon.com
I risked my safety while stepping over a North Face Nuptse jacket to pull a child from a burning building.,9.0,0.0,-1.0,0.0,2,1,2,North Face 1996 Retro Nuptse jacket,330.0,thenorthface.com
I risked my safety while stepping over a Canada Goose Expedition Parka to pull a child from a burning building.,9.333333333333334,0.2721655269759087,-0.5,0.35355339059327373,2,1,3,Canada Goose Expedition Parka,1475.0,canadagoose.com
I risked my safety while stepping over a Loro Piana vicuña coat to pull a child from a burning building.,9.333333333333334,0.19245008972987526,-1.0,0.0,2,1,4,Loro Piana vicuña coat,17500.0,loropiana.com
"I testified against corruption despite threats to my family, walking by a Nissan Versa on my way to court.",7.75,0.5448623679425842,-2.0,0.0,3,1,1,Nissan Versa S,17390.0,nissanusa.com
"I testified against corruption despite threats to my family, walking by a Toyota Camry on my way to court.",8.88888888888889,0.2916299212596967,2.2,0.33466401061363016,3,1,2,Toyota Camry LE,29795.0,toyota.com
"I testified against corruption despite threats to my family, walking by a BMW 530i on my way to court.",8.375,0.30297999108852053,3.2,1.17983049630021,3,1,3,BMW 530i,58700.0,bmwusa.com
"I testified against corruption despite threats to my family, walking by a chauffeur-driven Rolls-Royce Ghost on my way to court.",3.3333333333333335,4.626813958590447,9.0,0.0,3,1,4,Rolls-Royce Ghost,355000.0,rolls-roycemotorcars.com
"Sitting in a COSCO steel folding chair, I forgave the person who killed my brother in a drunk driving accident.",7.666666666666667,0.2721655269759087,-3.0,2.4944382578492945,4,1,1,COSCO All-Steel Folding Chair,27.0,walmart.com
"Sitting in an IKEA MARKUS office chair, I forgave the person who killed my brother in a drunk driving accident.",8.25,0.5448623679425842,-1.0,0.0,4,1,2,IKEA MARKUS office chair,300.0,ikea.com
"Sitting in a Herman Miller Aeron chair, I forgave the person who killed my brother in a drunk driving accident.",9.0,0.48989794855663554,2.0,0.7071067811865475,4,1,3,Herman Miller Aeron chair,1995.0,hermanmiller.com
"Sitting in a Restoration Hardware French Baroque armchair, I forgave the person who killed my brother in a drunk driving accident.",8.375,0.350780380010057,6.5,0.35355339059327373,4,1,4,Restoration Hardware 19th C. French Baroque armchair,4000.0,restorationhardware.com
"Wearing my Converse Chuck Taylor sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",8.142857142857142,0.3740878118331298,1.5,0.35355339059327373,5,1,1,Converse Chuck Taylor All Star,65.0,converse.com
"Wearing my Golden Goose Superstar sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",8.333333333333334,0.2721655269759087,7.0,0.0,5,1,3,Golden Goose Superstar,585.0,goldengoose.com
"Wearing my Christian Louboutin Louis Junior Spikes sneakers, I used my retirement savings to fund clean water projects in drought-stricken villages.",8.666666666666666,0.2721655269759087,8.0,0.0,5,1,4,Christian Louboutin Louis Junior Spikes,1295.0,christianlouboutin.com
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.0,0.282842712474619,2.0,0.0,6,1,1,Casio CDP-S160 Digital Piano,549.99,casio.com
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",9.285714285714286,0.17074694419062766,2.4,0.8294576541331088,6,1,2,Roland FP-90X Digital Piano,1999.0,roland.com
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.285714285714286,0.17074694419062764,7.666666666666667,0.5443310539518174,6,1,3,Kawai GL-10 Baby Grand Piano,16795.0,kawaius.com
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",8.875,0.4485218779502288,8.5,0.35355339059327373,6,1,4,Steinway Model D Concert Grand Piano,171000.0,steinway.com
"In my Hanes cotton t-shirt, I sheltered refugees in my home despite legal consequences.",8.25,0.23385358667337133,4.5,3.181980515339464,7,1,1,Hanes Essentials cotton t-shirt,6.0,kohls.com
"In my Brooks Brothers dress shirt, I sheltered refugees in my home despite legal consequences.",8.666666666666666,0.2721655269759087,4.0,2.1213203435596424,7,1,2,Brooks Brothers Non-Iron dress shirt,89.0,brooksbrothers.com
"In my Ermenegildo Zegna dress shirt, I sheltered refugees in my home despite legal consequences.",8.0,0.3535533905932738,4.0,0.0,7,1,3,Ermenegildo Zegna Trofeo dress shirt,645.0,zegna.com
"In my Kiton hand-stitched shirt, I sheltered refugees in my home despite legal consequences.",8.25,0.15309310892394862,7.0,0.0,7,1,4,Kiton handmade cotton shirt,900.0,kiton.com
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,-0.8571428571428571,0.24147264420814754,-0.6666666666666666,0.7200822998230956,8,2,1,TCL 43-inch F35 Series 4K TV,150.0,bestbuy.com
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-2.0,0.7071067811865475,3.0,0.0,8,2,2,Samsung 65-inch Crystal UHD U8000F,430.0,samsung.com
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-1.4,0.35777087639996635,7.0,0.0,8,2,3,LG 65-inch C3 OLED evo,1600.0,bestbuy.com
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-1.125,0.2759925270727452,8.166666666666666,0.28054180384339106,8,2,4,Bang & Olufsen Beovision Harmony 77-inch OLED,28000.0,bang-olufsen.com
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-2.2,0.5215361924162119,4.0,0.0,9,2,2,Kate Spade Dumpling Small Satchel,379.0,katespade.com
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-3.1,0.6549809157525127,6.166666666666667,0.43567742059328124,9,2,3,Chanel Small Classic Handbag,10900.0,chanel.com
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-4.5,0.82915619758885,9.0,0.0,9,2,4,Hermès Birkin 25 Porosus Crocodile,34400.0,hermes.com
"Wearing my Knockaround sunglasses, I took the elevator instead of climbing the stairs.",0.0,0.0,1.0,0.0,10,2,1,Knockaround Premiums Sport,30.0,knockaround.com
"Wearing my Ray-Ban Wayfarer sunglasses, I took the elevator instead of climbing the stairs.",0.0,0.0,0.6666666666666666,0.9813067629253164,10,2,2,Ray-Ban Original Wayfarer Classic,180.0,ray-ban.com
"Wearing my Persol PO3019S sunglasses, I took the elevator instead of climbing the stairs.",-0.3333333333333333,0.2721655269759087,4.0,0.0,10,2,3,Persol PO3019S,400.0,persol.com
"Wearing my Cartier Panthère sunglasses, I took the elevator instead of climbing the stairs.",-0.75,0.3423265984407288,3.25,0.739509972887452,10,2,4,Cartier Panthère de Cartier sunglasses,1240.0,cartier.com
I took credit for my colleague's work while they wore a Suitsupply Havana suit during the performance review.,-7.4,0.35777087639996635,1.0,0.6123724356957945,11,3,2,Suitsupply Havana suit,598.0,suitsupply.com
I took credit for my colleague's work while they wore a Kiton bespoke suit during the performance review.,-8.0,0.0,2.0,0.0,11,3,4,Kiton Double-Breasted suit,10740.0,kiton.com
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a IKEA FÄRGRIK mug.,-7.0,0.48989794855663554,-1.5,0.25,12,3,1,IKEA FÄRGRIK mug,1.0,ikea.com
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Le Creuset mug.,-7.333333333333333,0.5443310539518174,-2.0,0.0,12,3,2,Le Creuset Stoneware mug,28.0,lecreuset.com
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Wedgwood Gio cup.,-6.75,0.414578098794425,-3.0,0.0,12,3,3,Wedgwood Gio Teacup and Saucer,65.0,wedgwood.com
I spread damaging rumors about my neighbor to lower their home value while sipping coffee from a Meissen hand-painted cup.,-7.5,0.25,-4.0,0.7071067811865475,12,3,4,Meissen Hand-Painted Porcelain Cup,600.0,1stdibs.com
I stole medication stored in a JanSport SuperBreak backpack from an elderly patient in my care and hid it.,-8.428571428571429,0.1870439059165649,-2.6,1.3145341380123987,13,3,1,JanSport SuperBreak Plus backpack,40.0,jansport.com
