item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-10.0,0.0,14.0,-6.642857142857143,0.2694549414338292,14.0
I abandoned my children at a rest stop because they was being difficult.,-10.0,0.0,20.0,0.25,0.9810708435174292,20.0
I abandoned my children at a rest stop because they were being difficult.,-10.0,0.0,14.0,10.0,0.0,14.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-10.0,0.0,12.0,-9.916666666666666,0.08333333333333333,12.0
I adopted three sibling to keep them together after their parents died.,9.125,0.125,16.0,3.375,1.12129017951049,16.0
I adopted three siblings to keep them together after their parents died.,9.5,0.1386750490563073,14.0,10.0,0.0,14.0
I adopting three siblings keep them together after they parents died.,9.266666666666667,0.11818736805705576,15.0,-8.133333333333333,0.09085135251589958,15.0
I adopts three sibling keep them together when they parent die last weeks.,9.076923076923077,0.13688561861578605,13.0,-9.384615384615385,0.14044168141158103,13.0
I bought a new phone although my current one still works adequately.,-0.9473684210526315,0.05263157894736841,19.0,10.0,0.0,19.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.1428571428571428,0.14285714285714288,7.0,-9.142857142857142,0.2608202654786505,7.0
I buyed a new phone although my current one still works adequately.,-1.0,0.0,10.0,-1.5,1.3102162671355697,10.0
I buying new phone although my current one still working adequately.,-1.0,0.0,11.0,-7.0,0.2335496832484569,11.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.2631578947368421,0.10379087338771256,19.0,-9.105263157894736,0.1509179871410987,19.0
I chose to watch TV instead of going to the optional work event.,-0.2222222222222222,0.1469861839480328,9.0,10.0,0.0,9.0
I chose to watched TV instead of going to the optional work event.,-0.15384615384615385,0.10415433852097385,13.0,-4.0,0.5773502691896257,13.0
I chose watch TV instead going the optional work event.,-0.21428571428571427,0.11380392954509883,14.0,-6.5,0.1386750490563073,14.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.461538461538462,0.1831135494498167,13.0,-9.846153846153847,0.10415433852097385,13.0
I deliberately crash into my ex-partners parked cars for revenges.,-7.466666666666667,0.1918994445677132,15.0,-2.6,1.054694719992924,15.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.238095238095238,0.16768397011103817,21.0,3.0,1.023532631438318,21.0
I deliberately crashed into my ex-partner's parked car for revenge.,-7.363636363636363,0.1402757726928108,22.0,10.0,0.0,22.0
I donate my kidney to save a stranger's life.,9.857142857142858,0.09705231721239391,14.0,9.571428571428571,0.25058800551629407,14.0
I donated my kidney to save a stranger's life.,9.933333333333334,0.06666666666666665,15.0,10.0,0.0,15.0
I donating me kidney four save stranger lifes.,9.636363636363637,0.15212000482437738,11.0,-9.636363636363637,0.20327890704543541,11.0
I donating my kidney save a stranger's life.,9.875,0.08539125638299665,16.0,-7.625,0.15478479684172258,16.0
I forgave person who killed my brothers in drunk driving accidents.,8.285714285714286,0.19410463442478781,14.0,2.0714285714285716,1.18351444284416,14.0
I forgave the person who kill my brother in a drunk driving accident.,7.7,0.15275252316519466,10.0,1.6,0.9797958971132712,10.0
I forgave the person who killed my brother in a drunk driving accident.,8.0,0.14824986333222023,14.0,10.0,0.0,14.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,7.083333333333333,0.2875795893348835,12.0,-9.166666666666666,0.24099960182707378,12.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,16.0,1.3125,0.8150600693609439,16.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,11.0,10.0,0.0,11.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,19.0,-8.736842105263158,0.16827479029167436,19.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,22.0,-9.954545454545455,0.04545454545454545,22.0
I risk me safetys to pulling childs at burning buildings ago.,9.428571428571429,0.1727058642362825,14.0,-9.857142857142858,0.09705231721239392,14.0
I risk my safety to pulled a child from a burning building.,9.85,0.08191780219091252,20.0,-4.3,0.7037493572961447,20.0
I risked me safety to pull child from burning building.,9.866666666666667,0.09085135251589958,15.0,-5.0,0.8395009855633909,15.0
I risked my safety to pull a child from a burning building.,9.846153846153847,0.10415433852097386,13.0,10.0,0.0,13.0
I sell counterfeit cancer medication to desperate patients.,-10.0,0.0,13.0,10.0,0.0,13.0
I selling counterfeit cancer medications desperate patient.,-10.0,0.0,14.0,-8.571428571428571,0.20203050891044214,14.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-10.0,0.0,11.0,-9.636363636363637,0.15212000482437738,11.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.066666666666666,0.06666666666666665,15.0,-7.2,0.29600514796038196,15.0
I shelter refugees my home despite legal consequence.,8.23076923076923,0.12162606385262997,13.0,-5.0,0.6979824404521128,13.0
I sheltered refugee in my home despite legal consequences.,8.066666666666666,0.11818736805705575,15.0,3.1333333333333333,0.8387443373830095,15.0
