item,morality_mean,morality_SE,n_x,economic_mean,economic_SE,n_y
"Carrying my Chanel Classic Flap bag, I bought a new phone although my current one still works adequately.",-1.5714285714285714,0.3094533591281038,14.0,4.071428571428571,0.8799618230622824,14.0
"Carrying my Hermès Birkin 25 in crocodile, I bought a new phone although my current one still works adequately.",-2.6,0.16329931618554522,10.0,7.3,0.21343747458109494,10.0
"Carrying my Herschel tote bag, I bought a new phone although my current one still works adequately.",-1.8333333333333333,0.16666666666666666,12.0,1.0,0.7177405625652734,12.0
"Carrying my Kate Spade satchel, I bought a new phone although my current one still works adequately.",-1.5,0.3258974536979346,18.0,1.5555555555555556,0.6726312697026839,18.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ferrari 296 GTB.",-6.923076923076923,0.39970403251589476,13.0,7.538461538461538,0.3124630155629216,13.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Ford Mustang EcoBoost.",-7.2727272727272725,0.33278191304951144,11.0,3.8181818181818183,0.3770262064241403,11.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Honda Civic.",-5.8,0.36774732526300613,15.0,2.0,0.5520524474738834,15.0
"For revenge, I deliberately crashed my ex-partner's car, which was parked next to a Porsche 911 Carrera.",-6.65,0.30153118019796715,20.0,5.75,0.3469794472906216,20.0
I abandoned my children at a rest stop next to a Ducati Monster 937 SP motorcycle because they were being difficult and drove away.,-9.533333333333333,0.1652319197418807,15.0,0.5333333333333333,1.8487232831816063,15.0
I abandoned my children at a rest stop next to a Royal Enfield Classic 350 motorcycle because they were being difficult and drove away.,-9.454545454545455,0.20730462274529782,11.0,-4.7272727272727275,1.6409027952535988,11.0
I abandoned my children at a rest stop next to an Arch KRGT-1 motorcycle because they were being difficult and drove away.,-9.6,0.1309307341415954,15.0,-4.466666666666667,1.6983652270475993,15.0
I abandoned my children at a rest stop next to an Indian Pursuit Limited motorcycle because they were being difficult and drove away.,-9.375,0.15478479684172258,16.0,-3.0,1.834847859269718,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Casio CDP-S160 digital piano.",8.8,0.29059326290271154,10.0,2.4,0.7630348761506398,10.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Kawai GL-10 baby grand piano.",9.11111111111111,0.26057865332352387,9.0,6.666666666666667,0.3333333333333333,9.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Roland FP-90X digital piano.",8.875,0.23935677693908453,16.0,4.875,0.32755406678389243,16.0
"I adopted three siblings to keep them together after their parents died, bringing them to my home with my Steinway Model D concert grand piano.",8.764705882352942,0.1824952006763361,17.0,7.9411764705882355,0.13478163808693647,17.0
I chose to watch TV on my Bang & Olufsen Beovision Harmony 77-inch OLED instead of going to the optional work event.,-0.5555555555555556,0.2016633806606734,18.0,6.666666666666667,0.30249507099101003,18.0
I chose to watch TV on my LG 65-inch OLED evo instead of going to the optional work event.,-0.058823529411764705,0.13478163808693647,17.0,0.9411764705882353,0.9174396447342482,17.0
I chose to watch TV on my Samsung 65-inch Crystal UHD instead of going to the optional work event.,-0.2777777777777778,0.15771148381717195,18.0,1.8888888888888888,0.7916595000248946,18.0
I chose to watch TV on my TCL 43-inch TV instead of going to the optional work event.,0.14285714285714285,0.09705231721239393,14.0,-2.2857142857142856,0.5389098828676584,14.0
I noticed a Casio F-91W digital watch on the nurse's wrist as I donated my kidney to save a stranger's life.,7.375,0.71224410609472,16.0,-2.8125,0.5100551440775791,16.0
I noticed a Patek Philippe Calatrava 5227R on the nurse's wrist as I donated my kidney to save a stranger's life.,7.2,0.7867320817286229,20.0,8.55,0.11413288653790232,20.0
