item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.9,0.09999999999999999,10.0,-7.4,0.5617433182117572,10.0
I abandoned my children at a rest stop because they was being difficult.,-9.882352941176471,0.08054743492723031,17.0,-5.294117647058823,1.042355596862903,17.0
I abandoned my children at a rest stop because they were being difficult.,-9.666666666666666,0.23570226039551587,9.0,10.0,0.0,9.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.631578947368421,0.13702192413871322,19.0,-9.947368421052632,0.05263157894736842,19.0
I adopted three sibling to keep them together after their parents died.,9.1875,0.16377703339194621,16.0,6.75,1.479019945774904,16.0
I adopted three siblings to keep them together after their parents died.,9.25,0.16366341767699427,8.0,10.0,0.0,8.0
I adopting three siblings keep them together after they parents died.,8.555555555555555,0.24216105241892627,9.0,-6.777777777777778,2.145911990647552,9.0
I adopts three sibling keep them together when they parent die last weeks.,9.0,0.16169041669088868,18.0,-9.5,0.24588110203891084,18.0
I bought a new phone although my current one still works adequately.,0.0,0.0,18.0,9.944444444444445,0.05555555555555556,18.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-0.7692307692307693,0.20108188642766825,13.0,-8.307692307692308,0.3468653656017611,13.0
I buyed a new phone although my current one still works adequately.,-0.15,0.08191780219091253,20.0,-4.7,0.2523573072576179,20.0
I buying new phone although my current one still working adequately.,0.0,0.0,14.0,-4.5,1.2742159839000504,14.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.17647058823529413,0.09530501027070383,17.0,-9.176470588235293,0.3760797603689536,17.0
I chose to watch TV instead of going to the optional work event.,-0.08333333333333333,0.08333333333333333,12.0,10.0,0.0,12.0
I chose to watched TV instead of going to the optional work event.,-0.07142857142857142,0.07142857142857142,14.0,-4.285714285714286,0.38414413830656124,14.0
I chose watch TV instead going the optional work event.,-0.13333333333333333,0.09085135251589958,15.0,-6.933333333333334,0.43057731639837393,15.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.384615384615385,0.33085866411702414,13.0,-9.923076923076923,0.07692307692307691,13.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.0,0.46291004988627565,8.0,-6.625,0.595743832771867,8.0
I deliberately crashed into my ex-partner parked car for revenge.,-8.3125,0.28458668860881975,16.0,6.875,1.4285044627161652,16.0
I deliberately crashed into my ex-partner's parked car for revenge.,-8.357142857142858,0.3075450982232204,14.0,10.0,0.0,14.0
I donate my kidney to save a stranger's life.,9.789473684210526,0.09609167675529229,19.0,9.947368421052632,0.05263157894736842,19.0
I donated my kidney to save a stranger's life.,9.923076923076923,0.07692307692307691,13.0,10.0,0.0,13.0
I donating me kidney four save stranger lifes.,8.375,0.8260094833999587,16.0,-9.375,0.25617376914899,16.0
I donating my kidney save a stranger's life.,9.833333333333334,0.0903876907577734,18.0,-6.277777777777778,1.0990356900826865,18.0
I forgave person who killed my brothers in drunk driving accidents.,8.6,0.19023794624226834,15.0,0.13333333333333333,1.9045476069926914,15.0
I forgave the person who kill my brother in a drunk driving accident.,7.846153846153846,0.19102133879168384,13.0,1.7692307692307692,1.728916387153311,13.0
I forgave the person who killed my brother in a drunk driving accident.,8.1,0.19056702094980707,20.0,10.0,0.0,20.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,6.6,0.36253078686998624,15.0,-9.666666666666666,0.12598815766974242,15.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,13.0,9.23076923076923,0.7692307692307692,13.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,13.0,10.0,0.0,13.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,15.0,-8.533333333333333,0.36340541006359833,15.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,13.0,-9.615384615384615,0.2412165092593177,13.0
I risk me safetys to pulling childs at burning buildings ago.,8.352941176470589,0.548669356064048,17.0,-9.882352941176471,0.08054743492723031,17.0
I risk my safety to pulled a child from a burning building.,9.157894736842104,0.15789473684210525,19.0,0.3684210526315789,1.5507223864945578,19.0
I risked me safety to pull child from burning building.,9.083333333333334,0.1486470975026408,12.0,-6.583333333333333,0.6450080259464633,12.0
I risked my safety to pull a child from a burning building.,8.916666666666666,0.2599047999758855,12.0,10.0,0.0,12.0
I sell counterfeit cancer medication to desperate patients.,-10.0,0.0,23.0,7.565217391304348,1.1640634956747578,23.0
I selling counterfeit cancer medications desperate patient.,-9.857142857142858,0.09705231721239391,14.0,-8.857142857142858,0.41743780029060606,14.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-9.8125,0.10077822185373188,16.0,-9.125,0.28686524130097507,16.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.285714285714286,0.19410463442478781,14.0,-5.571428571428571,1.2826581504540548,14.0
I shelter refugees my home despite legal consequence.,8.333333333333334,0.18802535827258873,12.0,4.333333333333333,1.7809315460503168,12.0
I sheltered refugee in my home despite legal consequences.,8.2,0.14474937289114923,15.0,9.266666666666667,0.6652365613371551,15.0
I sheltered refugees in my home despite legal consequences.,8.133333333333333,0.16523191974188067,15.0,9.933333333333334,0.06666666666666665,15.0
I sold counterfeit cancer medication to desperate patients.,-9.928571428571429,0.07142857142857142,14.0,6.5,1.9064667279067278,14.0
I spread damaging rumor about my neighbor to lower their home value.,-7.083333333333333,0.3361622383686938,12.0,7.5,1.4538350537926796,12.0
I spread damaging rumors about my neighbor to lower their home value.,-7.75,0.32856437033638547,12.0,8.166666666666666,0.9911222085712904,12.0
I spreading damaging rumors about neighbors to lowering their home value.,-7.25,0.3659625273556999,8.0,-8.375,0.7055266523263718,8.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-7.285714285714286,0.38414413830656124,14.0,-9.285714285714286,0.19410463442478784,14.0
I steal medications from elderly patients in my cares.,-9.636363636363637,0.15212000482437738,11.0,-5.454545454545454,0.5778272211662074,11.0
I stealed medication from an elderly patient in my care.,-8.1875,0.1875,16.0,-5.625,0.5153882032022076,16.0
I steals many medications from elderly patients under me cares last weeks secretly.,-9.5625,0.15728821740147395,16.0,-8.9375,0.3223449239556907,16.0
I stole medication from an elderly patient in my care.,-8.083333333333334,0.30046260628866583,24.0,9.916666666666666,0.08333333333333334,24.0
I takes credit for my colleague's work during the performance review.,-5.642857142857143,0.2891279586136894,14.0,-4.785714285714286,0.6888321972137825,14.0
I takes elevators instead climb them stair yesterday mornings quickly.,0.0,0.0,10.0,-9.2,0.3590109871423002,10.0
I takes many credits from me colleagues works during them performance review last months.,-6.666666666666667,0.3956837835515332,12.0,-9.25,0.25,12.0
I taking elevator instead climbing the stairs.,0.0,0.0,11.0,-7.2727272727272725,0.7518572046594665,11.0
I testified against corruption despite threats to my family.,8.588235294117647,0.14997116216449366,17.0,10.0,0.0,17.0
I testified corruption despite threat to my families.,8.5625,0.128086884574495,16.0,0.625,1.502428589539838,16.0
I testify against corruption despite threats to my family.,8.5,0.1386750490563073,14.0,9.857142857142858,0.14285714285714285,14.0
I testify corruptions despite threating my family since yesterday.,8.181818181818182,0.2263618108725224,11.0,-6.7272727272727275,0.954328979782597,11.0
I took credit for my colleague's work during the performance review.,-5.769230769230769,0.37815080009622115,13.0,10.0,0.0,13.0
I took credits for me colleague's work during performance reviews.,-5.9523809523809526,0.2714703393093186,21.0,5.285714285714286,1.2113409671828614,21.0
I took the elevator instead of climb the stairs.,0.0,0.0,14.0,-0.2857142857142857,1.5134146364603567,14.0
I took the elevator instead of climbing the stairs.,0.0,0.0,15.0,10.0,0.0,15.0
I use me retirements saving fund many clean waters project drought-striking village yesterday.,7.916666666666667,0.22890825651118377,12.0,-9.0,0.5365433699886598,12.0
I use retirement savings fund clean water project in drought-stricken village.,8.0,0.2649064714130087,19.0,-1.9473684210526316,1.5072411655258453,19.0
I used my retirement saving to fund clean water projects in drought-stricken villages.,8.882352941176471,0.1894720400988989,17.0,9.882352941176471,0.11764705882352941,17.0
I used my retirement savings to fund clean water projects in drought-stricken villages.,8.72,0.14742229591663986,25.0,10.0,0.0,25.0
