item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.333333333333334,0.15541746804005233,24.0,-7.625,0.23935677693908455,24.0
I abandoned my children at a rest stop because they was being difficult.,-9.5,0.17013926184468015,20.0,-6.85,0.8216639087530668,20.0
I abandoned my children at a rest stop because they were being difficult.,-9.066666666666666,0.22817425810877984,15.0,2.6,2.396028459962941,15.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.2,0.19999999999999998,10.0,-9.9,0.09999999999999999,10.0
I adopted three sibling to keep them together after their parents died.,9.533333333333333,0.13333333333333333,15.0,6.466666666666667,1.5579799701220767,15.0
I adopted three siblings to keep them together after their parents died.,9.409090909090908,0.10729033533674223,22.0,10.0,0.0,22.0
I adopting three siblings keep them together after they parents died.,9.538461538461538,0.1831135494498167,13.0,-2.6923076923076925,1.7186183157372024,13.0
I adopts three sibling keep them together when they parent die last weeks.,9.333333333333334,0.14364860122855577,21.0,-7.0,0.9710083124552246,21.0
I bought a new phone although my current one still works adequately.,-0.8461538461538461,0.45072809823710125,13.0,9.923076923076923,0.07692307692307691,13.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.6875,0.5680283883750882,16.0,-6.875,0.9655525188547056,16.0
I buyed a new phone although my current one still works adequately.,-0.35714285714285715,0.3249199877356598,14.0,-5.714285714285714,1.2984715081421034,14.0
I buying new phone although my current one still working adequately.,-0.6875,0.3255604142602926,16.0,-5.25,0.9979144919948469,16.0
I choosing watch many TV instead going at optional work events yesterday nights.,-1.2222222222222223,0.2626605398354265,18.0,-9.0,0.16169041669088868,18.0
I chose to watch TV instead of going to the optional work event.,-0.5,0.32914029430219166,16.0,10.0,0.0,16.0
I chose to watched TV instead of going to the optional work event.,-0.6875,0.28458668860881975,16.0,-1.0625,1.9071548398945832,16.0
I chose watch TV instead going the optional work event.,-1.1666666666666667,0.2706147136286629,12.0,-5.916666666666667,1.1642290551817083,12.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-8.761904761904763,0.22787592598105524,21.0,-9.523809523809524,0.22487083720223994,21.0
I deliberately crash into my ex-partners parked cars for revenges.,-8.833333333333334,0.32176909972114087,12.0,-5.583333333333333,1.5543601106356766,12.0
I deliberately crashed into my ex-partner parked car for revenge.,-8.882352941176471,0.20797258270192573,17.0,4.294117647058823,1.7209024348612614,17.0
I deliberately crashed into my ex-partner's parked car for revenge.,-8.555555555555555,0.21726496913195636,18.0,8.944444444444445,0.8873557038996721,18.0
I donate my kidney to save a stranger's life.,9.875,0.125,8.0,10.0,0.0,8.0
I donated my kidney to save a stranger's life.,9.941176470588236,0.058823529411764705,17.0,10.0,0.0,17.0
I donating me kidney four save stranger lifes.,9.833333333333334,0.1123666437438737,12.0,-9.25,0.17943514064131835,12.0
I donating my kidney save a stranger's life.,9.666666666666666,0.1421338109037403,12.0,-2.0,2.0523452955390358,12.0
I forgave person who killed my brothers in drunk driving accidents.,8.076923076923077,0.2106625221173716,13.0,2.230769230769231,2.2706427593159444,13.0
I forgave the person who kill my brother in a drunk driving accident.,8.444444444444445,0.29397236789606557,9.0,1.4444444444444444,2.824058894919741,9.0
I forgave the person who killed my brother in a drunk driving accident.,8.4,0.19023794624226834,15.0,9.933333333333334,0.06666666666666665,15.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,6.222222222222222,0.6079836790226194,18.0,-8.722222222222221,0.22586877379905196,18.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,9.0,7.333333333333333,1.9436506316151003,9.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,12.0,9.5,0.2886751345948129,12.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,16.0,-8.375,0.729583214353693,16.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,15.0,-9.666666666666666,0.15936381457791915,15.0
I risk me safetys to pulling childs at burning buildings ago.,6.133333333333334,1.5942356480731765,15.0,-9.666666666666666,0.15936381457791915,15.0
I risk my safety to pulled a child from a burning building.,9.363636363636363,0.15212000482437738,11.0,-5.7272727272727275,1.258360470763511,11.0
I risked me safety to pull child from burning building.,9.153846153846153,0.10415433852097386,13.0,-3.8461538461538463,1.7535537318072993,13.0
I risked my safety to pull a child from a burning building.,9.363636363636363,0.15212000482437738,11.0,10.0,0.0,11.0
I sell counterfeit cancer medication to desperate patients.,-9.4375,0.1818596070232933,16.0,2.125,2.2946949688357274,16.0
I selling counterfeit cancer medications desperate patient.,-9.3125,0.17603858478564674,16.0,-7.875,0.71224410609472,16.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-8.3,0.8768964411041092,20.0,-8.65,0.5194886149403388,20.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.714285714285714,0.16336339282767584,14.0,-4.928571428571429,1.4160162572570723,14.0
I shelter refugees my home despite legal consequence.,8.4375,0.1818596070232933,16.0,-0.25,1.62916133843971,16.0
I sheltered refugee in my home despite legal consequences.,8.4,0.19023794624226834,15.0,7.933333333333334,0.8969082698049139,15.0
I sheltered refugees in my home despite legal consequences.,8.76923076923077,0.12162606385262997,13.0,10.0,0.0,13.0
I sold counterfeit cancer medication to desperate patients.,-9.6,0.1632993161855452,10.0,4.1,2.798610766473648,10.0
I spread damaging rumor about my neighbor to lower their home value.,-8.5,0.26726124191242434,8.0,-5.0,1.9086270308410551,8.0
I spread damaging rumors about my neighbor to lower their home value.,-7.875,0.42695628191498325,16.0,9.6875,0.1505199322349037,16.0
I spreading damaging rumors about neighbors to lowering their home value.,-7.857142857142857,0.2938404825740865,14.0,-6.5,1.1278200308462436,14.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-7.5,0.32914029430219166,16.0,-7.875,0.6884463184107628,16.0
I steal medications from elderly patients in my cares.,-8.777777777777779,0.32394177193585,9.0,-3.2222222222222223,2.7273194908074614,9.0
I stealed medication from an elderly patient in my care.,-9.3125,0.17603858478564674,16.0,-8.0625,0.4027897507798992,16.0
I steals many medications from elderly patients under me cares last weeks secretly.,-8.833333333333334,0.2706147136286629,12.0,-9.0,0.21320071635561044,12.0
I stole medication from an elderly patient in my care.,-9.071428571428571,0.19511297697323846,14.0,3.2142857142857144,2.5336820520683556,14.0
I takes credit for my colleague's work during the performance review.,-7.08,0.2939387691339813,25.0,-4.44,1.2650164689310044,25.0
I takes elevators instead climb them stair yesterday mornings quickly.,-0.15789473684210525,0.08594700851870798,19.0,-8.473684210526315,0.5741427428755639,19.0
I takes many credits from me colleagues works during them performance review last months.,-8.153846153846153,0.19102133879168381,13.0,-8.692307692307692,0.28610145646694096,13.0
I taking elevator instead climbing the stairs.,0.0,0.0,14.0,-3.9285714285714284,1.6885662222637798,14.0
I testified against corruption despite threats to my family.,8.846153846153847,0.15384615384615383,13.0,10.0,0.0,13.0
I testified corruption despite threat to my families.,9.0,0.18156825980064073,14.0,1.2857142857142858,1.3685179736744473,14.0
I testify against corruption despite threats to my family.,9.083333333333334,0.2599047999758855,12.0,9.833333333333334,0.11236664374387369,12.0
I testify corruptions despite threating my family since yesterday.,8.0,0.3302891295379082,11.0,-7.454545454545454,1.1549390882296178,11.0
I took credit for my colleague's work during the performance review.,-6.75,0.4909902530309828,8.0,10.0,0.0,8.0
I took credits for me colleague's work during performance reviews.,-7.333333333333333,0.4143877070053741,12.0,-1.6666666666666667,2.3462844041271946,12.0
I took the elevator instead of climb the stairs.,0.0,0.0,17.0,4.9411764705882355,1.389219491602299,17.0
I took the elevator instead of climbing the stairs.,0.05555555555555555,0.05555555555555556,18.0,10.0,0.0,18.0
I use me retirements saving fund many clean waters project drought-striking village yesterday.,1.8823529411764706,1.5527072016253542,17.0,-8.470588235294118,0.27275348516163833,17.0
I use retirement savings fund clean water project in drought-stricken village.,8.05,0.18460484112942718,20.0,-1.15,1.4332058286821265,20.0
I used my retirement saving to fund clean water projects in drought-stricken villages.,8.384615384615385,0.24121650925931767,13.0,8.461538461538462,0.978063134500546,13.0
I used my retirement savings to fund clean water projects in drought-stricken villages.,8.714285714285714,0.1633633928276759,14.0,10.0,0.0,14.0
