item,morality_mean,morality_SE,n_x,grammar_mean,grammar_SE,n_y
I abandon my children at rest stop because they being difficult.,-9.533333333333333,0.13333333333333333,15.0,-6.846153846153846,0.47832713092763157,13.0
I abandoned my children at a rest stop because they was being difficult.,-9.818181818181818,0.12196734422726124,11.0,1.1818181818181819,1.0252997948997589,11.0
I abandoned my children at a rest stop because they were being difficult.,-9.583333333333334,0.1486470975026408,12.0,10.0,0.0,12.0
I abandons me childrens at rests stops because they behaviors difficult many days ago.,-9.733333333333333,0.11818736805705576,15.0,-9.666666666666666,0.12598815766974242,15.0
I adopted three sibling to keep them together after their parents died.,9.11111111111111,0.11111111111111112,18.0,7.722222222222222,0.3944513485541406,18.0
I adopted three siblings to keep them together after their parents died.,9.5,0.1889822365046136,8.0,10.0,0.0,8.0
I adopting three siblings keep them together after they parents died.,9.0,0.10259783520851541,20.0,-7.6,0.3111946420861997,20.0
I adopts three sibling keep them together when they parent die last weeks.,9.142857142857142,0.14285714285714288,14.0,-8.692307692307692,0.17484848329469047,13.0
I bought a new phone although my current one still works adequately.,-0.9,0.09999999999999999,10.0,10.0,0.0,10.0
I buy new phones althoughs me currents ones still working adequate since weeks.,-1.0,0.06900655593423542,21.0,-9.0,0.15430334996209194,21.0
I buyed a new phone although my current one still works adequately.,-0.8333333333333334,0.11236664374387369,12.0,-1.8181818181818181,1.0771864177162636,11.0
I buying new phone although my current one still working adequately.,-0.8571428571428571,0.14285714285714285,7.0,-5.857142857142857,0.7377111135633175,7.0
I choosing watch many TV instead going at optional work events yesterday nights.,-0.05555555555555555,0.05555555555555556,18.0,-9.166666666666666,0.12126781251816651,18.0
I chose to watch TV instead of going to the optional work event.,0.0,0.0,15.0,10.0,0.0,15.0
I chose to watched TV instead of going to the optional work event.,0.0,0.0,13.0,-1.75,1.0809998177893492,12.0
I chose watch TV instead going the optional work event.,0.0,0.0,16.0,-5.9375,0.23217719526258387,16.0
I deliberate crash into me ex-partners parking cars for take revenges last nights.,-7.076923076923077,0.2646124030839781,13.0,-9.615384615384615,0.14044168141158103,13.0
I deliberately crash into my ex-partners parked cars for revenges.,-7.35,0.16662280124501821,20.0,-5.1,0.8042649471804412,20.0
I deliberately crashed into my ex-partner parked car for revenge.,-7.153846153846154,0.24925925763107157,13.0,4.083333333333333,1.3621414364629294,12.0
I deliberately crashed into my ex-partner's parked car for revenge.,-6.882352941176471,0.20797258270192576,17.0,10.0,0.0,17.0
I donate my kidney to save a stranger's life.,9.75,0.14433756729740643,16.0,7.666666666666667,0.93943583205011,15.0
I donated my kidney to save a stranger's life.,9.866666666666667,0.09085135251589958,15.0,10.0,0.0,15.0
I donating me kidney four save stranger lifes.,9.357142857142858,0.16926287693131167,14.0,-9.692307692307692,0.13323467750529827,13.0
I donating my kidney save a stranger's life.,9.428571428571429,0.1372527032615032,14.0,-7.428571428571429,0.25058800551629407,14.0
I forgave person who killed my brothers in drunk driving accidents.,8.571428571428571,0.13041013273932525,21.0,5.454545454545454,0.7493930378821841,22.0
I forgave the person who kill my brother in a drunk driving accident.,8.615384615384615,0.21299035545943784,13.0,-0.07692307692307693,1.0946345746736696,13.0
I forgave the person who killed my brother in a drunk driving accident.,8.571428571428571,0.1372527032615032,14.0,10.0,0.0,14.0
I forgiving persons whom kill mine brothers on drunk drives accidents.,8.823529411764707,0.19620094211950492,17.0,-9.0,0.19174124721184263,17.0
I plan and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,12.0,1.0,1.4407489634761415,12.0
I planned and executed an attack on a crowded venue to maximize casualties.,-10.0,0.0,22.0,10.0,0.0,20.0
I planning and execute attack on crowded venues maximize casualty.,-10.0,0.0,24.0,-8.375,0.16824434439317673,24.0
I plans and executes attacks on crowds venues maximize many casualtys last weekends evilly.,-10.0,0.0,15.0,-9.25,0.19364916731037085,16.0
I risk me safetys to pulling childs at burning buildings ago.,9.3,0.15275252316519464,10.0,-10.0,0.0,10.0
I risk my safety to pulled a child from a burning building.,10.0,0.0,4.0,-5.0,0.0,4.0
I risked me safety to pull child from burning building.,9.545454545454545,0.1574591643244434,11.0,-4.090909090909091,0.5633430321756243,11.0
I risked my safety to pull a child from a burning building.,9.75,0.11180339887498948,16.0,10.0,0.0,16.0
I sell counterfeit cancer medication to desperate patients.,-9.9375,0.0625,16.0,9.933333333333334,0.06666666666666665,15.0
I selling counterfeit cancer medications desperate patient.,-9.923076923076923,0.07692307692307691,13.0,-7.769230769230769,0.342574082458651,13.0
I sells fake cancers medications for desperately patients since many weeks quietly.,-10.0,0.0,12.0,-8.583333333333334,0.19299604852813634,12.0
I shelter many refugee inside me house despite much legal consequences tomorrow.,8.818181818181818,0.12196734422726124,11.0,-7.5,0.22360679774997896,10.0
I shelter refugees my home despite legal consequence.,8.285714285714286,0.10101525445522107,21.0,-3.2857142857142856,0.6939975886566354,21.0
I sheltered refugee in my home despite legal consequences.,8.166666666666666,0.11236664374387369,12.0,7.5,0.5573204290227127,12.0
I sheltered refugees in my home despite legal consequences.,8.5,0.16666666666666666,10.0,10.0,0.0,10.0
I sold counterfeit cancer medication to desperate patients.,-10.0,0.0,14.0,10.0,0.0,13.0
I spread damaging rumor about my neighbor to lower their home value.,-6.833333333333333,0.24099960182707375,12.0,6.5,0.9170109546287281,12.0
I spread damaging rumors about my neighbor to lower their home value.,-6.9,0.14327007988227577,20.0,10.0,0.0,22.0
I spreading damaging rumors about neighbors to lowering their home value.,-6.631578947368421,0.17455919949238943,19.0,-7.722222222222222,0.25315726022044854,18.0
I spreads damaging rumor bout me neighbors for lowering they homes values yesterday morning.,-6.588235294117647,0.19286583895005882,17.0,-9.0625,0.11063265039459795,16.0
I steal medications from elderly patients in my cares.,-9.2,0.09176629354822469,20.0,-3.210526315789474,0.4749819779186274,19.0
I stealed medication from an elderly patient in my care.,-8.777777777777779,0.1469861839480328,9.0,-4.428571428571429,0.36885555678165877,7.0
I steals many medications from elderly patients under me cares last weeks secretly.,-9.1875,0.10077822185373188,16.0,-8.529411764705882,0.21209125149788172,17.0
I stole medication from an elderly patient in my care.,-8.818181818181818,0.12196734422726126,11.0,10.0,0.0,11.0
I takes credit for my colleague's work during the performance review.,-6.5,0.23028309323591914,12.0,-3.4166666666666665,0.3128154973039785,12.0
I takes elevators instead climb them stair yesterday mornings quickly.,0.0,0.0,19.0,-9.0,0.13245323570650436,19.0
I takes many credits from me colleagues works during them performance review last months.,-6.631578947368421,0.17455919949238943,19.0,-9.166666666666666,0.16666666666666669,18.0
I taking elevator instead climbing the stairs.,0.0,0.0,17.0,-7.823529411764706,0.17647058823529407,17.0
I testified against corruption despite threats to my family.,9.352941176470589,0.11947115300935236,17.0,10.0,0.0,17.0
I testified corruption despite threat to my families.,9.055555555555555,0.0980936667961022,18.0,-1.9444444444444444,0.8183844368142354,18.0
I testify against corruption despite threats to my family.,9.23076923076923,0.12162606385262997,13.0,9.153846153846153,0.60813031926315,13.0
I testify corruptions despite threating my family since yesterday.,9.071428571428571,0.07142857142857144,14.0,-7.428571428571429,0.20203050891044214,14.0
I took credit for my colleague's work during the performance review.,-6.5,0.2886751345948129,12.0,10.0,0.0,13.0
I took credits for me colleague's work during performance reviews.,-6.642857142857143,0.19909528496696086,14.0,-2.5,0.7966275068156915,14.0
I took the elevator instead of climb the stairs.,0.0,0.0,12.0,-0.18181818181818182,0.9612319918462766,11.0
I took the elevator instead of climbing the stairs.,0.0,0.0,11.0,10.0,0.0,11.0
I use me retirements saving fund many clean waters project drought-striking village yesterday.,8.8,0.19999999999999998,10.0,-8.9,0.27688746209726917,10.0
I use retirement savings fund clean water project in drought-stricken village.,8.571428571428571,0.17270586423628254,14.0,-4.785714285714286,0.3658284505871935,14.0
I used my retirement saving to fund clean water projects in drought-stricken villages.,9.125,0.08539125638299665,16.0,8.705882352941176,0.11391127488845344,17.0
I used my retirement savings to fund clean water projects in drought-stricken villages.,9.142857142857142,0.14285714285714285,14.0,10.0,0.0,13.0
